image_path,011,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0000.jpg,␣,␣,✔,✔,주우지은나,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0001.jpg,␣,␣,✔,✔,정윤영솔,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0002.jpg,␣,␣,✔,✔,권현별,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0003.jpg,␣,␣,✔,✔,신예시,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0004.jpg,␣,␣,✔,✔,엄나래솔,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0005.jpg,␣,␣,✔,✔,현별수,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0006.jpg,␣,␣,✔,✔,채솔은,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0007.jpg,␣,␣,✔,✔,모성진,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0008.jpg,␣,␣,✔,✔,방솔진,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0009.jpg,␣,␣,✔,✔,강라,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0010.jpg,␣,␣,✔,✔,맹초라,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0011.jpg,␣,␣,✔,✔,하남우나,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0012.jpg,␣,␣,✔,✔,반준하,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0013.jpg,␣,␣,✔,✔,홍호서,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0014.jpg,␣,␣,✔,✔,전시별,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0015.jpg,␣,␣,✔,✔,최유시,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0016.jpg,␣,␣,✔,✔,박진우,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0017.jpg,␣,␣,✔,✔,노유진,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0018.jpg,␣,␣,✔,✔,여연민,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0019.jpg,␣,␣,✔,✔,류도유,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0020.jpg,␣,␣,✘,✔,양연진,✔,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0021.jpg,␣,␣,✔,✔,육영윤,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0022.jpg,␣,␣,✔,✔,사공연,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0023.jpg,␣,␣,✔,✔,박현우,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0024.jpg,␣,␣,✔,✔,홍나현,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0025.jpg,␣,␣,✔,✔,맹민서,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0026.jpg,␣,␣,✔,✔,차재우,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0027.jpg,␣,␣,✔,✔,나연수,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0028.jpg,␣,␣,✔,✔,공시빛,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/A0029.jpg,␣,␣,✔,✔,서문우,✘,␣,✘,␣,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/D0000.jpg,SCGSO13,11,✘,✘,단현섭,✘,16,✘,2040,SP13ZFG002,9039382964,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/D0001.jpg,S06WTLW,5,✘,✔,호창한,✔,␣,✘,2018,SP13ZFG002,9722508518,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/D0002.jpg,S39YOJD,␣,✘,✘,조비안,✘,30,✘,2007,SP13ZFG002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/D0003.jpg,S14GLU4,10,✔,✘,여로화,✔,␣,✔,2027,SP13ZFG002,9620980482,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/D0004.jpg,S0U56NJ,10,✔,✔,␣,✘,␣,✘,2020,SP13ZFG002,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/095/E0000.jpg,␣,1,✔,✘,␣,✘,23,✘,2029,SP13ZFG002,␣,✘
