image_path,015,017,002,014,008,011,016,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0000.jpg,ANCA01,UZ4A97A,✘,✘,2015,간내영,1788010286,✔,␣,✘,9980000,␣,10,␣,✘,␣,✔,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0001.jpg,ANCA01,UNXSQL3,✘,✘,2022,␣,1890531111,✘,천팔백팔십사만,✔,"5,620,000","62,150,000",␣,47.4,✘,␣,✘,19
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0002.jpg,ANCA01,UEP4XN4,✘,✘,2012,모명겸,1107412778,✘,팔천육백오십삼만,✔,"2,690,000",␣,9,␣,✘,11,✘,29
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0003.jpg,ANCA01,UWU26UY,✔,✘,␣,편주상,9789187007,✘,␣,✘,␣,3760000,␣,50.2,✘,4,✔,4
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0004.jpg,ANCA01,U19IN2T,✘,✘,␣,강하엔,9591795324,✘,오천백오십육만,✔,"1,190,000",␣,19,75.1,✘,10,✘,23
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0005.jpg,ANCA01,UUHWD51,✘,✔,2011,가이경,9276510060,✘,칠천이백육십일만,✘,␣,␣,22,54.2,✔,3,✔,24
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0006.jpg,ANCA01,UXRD3WM,✔,✘,␣,선우시맥,9143022844,✘,팔백이십삼만,✔,9350000,41730000,30,43.3,✔,12,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0007.jpg,ANCA01,UJTO2CK,✔,✘,2019,␣,1370698352,✘,␣,✔,8340000,"1,890,000",10,68.0,✘,␣,✔,23
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0008.jpg,ANCA01,UTSW4J3,✘,✘,␣,서캘리,1053620930,✔,구백오십팔만,✔,3730000,␣,␣,11.8,✔,␣,✔,7
/mnt/AI_NAS/Data/현대캐피탈/data/images/101/C0009.jpg,ANCA01,UYYX7LE,✔,✘,2017,어여미,9411935733,✔,␣,✔,34670000,"39,540,000",26,46.9,✔,10,✔,23
