image_path,015,017,022,033,002,041,032,040,036,043,019,008,016,026,027,006,023,038,039,018,042,009,021,024,044,037,035,034,030,020,029,028,005,000,003,007,001,025,031,004,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0000.jpg,✘,✘,✘,✘,✘,✔,✔,이지혜,␣,␣,✘,✘,✘,✘,✔,✘,✘,5,15,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0001.jpg,✘,✘,✔,✔,✔,✔,✘,박서준,␣,␣,✘,✘,✘,✘,✔,✔,✘,06,09,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0002.jpg,✘,✘,✘,✘,✘,✔,✔,김민지,␣,␣,✘,✔,✘,✔,✘,✘,✔,06,23,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0003.jpg,✘,✘,✘,✘,✘,✔,✔,최현우,␣,␣,✘,✘,✘,✘,✔,✘,✘,7,13,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0004.jpg,✘,✘,✔,✔,✔,✔,✘,정수아,␣,␣,✘,✘,✘,✘,✔,✘,✘,07,27,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0005.jpg,✘,✘,✘,✘,✘,✔,✔,강지훈,␣,␣,✘,✘,✘,✔,✘,✘,✔,08,09,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0006.jpg,✘,✘,✘,✘,✘,✔,✔,윤서연,␣,␣,✘,✘,✘,✘,✔,✘,✘,8,23,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0007.jpg,✘,✘,✔,✔,✔,✔,✘,장동건,␣,␣,✘,✘,✘,✘,✔,✔,✘,9,5,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0008.jpg,✘,✘,✘,✘,✘,✔,✔,송하늘,␣,␣,✘,✔,✘,✘,✔,✘,✔,9,19,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0009.jpg,✘,✘,✘,✘,✘,✔,✔,한지민,␣,␣,✘,✘,✘,✘,✔,✘,✘,10,08,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0010.jpg,✘,✘,✔,✔,✔,✔,✘,임준서,␣,␣,✘,✘,✘,✘,✔,✘,✘,10,22,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0011.jpg,✘,✘,✘,✘,✘,✔,✔,서예진,␣,␣,✘,✘,✘,✔,✘,✘,✔,11,5,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0012.jpg,✘,✘,✘,✘,✘,✔,✔,신동욱,␣,␣,✘,✘,✘,✘,✔,✘,✘,11,19,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0013.jpg,✘,✘,✔,✔,✔,✔,✘,권보람,␣,␣,✘,✘,✘,✘,✔,✔,✘,12,8,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/635/A0014.jpg,✘,✘,✘,✘,✘,✔,✔,조현우,␣,␣,✘,✔,✘,✔,✘,✘,✔,12,22,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
