image_path,005,000,003,007,001,006,002,004,009,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0000.jpg,㈜ 에스엔피커뮤니케이션,✔,01,SP00NAC020,✘,✔,2025,15,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0001.jpg,명문건축,✔,03,SP00NAC020,✘,✔,2025,27,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0002.jpg,은광전기조명,✔,05,SP00NAC020,✘,✔,2025,05,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0003.jpg,청도체육관,✔,07,SP00NAC020,✘,✔,2025,18,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0004.jpg,계명피아노교습소,✔,09,SP00NAC020,✘,✔,2025,11,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0005.jpg,(주)네트인정보기술,✔,11,SP00NAC020,✘,✔,2025,24,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0006.jpg,주식회사 더스쿠프,✔,02,SP00NAC020,✘,✔,2025,08,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0007.jpg,캐리어티에스 (주),✔,04,SP00NAC020,✘,✔,2025,21,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0008.jpg,에오스,✔,06,SP00NAC020,✘,✔,2025,29,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0009.jpg,㈜ 두레원미래,✔,8,SP00NAC020,✘,✔,2025,15,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0010.jpg,NONAME,✔,10,SP00NAC020,✘,✔,2025,03,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0011.jpg,(주)디엠산업,✔,12,SP00NAC020,✘,✔,2025,30,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0012.jpg,케이에스스마트,✔,01,SP00NAC020,✘,✔,2025,06,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0013.jpg,석재용달화물,✔,03,SP00NAC020,✘,✔,2025,16,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0014.jpg,한국해항수산(주),✔,05,SP00NAC020,✘,✔,2025,26,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0015.jpg,월드스틸(주),✔,07,SP00NAC020,✘,✔,2025,08,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0016.jpg,금암교회,✔,09,SP00NAC020,✘,✔,2025,22,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0017.jpg,모든 ( 장한평 ),✔,11,SP00NAC020,✘,✔,2025,07,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0018.jpg,만두빗는 사람들,✔,2,SP00NAC020,✘,✔,2025,25,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0019.jpg,조은식품,✔,04,SP00NAC020,✘,✔,2025,08,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0020.jpg,주) 로봇택시,✔,06,SP00NAC020,✘,✔,2025,14,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0021.jpg,주) 슈퍼카레이서,✔,8,SP00NAC020,✘,✔,2025,28,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0022.jpg,주) 번개돌이,✔,10,SP00NAC020,✘,✔,2025,15,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0023.jpg,주) 무지개 다리,✔,12,SP00NAC020,✘,✔,2025,11,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0024.jpg,빵빵인테리어,✔,01,SP00NAC020,✘,✔,2025,23,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0025.jpg,무지개 멘션,✔,3,SP00NAC020,✘,✔,2025,31,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0026.jpg,거북이익스프레스,✔,05,SP00NAC020,✘,✔,2025,12,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0027.jpg,코끼리 디자인,✔,07,SP00NAC020,✘,✔,2025,29,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/279/A0028.jpg,씽씽모터스,✔,9,SP00NAC020,✘,✔,2025,5,␣,␣
