image_path,015,017,002,014,008,011,016,005,000,013,003,007,001,006,018,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0000.jpg,✔,␣,␣,사과나무자동차 강지훈,대표,2025,∅,␣,강지훈,15,␣,␣,1990-01-01,␣,␣,␣,강지훈,6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0001.jpg,✔,␣,␣,주식회사 예일자동차 김서연,사장,2025,∅,␣,김서연,20,␣,␣,1985-05-12,␣,␣,␣,김서연,1,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0002.jpg,✔,␣,␣,(주)CTRM 박민준,최대주주,2025,∅,␣,박민준,28,␣,␣,1992-11-28,␣,␣,␣,박민준,2,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0003.jpg,✔,␣,␣,대한렌트카 후평영업소 최수아,대표,2025,∅,␣,최수아,10,␣,␣,1978-07-04,␣,␣,␣,최수아,3,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0004.jpg,✔,␣,␣,(유)형통모터스 정예진,사장,2025,∅,␣,정예진,05,␣,␣,2001-09-12,␣,␣,␣,정예진,4,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0005.jpg,✔,␣,␣,성원모터스 윤도윤,최대주주,2025,∅,␣,윤도윤,20,␣,␣,1995-01-20,␣,␣,␣,윤도윤,05,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0006.jpg,✔,␣,␣,김도현모터스 장하윤,대표,2025,∅,␣,장하윤,12,␣,␣,1989.06.07,␣,␣,␣,장하윤,7,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0007.jpg,✔,␣,␣,자동차 친구 임지우,사장,2025,∅,␣,임지우,3,␣,␣,1998.12.31,␣,␣,␣,임지우,8,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0008.jpg,✔,␣,␣,오토마켓 주식회사 한민석,최대주주,2025,∅,␣,한민석,18,␣,␣,1975.4.18,␣,␣,␣,한민석,9,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0009.jpg,✔,␣,␣,한국타이어　태백점 조수진,대표,2025,∅,␣,조수진,25,␣,␣,2005-02-14,␣,␣,␣,조수진,10,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0010.jpg,✔,␣,␣,계룡상사 송현우,사장,2025,∅,␣,송현우,01,␣,␣,1991-08-22,␣,␣,␣,송현우,11,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0011.jpg,✔,␣,␣,차왕모터스 신지훈,최대주주,2025,∅,␣,신지훈,08,␣,␣,1982-10-09,␣,␣,␣,신지훈,12,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0012.jpg,✔,␣,␣,주식회사 세움스토리 권서연,대표,2025,∅,␣,권서연,22,␣,␣,1999-03-05,␣,␣,␣,권서연,1,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0013.jpg,✔,␣,␣,주식회사 천일모터스 문서현,사장,2025,∅,␣,문서현,07,␣,␣,1987-05-11,␣,␣,␣,문서현,02,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0014.jpg,✔,␣,␣,진솔모터스 김도윤,최대주주,2025,∅,␣,김도윤,19,␣,␣,2003-07-29,␣,␣,␣,김도윤,3,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0015.jpg,✔,␣,␣,칠성모터스 이예나,대표,2025,∅,␣,이예나,26,␣,␣,1990.12.17,␣,␣,␣,이예나,04,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0016.jpg,✔,␣,␣,리더스모터스 박하윤,사장,2025,∅,␣,박하윤,9,␣,␣,1984-03-25,␣,␣,␣,박하윤,5,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0017.jpg,✔,␣,␣,라인모터스 최민준,최대주주,2025,∅,␣,최민준,16,␣,␣,1996-09-08,␣,␣,␣,최민준,6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0018.jpg,✔,␣,␣,스마일자동차 권선구,대표,2025,∅,␣,정수아,15,␣,␣,2000-06-15,␣,␣,␣,정수아,6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0019.jpg,✔,␣,␣,창원중고차 카오션마트 정수아,대표,2025,∅,␣,윤지우,23,␣,␣,1988-11-02,␣,␣,␣,윤지우,7,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0020.jpg,✔,␣,␣,주식회사 나이스오토 윤지우,사장,2025,∅,␣,장민석,30,␣,␣,1993-04-10,␣,␣,␣,장민석,8,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0021.jpg,✘,␣,␣,(주)에버렉스 임서연,대표,2025,∅,␣,임서연,13,␣,␣,1981-08-21,␣,␣,␣,임서연,10,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0022.jpg,✔,␣,␣,(주)에버렉스 한도윤,사장,2025,∅,␣,한도윤,20,␣,␣,1997-02-05,␣,␣,␣,한도윤,11,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0023.jpg,✔,␣,␣,(주)휴먼카 조예진,최대주주,2025,∅,␣,조예진,27,␣,␣,2002-10-18,␣,␣,␣,조예진,12,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0024.jpg,✔,␣,␣,(주)휴먼카 송민준,대표,2025,∅,␣,송민준,02,␣,␣,1986-07-12,␣,␣,␣,송민준,1,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0025.jpg,✔,␣,␣,(주)엠엔드림카 신하윤,사장,2025,∅,␣,신하윤,15,␣,␣,1994-01.25,␣,␣,␣,신하윤,2,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/728/A0026.jpg,✔,␣,␣,에이알렌트서비스(주) 권지훈,최대주주,2025,∅,␣,권지훈,22,␣,␣,1983-05-09,␣,␣,␣,권지훈,3,✔
