image_path,000,001,002,003,004,005,006,200,201,202
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0000.jpg,언어장애,2025 03 12,자택,강남대로 지점,KD025909,이안솔,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0001.jpg,언어장애,2025 07 28,자택,구정대리점,HD000194,서지한,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0002.jpg,청각장애,2025 1105,자택,수서역 대리점,H1282396,채린아,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0003.jpg,청각장애,2026-01-18,자택,개포지점,H7505804,강태경,✘,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0004.jpg,청각장애,2026-04-22,자택,율곡대리점,K2802269,윤세라,✘,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0005.jpg,해외출장,2026-06-09,사무실,신사대리점,HD035329,조은새,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0006.jpg,해외출장,2025 0214,사무실,신대치 대리점,HD004762,박현준,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0007.jpg,해외출장,2025 0520,사무실,강남청담지점,H5218944,최수연,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0008.jpg,해외출장,2025-09-07,사무실,남서울 대리점,KD002963,정지훈,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0009.jpg,해외출장,2025 12 24,사무실,도곡중앙 대리점,HD000652,한아린,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0010.jpg,해외출장,2026 03 31,사무실,경복 대리점,K2731002,김도연,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0011.jpg,해외출장,20260815,사무실,도산대로지점,KD014956,신예솔,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0012.jpg,해외출장,2026-10-02,사무실,대치지점,HD035276,권민재,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0013.jpg,해외출장,2025 01 08,사무실,올림픽지점,K2458584,배수현,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0014.jpg,해외출장,2025 06 16,사무실,고덕대리점,HD032824,송지훈,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0015.jpg,해외출장,2025 10 30,사무실,성내지점,HD034575,문세린,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0016.jpg,해외출장,2026 0228,사무실,길동대리점,KD004003,임태경,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0017.jpg,해외출장,2026 05 10,사무실,천호 대리점,K2730588,장예지,✘,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0018.jpg,해외출장,2026 07 04,사무실,강북중앙 지점,KD023443,윤지훈,✘,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0019.jpg,해외출장,2025 0401,사무실,강북대리점,KD018807,강수아,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0020.jpg,대면상담,20250823,회사,우이 대리점,KD622453,서지우,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0021.jpg,대면상담,20251210,회사,수유대리점,H7000001,채린,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0022.jpg,대면상담,2026 01 29,회사,강남영동지점,HD033365,조은별,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0023.jpg,대면상담,20260407,회사,대치갤러리 지점,KD019827,박현우,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0024.jpg,대면상담,2026-06-20,회사,도곡지점,KD009493,최수현,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0025.jpg,대면상담,2025 0915,회사,동산로 대리점,HD035178,정아린,✔,∅,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/406/A0026.jpg,대면상담,2025 02 02,회사,신사 대리점,HD008913,한지훈,✔,∅,␣,␣
