image_path,033,035,034,002,032,030,036,029,028,005,000,003,025,026,001,031,027,023,038,039,004,024,100,102,037,101
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/C0000.jpg,✘,✔,✔,✔,✘,␣,✔,✘,사치온,✘,✔,✘,23,남강운,✘,✔,✘,2023,␣,✘,✘,␣,SP00OAE025,SFVE3F6,✘,1529930708
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/C0001.jpg,✘,✔,✘,✘,✘,명은섭,✘,✘,어인아,✘,✘,✘,5,주은하수,✘,✔,✘,␣,␣,✘,✔,3,SP00OAE025,SGPR4IS,✘,1942408863
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/C0002.jpg,✘,✘,✘,✘,✔,장제영,✘,✔,목혜향,✘,✔,✘,5,반한서,✔,✔,✘,2022,서문노하,✘,✘,8,SP00OAE025,S21RM1C,✘,1611029772
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/C0003.jpg,✔,✔,✘,✘,✘,석미숙,✘,✘,손리즈,✘,✔,✘,16,가하균,✔,✘,✔,2023,함보승,✔,✔,7,SP00OAE025,SQTZKOI,✘,1534445196
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/C0004.jpg,✘,✘,✘,✔,✘,선우천명,✘,✔,␣,✔,✔,✘,␣,␣,✔,✘,✘,2023,␣,✔,✔,8,SP00OAE025,SL9HGOT,✘,9000975661
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/C0005.jpg,✔,✘,✘,✘,✘,이안토니,✘,✔,␣,✔,✘,✘,29,␣,✘,✘,✔,␣,송리노,✘,✔,2,SP00OAE025,SNWGE36,✘,1460412883
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/D0000.jpg,✘,✔,✘,✔,✔,노태라,✘,✘,␣,✔,✘,✔,24,손도을,✔,✘,✔,2022,염준제,✘,✘,8,SP00OAE025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/D0001.jpg,✘,✘,✔,✘,✔,남궁우현,✔,✘,류민빈,✘,✘,✘,26,␣,✔,✔,✘,2008,태레미,✘,✘,6,SP00OAE025,HILPE3G,✘,9223235022
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/D0002.jpg,✔,✔,✔,✘,✔,반애린,✘,✘,팽순희,✔,✔,✘,26,␣,✘,✘,✘,2029,태가봄,✘,✔,12,SP00OAE025,HHA7V9R,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/D0003.jpg,✔,✘,✔,✔,✘,␣,✘,✘,␣,✘,✘,✘,␣,인루벤,✔,✔,✘,␣,감지화,✔,✘,3,SP00OAE025,HM5KT6B,✔,9901477343
/mnt/AI_NAS/Data/현대캐피탈/data/images/553/E0000.jpg,✔,✔,✔,✔,✘,형호명,✔,✔,차영율,✔,✘,✔,22,김채린,✘,✔,✔,2033,반병하,✘,✔,6,SP00OAE025,UO0N8LR,✘,␣
