image_path,005,000,003,007,001,006,002,004,009,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0000.jpg,이지혜,123 가 4567,15,∅,2025,✔,05,1985 03 15,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0001.jpg,박서준,34 나 8901,09,∅,2025,✔,06,1992 11 28,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0002.jpg,김민지,567 다 2345,23,∅,2025,✔,06,1978 07 04,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0003.jpg,최현우,78 라 6789,13,∅,2025,✔,07,2001-09-12,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0004.jpg,정수아,90 마 1234,27,∅,2025,✔,07,1995-01-20,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0005.jpg,강지훈,12 거 5678,09,∅,2025,✔,08,1989-06-07,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0006.jpg,윤서연,345 너 9012,23,∅,2025,✔,8,1998.12.31,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0007.jpg,장동건,56 더 3456,05,∅,2025,✔,9,1975.4.18,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0008.jpg,송하늘,789 러 7890,19,∅,2025,✔,9,2005.2.14,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0009.jpg,한지민,90 머 1234,08,∅,2025,✔,10,1991 08 22,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0010.jpg,임준서,123 버 5678,22,∅,2025,✔,10,1982 10 09,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0011.jpg,서예진,34 서 9012,05,∅,2025,✔,11,1999 03 05,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0012.jpg,신동욱,567 어 3456,19,∅,2025,✔,11,1987 05 11,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0013.jpg,권보람,78 저 7890,08,∅,2025,✔,12,2003.07.29,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0014.jpg,조현우,901 고 1234,22,∅,2025,✔,12,1990.12.17,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0015.jpg,미래기획.,12 노 5678,2,∅,2025,✔,1,120111068280,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0016.jpg,한빛개발건설,345 도 9012,16,∅,2025,✔,1,134811041893,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0017.jpg,새롬정보통신,56 모 3456,2,∅,2025,✔,2,135811032601,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0018.jpg,영진무역상사,789 보 7890,16,∅,2025,✔,2,1501110221759,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0019.jpg,금강철물,90 소 1234,10,∅,2025,✔,3,1801111155084,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0020.jpg,신한에너지솔루션,12 거 5678,24,∅,2025,✔,3,1344140002842,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0021.jpg,한화물류,34 너 9012,3,∅,2025,✔,4,1101118922901,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0022.jpg,아성전자,567 더 3456,17,∅,2025,✔,4,2301110334620,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0023.jpg,동양정밀,78 러 7890,10,∅,2025,✔,5,1313110034024,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0024.jpg,우진산업,901 머 1234,24,∅,2025,✔,05,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0025.jpg,성광기계,12 버 5678,07,∅,2025,✔,06,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0026.jpg,진성테크,34 서 9012,21,∅,2025,✔,06,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0027.jpg,대성무역,567 어 3456,10,∅,2025,✔,7,1101111301722,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0028.jpg,보람산업,78 저 7890,24,∅,2025,✔,7,1101111301722,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/657/A0029.jpg,해성물산,90 고 1234,7,∅,2025,✔,8,1101111301722,␣,␣
