image_path,015,017,002,014,008,011,016,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0000.jpg,∅,␣,✔,✔,✔,5,␣,✘,✔,✘,✘,✘,김민준,✔,✔,✔,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0001.jpg,∅,␣,✔,✔,✔,02,␣,✘,✔,✘,✘,✘,이서연,✔,✔,✔,10,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0002.jpg,∅,␣,✔,✘,✔,01,␣,✘,✔,✘,✘,✘,박도현,✔,✔,✔,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0003.jpg,∅,␣,✔,✔,✔,09,␣,✘,✔,✘,✘,✘,최지우,✔,✔,✔,01,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0004.jpg,∅,␣,✔,✔,✔,11,␣,✘,✔,✘,✘,✘,정현우,✔,✔,✔,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0005.jpg,∅,␣,✔,✔,✔,4,␣,✘,✔,✘,✘,✘,윤수아,✔,✔,✔,5,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0006.jpg,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,장우진,✔,✔,✔,1,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0007.jpg,∅,␣,✔,✔,✔,10,␣,✘,✔,✘,✘,✘,송하윤,✔,✔,✔,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0008.jpg,∅,␣,✘,✔,✔,␣,␣,✘,✔,✔,✔,✘,강지훈,✘,✔,✔,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0009.jpg,∅,␣,✘,✔,✔,01,␣,✘,✔,✔,✔,✘,한서준,✘,✔,✔,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0010.jpg,∅,␣,✘,✔,✔,5,␣,✘,✔,✔,✔,✘,임준서,✘,✔,✔,10,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0011.jpg,∅,␣,✔,✔,✔,02,␣,✘,✔,✘,✘,✘,서예진,✔,✔,✔,25,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0012.jpg,∅,␣,✔,✔,✔,8,␣,✘,✔,✘,✘,✘,신동욱,✔,✔,✔,18,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0013.jpg,∅,␣,✔,✔,✔,12,␣,✘,✔,✘,✘,✘,권보람,✔,✔,✔,3,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0014.jpg,∅,␣,✔,✔,✔,06,␣,✘,✔,✘,✘,✘,조현우,✔,✔,✔,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0015.jpg,∅,␣,✔,✔,✔,8,␣,✘,✔,✘,✘,✘,(주)미래솔루션,✔,✔,✔,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0016.jpg,∅,␣,✔,✔,✔,11,␣,✘,✔,✘,✘,✘,한빛개발,✔,✔,✔,05,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0017.jpg,∅,␣,✔,✔,✔,06,␣,✘,✔,✘,✘,✘,(주)새롬테크,✔,✔,✔,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0018.jpg,∅,␣,✔,✔,✔,10,␣,✘,✔,✘,✘,✘,(주)영진물산,✔,✔,✔,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0019.jpg,∅,␣,✔,✔,✔,12,␣,✘,✔,✘,✘,✘,(주)금강산업,✔,✔,✔,03,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0020.jpg,∅,␣,✔,✔,✔,7,␣,✘,✔,✘,✘,✘,(주)대우무역,✔,✔,✔,8,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0021.jpg,∅,␣,✔,✔,✔,01,␣,✘,✔,✘,✘,✘,에너지포스,✔,✔,✔,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0022.jpg,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,에어로스페이스,✔,✔,✔,25,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0023.jpg,∅,␣,✔,✔,✔,8,␣,✘,✔,✘,✘,✘,매직제일물산,✔,✔,✔,18,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0024.jpg,∅,␣,✔,✔,✔,12,␣,✘,✔,✘,✘,✘,전자디스플레이,✔,✔,✔,3,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0025.jpg,∅,␣,✔,✔,✔,6,␣,✘,✔,✘,✘,✘,삼성수산,✔,✔,✔,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0026.jpg,∅,␣,✘,✔,✔,10,␣,✘,✔,✔,✔,✘,현대모직,✘,✔,✔,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0027.jpg,∅,␣,✔,✔,✔,4,␣,✘,✔,✘,✘,✘,제일수산,✔,✔,✔,5,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0028.jpg,∅,␣,✔,✔,✔,03,␣,✘,✔,✘,✘,✘,제일주류,✔,✔,✔,01,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/A0029.jpg,∅,␣,✔,✔,✔,5,␣,✘,✔,✘,✘,✘,제일통신,✔,✔,✔,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/D0000.jpg,∅,UZKGG1A,✘,✔,✘,␣,1650477312,✘,✔,✘,✘,✘,최현빈,✘,✘,✘,18,2007
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/D0001.jpg,∅,UOPO1TR,✔,✘,✔,12,9453974553,✘,✔,✘,✘,✔,지찬,✘,✘,✘,18,2032
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/D0002.jpg,∅,UXGDPCK,✔,✘,✘,6,␣,✘,✘,✘,✘,✘,전보담,✔,✘,✘,12,2015
/mnt/AI_NAS/Data/현대캐피탈/data/images/541/F0000.jpg,∅,URYCW93,✔,✔,✘,␣,1647930368,✔,✘,✘,✔,✔,사공경석,✘,✘,✘,␣,2021
