image_path,011,000,025,001,026,023,024,027,010,030,029,028
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/C0000.jpg,✘,✘,27,✘,단대완,2027,4,✔,✘,SR8UH2E,9253821177,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/C0001.jpg,✘,✘,6,✘,황헵시바,2029,10,✘,✘,SBF3ZYO,1378094413,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/C0002.jpg,✔,✘,8,✘,인종열,2020,6,✘,✘,SXD7PX2,9608022485,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/C0003.jpg,✔,✘,15,✘,류봄찬,␣,9,✔,✔,S93TGIT,1651467945,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/C0004.jpg,✔,✔,2,✘,마래헌,2010,12,✘,✘,SPVL8LE,9653929257,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/C0005.jpg,✘,✔,␣,✘,음범채,␣,␣,✔,✔,SH81D80,1017406172,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/D0000.jpg,✘,✔,1,✔,감도용,␣,10,✔,✘,HYDE7SS,9175520050,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/D0001.jpg,✘,✘,28,✘,갈시화,2037,␣,✔,✘,HRSLP6U,9769642617,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/D0002.jpg,✘,✘,␣,✘,동조에,2012,4,✘,✘,H67IA8B,␣,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/D0003.jpg,✘,✘,1,✘,조창조,␣,5,✘,✔,␣,␣,SP00AAA026
/mnt/AI_NAS/Data/현대캐피탈/data/images/133/E0000.jpg,✔,✔,14,✘,␣,2010,␣,✘,✘,U75X28U,9238193660,SP00AAA026
