image_path,017,051,002,041,056,040,050,043,008,052,016,013,055,006,023,042,009,045,044,037,035,057,049,053,054,028,046,011,005,000,003,007,001,047,048,012,027,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0000.jpg,✘,깡통을,064-1150-1719,✘,9821080914,✔,정,16,한국수출입은행,␣,✔,1,∅,✔,"75,540,000",✘,장지의,29,5,"7,720,000",96.7,THVP0GM,␣,권무곤,✘,16,함섬결,326-512579-063,␣,배제중,␣,✔,1952년 5월 14일,✔,배지,9,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0001.jpg,✔,␣,061-9177-4030,✘,9287121179,✘,␣,␣,우리은행,␣,✔,␣,∅,✘,"1,610,000",✘,한주흠,24,␣,"41,170,000",69.1,TFECWTK,1977.3.31,고규준,✘,␣,길새해,794-731820-902,경기도 고양시 일산동구 마두동 962-9,복예올,052-2239-0166,✘,2030.8.18,✘,일에 알맞은,1,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0002.jpg,✘,␣,032-4494-8328,✔,1219435869,✘,추습02,25,대구은행,␣,✔,1,∅,✘,26240000,✘,␣,17,8,␣,43.9,T75KXAT,␣,␣,✔,12,모영원,079-391254-94279,경상북도 구미시 고아읍 원대로21길 12-1 (대망리),남애랑,␣,✘,␣,✔,풀어서,1,21.1,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0003.jpg,✔,␣,02-459-4244,✘,9746413703,✔,따위를,29,미쓰비시UFJ은행,MVNZ50VU,✘,31,∅,✘,"23,480,000",✘,␣,23,12,␣,57.2,TNZPMXF,1940년 11월 28일,정준순,✘,2,손서용,␣,부산광역시 부산진구 전포동 191-450,반영치,␣,✘,1998/7/25,✔,서울,11,15.7,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0004.jpg,✘,있다,044-9990-9766,✔,9189376885,✔,것.,28,␣,OC1HYVI1,✔,10,∅,✘,86580000,✘,선우조향,19,␣,"38,170,000",␣,TUR45QU,␣,␣,✘,␣,설희효,175-840589-59439,␣,강그루,055-2267-4191,✘,1934년 5월 4일,✘,␣,␣,31.6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0005.jpg,✘,대각선은,␣,✔,1937746807,✔,운동구,11,␣,U97PBC4S,✔,16,∅,✘,"2,930,000",✘,남궁이숲,20,7,6750000,␣,TKCUGYL,1951.4.18,서문효정,✘,13,박주역,␣,충청북도 음성군 감곡면 대학길 79-4 (왕장리),갈유키나,051-9902-8788,✔,1909.02.24,✘,수취인의,5,73.3,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0006.jpg,✔,융흥,054-7802-5961,✘,9522819317,✔,␣,15,BNP파리바,7FF53VNO,✔,␣,∅,✘,3820000,✘,복동완,26,2,5620000,52.6,TS6DMWP,2020.04.25,옥전진,✘,30,나효경,␣,전북특별자치도 남원시 아영면 의지리 369,복재평,053-7514-6741,✘,1965-01-29,✘,␣,12,70.2,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0007.jpg,✘,␣,043-6658-3676,✘,1146927837,✔,벌이,␣,토스뱅크,␣,✘,␣,∅,✘,72190000,✘,간밀라,5,␣,␣,76.0,T9VUWWD,2043-09-03,국제찬,✘,␣,␣,␣,␣,␣,␣,✘,1934.11.30,✔,건성울음,1,93.8,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0008.jpg,✘,␣,␣,✔,1131436759,✘,하다,23,␣,0NAG66W9,✘,23,∅,✘,"6,450,000",✘,␣,␣,6,␣,94.4,TMQJ5H5,1962.11.03,␣,✔,27,␣,009-276794-13,경상북도 상주시 복룡동 293-3,백단미,␣,✘,1966.4.5,✘,소철광 소철석의,4,68.5,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0009.jpg,✘,현상을,052-588-3665,✔,1184976922,✘,근육과,17,␣,UL6QMUFF,✘,28,∅,✘,␣,✘,황보예자,10,10,56390000,85.7,TXCASVI,␣,함민혁,✘,23,옥동효,855-845402-09,경상남도 진주시 장대동 102-26,나정옥,061-9863-4766,✘,2036년 5월 16일,✔,갈아 가루를,7,42.2,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0010.jpg,✔,␣,055-5028-8152,✘,9719396089,✘,모았다.,30,␣,␣,✔,19,∅,✘,"42,860,000",✔,␣,21,␣,"18,510,000",40.5,TNB1GL2,1939년 11월 28일,␣,✔,8,␣,␣,대구광역시 남구 대명동 446-19,원나딘,054-7011-5073,✘,␣,✔,␣,␣,33.9,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0011.jpg,✘,␣,␣,✔,1126981105,✔,쓰는,␣,케이뱅크,67NJ483P,✔,13,∅,✔,"21,860,000",✔,두근,24,␣,␣,␣,TFSROTW,1929년 3월 5일,용재찬,✘,10,␣,669018-44-071384,충청북도 청주시 상당구 남일면 단재로 488-4 (효촌리),권차훈,02-629-7324,✔,␣,✔,위치나 지위.,8,32.4,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0012.jpg,✘,␣,052-2512-1483,✘,1140477239,✔,찾음.,25,␣,BMU3GWLQ,✘,␣,∅,✘,"7,270,000",✘,␣,28,␣,"2,970,000",15.1,TX9KHGQ,␣,두성원,✔,34,우명미정,775-974-512411,␣,문명일향,031-9383-1324,✘,1939년 11월 25일,✔,북극점이,3,84.6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/C0013.jpg,✔,주권을,043-0641-0738,✔,9610148327,✘,␣,␣,␣,␣,✔,31,∅,✔,␣,✘,반유윤,␣,␣,␣,78.3,TIDW9DM,1935.01.06,지창혜,✔,8,전가혜,␣,광주광역시 광산구 평동로803번안길 83 (용동),경하응,␣,✔,␣,✔,␣,␣,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0000.jpg,✘,수,043-1212-5897,✘,1359881950,✘,아울러,36,수협은행,L9FEZ7KD,✔,30,∅,✘,"2,420,000",✘,유소노,23,␣,␣,␣,ZN0RBPI,␣,␣,✘,11,염치히로,272-950862-17,␣,구엘시,055-8515-9652,✔,2014-04-22,✔,␣,9,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0001.jpg,✘,발달하다.,␣,✘,␣,✘,␣,29,␣,EKU7LVOO,✘,␣,∅,✘,8180000,✘,␣,4,4,"63,480,000",65.0,Z80EC9C,␣,제세잎,✔,␣,␣,␣,경상남도 통영시 솔개2길 6-12 (도천동),␣,041-9588-0644,✘,1951/6/7,✔,하루 세끼를,4,78.6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0002.jpg,✔,읽어,043-2931-0352,✘,9721388858,✘,섞고,07,␣,JZIBCKEY,✘,␣,∅,✘,␣,✔,성대후,16,7,51550000,41.7,ZBF1WHN,2027년 12월 8일,은한채,✘,8,왕조은별,3658-25-760837,경상남도 함안군 산인면 모곡3길 15-5 (모곡리),엄화림,051-7674-1586,✔,1921.11.26,✔,␣,␣,29.9,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0003.jpg,✔,␣,051-5219-5077,✘,9709941751,✘,␣,17,미즈호은행,BNQ504GR,✔,␣,∅,✘,␣,✘,␣,␣,␣,"98,910,000",39.2,Z4JXDW2,1932.10.22,나려린,✘,␣,채슬혜,␣,␣,맹태승,055-3637-9761,✘,1973년 2월 21일,✔,␣,11,63.6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0004.jpg,✘,어근.,043-0598-3210,✔,␣,✘,강제,39,토스뱅크,␣,✘,␣,∅,✘,␣,✘,피명희,18,2,␣,41.2,ZDLDZN9,1913-10-11,신선숙,✔,1,설자겸,0237-91-097699,경상남도 의령군 칠곡면 한티로5길 32-27 (산북리),염명소,063-7381-2103,✘,␣,✔,성격인가 보다.,9,28.6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0005.jpg,✘,어근,043-4273-1515,✘,␣,✘,작음.,17,국민은행,LLI1HZH7,✔,␣,∅,✘,"25,580,000",✔,태령현,12,10,"7,450,000",36.9,Z40J7S0,␣,맹인창,✔,4,설내리,028-842373-70146,␣,␣,054-0619-6933,✔,2016.5.13,✘,␣,2,49.5,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/D0006.jpg,✘,그릇.,␣,✘,␣,✘,고두밥,␣,중국은행,YJXHIR74,✔,13,∅,✘,"2,610,000",✔,문경애,20,6,␣,␣,Z9NB1QP,2014.4.21,␣,✘,28,윤아선,163567-25-755823,경기도 부천시 원미구 중동 1066-6,위건주,044-9948-1271,✘,1979년 5월 10일,✔,전체를,4,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/E0000.jpg,✘,␣,051-9577-9795,✔,1693159256,✔,␣,07,전북은행,␣,✔,␣,∅,✔,"2,810,000",✘,␣,11,11,␣,␣,ZI5BPZL,1937.11.3,␣,✘,18,한심이,␣,경상남도 김해시 삼계동 1476-4,␣,␣,✘,1911.07.02,✔,"구조, 형상,",␣,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/747/E0001.jpg,✘,타고,␣,✘,1357447323,✔,후지스탄의,13,전북은행,NPILKA4A,✔,21,∅,✔,"1,350,000",✔,라재시,3,4,5320000,␣,Z9IRML6,␣,문후성,✘,14,사공해람,022-844418-29,경상북도 포항시 남구 장기면 신창리 339-1,성순금,041-850-1802,✘,␣,✘,목적지에 빨리,1,53.2,✔
