image_path,010,017,022,020,036,019,008,011,016,000,025,026,001,027,023,038,018,009,021,024,037
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0000.jpg,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,15,김민준,✔,✔,2025,␣,✘,✔,✘,5,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0001.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,22,이서연,✔,✔,2025,␣,✘,✔,✔,03,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0002.jpg,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,8,박도현,✔,✔,2025,␣,✘,✔,✘,05,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0003.jpg,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,11,최지우,✔,✔,2025,␣,✘,✔,✘,07,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0004.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,03,정우진,✔,✔,2025,␣,✔,✔,✘,09,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0005.jpg,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,29,강수아,✔,✔,2025,␣,✘,✔,✘,11,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0006.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,4,윤지훈,✔,✔,2025,␣,✘,✔,✔,2,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0007.jpg,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,18,장하윤,✔,✔,2025,␣,✘,✔,✘,4,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0008.jpg,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,25,임시우,✔,✔,2025,␣,✘,✔,✘,06,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0009.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,12,한아린,✔,✔,2025,␣,✔,✔,✘,8,␣
