image_path,011,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0000.jpg,␣,␣,✔,✔,주우지은나,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0001.jpg,␣,␣,✔,✔,정윤영솔,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0002.jpg,␣,␣,✔,✔,권현별,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0003.jpg,␣,␣,✔,✔,신예시,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0004.jpg,␣,␣,✔,✔,엄나래솔,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0005.jpg,␣,␣,✔,✔,현별수,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0006.jpg,␣,␣,✔,✔,채솔은,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0007.jpg,␣,␣,✔,✔,모성진,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0008.jpg,␣,␣,✔,✔,방솔진,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0009.jpg,␣,␣,✔,✔,강라,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0010.jpg,␣,␣,✔,✔,맹초라,✘,␣,✘,␣,SP13ZFF002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/094/A0011.jpg,␣,␣,✔,✔,하남우나,✘,␣,✘,␣,SP13ZFF002,␣,✔
