image_path,021,015,017,022,033,034,002,032,030,020,029,028,019,011,016,000,013,001,031,027,023,018,012,009,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0000.jpg,✔,✘,✔,✘,␣,␣,✘,∅,(주)에스앤피커뮤니케이션,✔,15,01,✘,␣,✘,4567890123,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0001.jpg,✔,✘,✔,✘,␣,␣,✔,∅,티에이치산업개발,✔,11,03,✘,␣,✘,567-89-01234,✘,✘,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0002.jpg,✔,✘,✔,✘,␣,␣,✘,∅,서현기계 (주),✔,17,06,✘,␣,✘,678-90-12345,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0003.jpg,✔,✘,✘,✘,␣,␣,✔,∅,대한예수교장로회중원햇빛교회,✔,24,04,✘,␣,✘,7890123456,✘,✘,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0004.jpg,✔,✘,✔,✘,␣,␣,✘,∅,광전운수,✔,18,06,✘,␣,✘,8901234567,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0005.jpg,✔,✘,✘,✘,␣,␣,✔,∅,올리브떡볶이,✔,16,06,✘,␣,✘,9012345678,✘,✘,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0006.jpg,✔,✘,✘,✘,␣,␣,✘,∅,파리바게트(북수점),✔,23,04,✘,␣,✘,123456789,✘,✔,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0007.jpg,✔,✘,✘,✘,␣,␣,✔,∅,기독교한국침례회생명의빛교회,✔,18,04,✘,␣,✘,1122334455,✘,✘,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0008.jpg,✔,✘,✘,✘,␣,␣,✘,∅,멕시카나미룡대명점,✔,19,05,✘,␣,✘,2233445566,✘,✔,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0009.jpg,✔,✘,✔,✘,␣,␣,✔,∅,㈜ 이포에프,✔,26,6,✘,␣,✘,334-45-56677,✘,✘,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0010.jpg,✔,✘,✔,✘,␣,␣,✘,∅,공장개발 종합 건설,✔,6,2,✘,␣,✘,445-56-67788,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0011.jpg,✔,✘,✔,✘,␣,␣,✔,∅,㈜ 한일통운,✔,29,4,✘,␣,✘,5566778899,✘,✘,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0012.jpg,✔,✘,✔,✘,␣,␣,✘,∅,주식회사 남경전기,✔,19,3,✘,␣,✘,6677889900,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0013.jpg,✔,✘,✘,✘,␣,␣,✘,∅,석제용달화물,✔,24,06,✘,␣,✘,7788990011,✘,✔,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0014.jpg,✔,✘,✘,✘,␣,␣,✘,∅,대한예수교장로회예심교회,✔,10,03,✘,␣,✘,8899001122,✘,✔,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0015.jpg,✔,✘,✘,✘,␣,␣,✔,∅,어상식품영농조합법인,✔,20,05,✘,␣,✘,1212121212,✘,✘,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0016.jpg,✔,✘,✔,✘,␣,␣,✘,∅,화원산업개발 (주),✔,29,05,✘,␣,✘,232.32.32323,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0017.jpg,✔,✘,✘,✘,␣,␣,✔,∅,사단법인 사회적기업청람,✔,23,4,✘,␣,✘,343-43-43434,✘,✘,✔,2025,␣,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/182/A0018.jpg,✔,✘,✔,✘,␣,␣,✘,∅,대륙엔지니어링,✔,28,2,✘,␣,✘,4545454545,✘,✔,✔,2025,␣,✘,✘,✔,✔,✘
