image_path,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0000.jpg,␣,T1Z2X7V,␣,12,이서준,2497cc,옥재재,12,01,1981.11.24.,∅,2025,디올뉴싼타페,옥재재,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0001.jpg,␣,T1B5Q9R,␣,27,김지안,1599cc,왕진나,24,3,1981.12.11,∅,2025,현대자동차베르나장애용4도어가솔린,왕진나,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0002.jpg,␣,T1H8J3K,␣,05,박서연,2497cc,민솔나,36,05,1981.12.27,∅,2025,쏘렌토,민솔나,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0003.jpg,␣,T1Y4C6P,␣,18,최예나,2477cc,명라채,48,7,1982.1.3,∅,2025,봉고,명라채,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0004.jpg,␣,T1D7G1N,␣,11,정우진,3470cc,임윤라,60,9,1982.1.19,∅,2025,카니발,임윤라,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0005.jpg,␣,T1F9L5M,␣,24,강수아,전기차,진도준,12,11,1982.02.11,∅,2025,EV5,진도준,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0006.jpg,␣,T1S2W8X,␣,08,윤지훈,2497cc,변시빛,24,02,1982.03.01,∅,2025,G80,변시빛,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0007.jpg,␣,T1R6T4Y,␣,21,장하윤,2199cc,변영서,36,04,1982.03.17,∅,2025,스타리아투어러,변영서,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0008.jpg,␣,T1V3B7Z,␣,29,임시우,2497cc,임현빛,48,06,1982.04.04,∅,2025,디 올 뉴 싼타페,임현빛,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0009.jpg,␣,T1N1P2Q,␣,15,한아린,2497cc,지수하,60,08,1982.04.20,∅,2025,디 올 뉴 싼타페,지수하,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0010.jpg,␣,T1K5J8L,␣,03,서준서,1598cc,하남하,12,10,1989.11.22,∅,2025,더뉴아반떼 CN7,하남하,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0011.jpg,␣,T1M9H4C,␣,30,신지우,1598cc,현슬서,24,12,1989.02.07,∅,2025,더뉴 아반떼 CN7,현슬서,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0012.jpg,␣,T1X7D2G,␣,6,권도윤,2497cc,탁아성,36,1,1989.02.23,∅,2025,포터Ⅱ,탁아성,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0013.jpg,␣,T1Q3F6B,␣,19,조예진,2497cc,남궁진,48,03,1989.03.12,∅,2025,GV80,남궁진,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0014.jpg,␣,T1W5R1S,␣,26,문우현,2497cc,지슬호,60,05,1989.03.28,∅,2025,GV70,지슬호,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0015.jpg,␣,T1E8Y9T,␣,08,송수빈,3778cc,민진빛,12,07,1989.04.14,∅,2025,디올뉴 팰리세이드 7인승,민진빛,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0016.jpg,␣,T1U2I4P,␣,22,이지민,2497cc,연솔하,24,09,1989.05.01,∅,2025,디올뉴싼타페,연솔하,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0017.jpg,␣,T1O6A3V,␣,07,김하늘,2497cc,안솔윤,36,11,1989.05.17,∅,2025,포터Ⅱ,안솔윤,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0018.jpg,␣,T1P1S7N,␣,25,박선우,2497cc,류영솔,48,02,1989.06.07,∅,2025,디올 뉴 싼타페,류영솔,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0019.jpg,␣,T1L4K2H,␣,08,최서아,1999cc,백시우,60,04,1989.06.23,∅,2025,쏘나타 디 엣지 HEV,백시우,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0020.jpg,␣,T1G9D5J,␣,14,정현우,1580cc,장우영,12,06,1989.07.09,∅,2025,THE 니로,장우영,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0021.jpg,␣,T1C3B8F,␣,28,강민지,1598cc,진시채,24,08,1989.07.25,∅,2025,The new 스포티지,진시채,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0022.jpg,␣,T1Z7X1W,␣,15,윤도윤,2393cc,천나연,36,10,1989.08.11,∅,2025,디올뉴 그랜져 HEV,천나연,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0023.jpg,␣,T1V5N4R,␣,11,배하늘,2497cc,하은라,48,12,1989.08.27,∅,2025,포터Ⅱ,하은라,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0024.jpg,␣,T1Y2M6Q,␣,23,송지훈,3778cc,채채서,60,01,1989.09.03,∅,2025,디올뉴 팰리세이드 7인승,채채서,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0025.jpg,␣,T1H6J9L,␣,31,김도윤,998cc,지빛별,12,03,1989.09.19,∅,2025,레이,지빛별,✔,✔
