image_path,011,005,000,003,007,001,013,006,002,004,009,012,010,014,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0000.jpg,✔,✘,2025,(주)에스엔피커뮤니케이션,2025,01,␣,✔,15,✔,15,9C1CCC004,장곡유하,␣,01
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0001.jpg,✔,✘,2025,티에이치산업개발,2025,03,␣,✔,22,✔,22,9C1CCC004,남재서민,␣,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0002.jpg,✔,✘,2025,서현기계(주),2025,05,␣,✔,08,✔,08,9C1CCC004,구초우은,␣,05
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0003.jpg,✔,✘,2025,대한예수교장로회중원햇빛교회,2025,07,␣,✔,11,✔,11,9C1CCC004,인도슬,␣,07
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0004.jpg,✔,✘,2025,광전운수,2025,09,␣,✔,03,✔,03,9C1CCC004,명예서,␣,09
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0005.jpg,✔,✘,2025,올리브떡볶이,2025,11,␣,✔,29,✔,29,9C1CCC004,유유영,␣,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0006.jpg,✔,✘,2025,파리바게트 ( 북수점 ),2025,02,␣,✔,04,✔,04,9C1CCC004,염우영채,␣,02
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0007.jpg,✔,✘,2025,기독교한국침례회생명의빛교회,2025,04,␣,✔,18,✔,18,9C1CCC004,인현시,␣,04
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0008.jpg,✔,✘,2025,멕시카나미룡대명점,2025,06,␣,✔,25,✔,25,9C1CCC004,하현예,␣,06
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0009.jpg,✔,✘,2025,(주)이포에프,2025,8,␣,✔,12,✔,12,9C1CCC004,채예현,␣,08
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0010.jpg,✔,✘,2025,공장개발종합건설,2025,10,␣,✔,7,✔,7,9C1CCC004,소라초,␣,10
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0011.jpg,✔,✘,2025,(주)한일통운,2025,12,␣,✔,31,✔,31,9C1CCC004,설재수,␣,12
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0012.jpg,✔,✘,2025,주식회사 남경전기,2025,1,␣,✔,9,✔,9,9C1CCC004,반현재,␣,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0013.jpg,✔,✘,2025,석재용달화물,205,03,␣,✔,16,✔,16,9C1CCC004,윤초도,␣,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0014.jpg,✔,✘,2025,대한예수교장로회예심교회,2025,05,␣,✔,23,✔,23,9C1CCC004,안초초,␣,05
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0015.jpg,✔,✘,2025,어상식품영농조합법인,2025,07,␣,✔,05,✔,05,9C1CCC004,신서우,␣,07
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0016.jpg,✔,✘,2025,화원산업개발(주),2025,09,␣,✔,19,✔,19,9C1CCC004,강우도,␣,09
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0017.jpg,✔,✘,2025,사단법인 사회적기업 청람,2025,11,␣,✔,14,✔,14,9C1CCC004,홍수슬,␣,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/090/A0018.jpg,✔,✘,2025,대륙엔지니어링,2025,2,␣,✔,28,✔,28,9C1CCC004,한영진,␣,2
