image_path,015,017,022,033,051,002,041,032,040,050,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0000.jpg,␣,✔,✔,✔,␣,010 1234 5678,␣,␣,␣,␣,✔,␣,12-12-123456-78,010 2345 6789,1993897689,✘,✘,✘,김지훈,✘,✘,✘,✘,␣,✔,✘,✘,␣,␣,✘,13650000,SP00NAB026,✘,␣,✔,✘,✘,␣,✔,1123456789,HD033803,✔,✔,강민준,✔,␣,␣,␣,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0001.jpg,␣,✔,✔,✔,␣,010-9876-5432,␣,␣,␣,␣,✔,␣,13-34-987654-32,010-8765-4321,2005628800,✘,✘,✘,이지혜,✘,✘,✘,✘,␣,✔,✘,✘,␣,␣,✘,54410000,SP00NAB026,✘,␣,✔,✘,✘,␣,✔,1987654321,KD000546,✘,✔,김서연,✔,␣,␣,␣,✔,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0002.jpg,␣,✔,✔,✔,␣,010 2468 1357,␣,␣,␣,␣,✘,␣,14 56 246813 57,010-3456-7890,2005812477,✘,✘,✘,박서준,✘,✘,✘,✘,␣,✔,✘,✘,␣,␣,✘,41850000,SP00NAB026,✘,␣,✔,✘,✘,␣,✔,1234567890,HD010812,✔,✔,박지훈,✔,␣,␣,␣,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0003.jpg,␣,✘,✔,✔,␣,010-8642-0975,␣,␣,␣,␣,✘,␣,␣,010-9012-3456,19999244753,✘,✘,✘,최수진,✘,✘,✘,✘,␣,✔,✘,✘,␣,␣,✔,20980000,SP00NAB026,✘,␣,✔,✘,✘,␣,✔,1864209751,HD031540,✔,✔,이수아,✔,␣,␣,␣,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0004.jpg,␣,✔,✔,✔,␣,010.1357.9246,␣,␣,␣,␣,✘,␣,16 90 135792 46,010 4567 8901,2003264348,✘,✔,✘,정우성,✘,✘,✘,✘,␣,✔,✘,✘,␣,␣,✘,53813000,SP00NAB026,✘,␣,✔,✘,✘,␣,✔,1357924680,KD025327,✘,✔,최준호,✘,␣,␣,␣,✔,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0005.jpg,␣,✔,✔,✔,␣,010-7531-8640,␣,␣,␣,␣,✘,␣,17-11-753186-40,010-5678-9012,2002045272,✘,✔,✘,윤지혜,✘,✘,✘,✘,␣,✔,✔,✘,␣,␣,✔,38752000,SP00NAB026,✘,␣,✘,✘,✘,␣,✘,1753186420,H2819873,✔,✔,정예나,✘,␣,␣,␣,✘,✔,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0006.jpg,␣,✔,✔,✔,␣,010 3692 5814,␣,␣,␣,␣,✘,␣,18 22 369258 14,010 6789 0123,1997170625,✘,✘,✔,장동건,✘,✘,✘,✘,␣,✔,✘,✘,␣,␣,✘,43180000,SP00NAB026,✘,␣,✘,✘,✘,␣,✘,13 69258147,HD031376,✔,✔,윤도현,✘,␣,␣,␣,✘,✔,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0007.jpg,␣,✔,✔,✔,␣,010-5814-3692,␣,␣,␣,␣,✘,␣,19-33-581436-92,010-7890-1234,2001872591,✘,✘,✔,임수향,✘,✔,✘,✘,␣,✔,✔,✘,␣,␣,✘,28085600,SP00NAB026,✘,␣,✘,✘,✘,␣,✘,1581436920,HD 022864,✔,✔,장서현,✘,␣,␣,␣,✘,✔,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0008.jpg,␣,✔,✔,✔,␣,010 4175 3086,␣,␣,␣,␣,✘,␣,20 44 417530 86,010 8901 2345,1995605248,✘,✘,✔,한가인,✘,✔,✘,✘,␣,✔,✔,✘,␣,␣,✘,54280000,SP00NAB026,✘,␣,✘,✘,✘,␣,✘,1417530862,HD035158,✔,✔,임지훈,✘,␣,␣,␣,✘,✔,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/235/A0009.jpg,␣,✔,✔,✔,␣,010-6295-1470,␣,␣,24,␣,✘,␣,21-55-629514-70,010-9012-3456,1994422326,✔,✘,✘,김민서,✘,✘,✔,✘,␣,✔,✔,✘,␣,␣,✘,21360000,SP00NAB026,✘,␣,✘,✘,✔,␣,✘,1629514703,KD001749,✘,✔,한지민,✘,␣,␣,␣,✔,✘,␣,✘
