image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,102,101,083,076,049,081,020,029,064,028,068,011,072,077,003,025,001,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,103,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078,104
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0000.jpg,✔,✘,비내화 일반 도자기 제조업,✔,✘,␣,✘,✔,✘,␣,␣,✘,␣,✔,✘,강원특별자치도 속초시 장안로2길 17 (동명동),✘,서보임,051-4564-1424,✘,✘,✘,AKLA54,✔,␣,✘,✘,✘,✘,✘,␣,✔,충청남도 천안시 서북구 성환읍 성환리 357-11,␣,2010,✘,895-05-97020,✘,윤휘철,083-438148-694,부탄,␣,서울특별시 동대문구 하정로4길 6-4 (신설동),␣,✘,✔,␣,예해도,␣,31,✘,SEO SEUNGPIL,티,2021,MO INDONG,␣,✔,✔,미쓰비시UFJ은행,25,엘살바도르,␣,1532806284,✘,부사장,✘,✘,b4pi_h.d6g,9,✔,␣,␣,✘,✘,우하밀,␣,✘,여자,✔,✘,␣,✘,✘,␣,✘,✘,✘,반찬.,✔,✘,478-119-894220,␣,2001/7/18,9282151666,배홍림,␣,카카오뱅크,의학을,9,685-00-72401,043-8981-7389,✘,✔,UOI59KI
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0001.jpg,✘,✔,␣,✘,✔,YUN KOHALU,✘,✘,✔,우다윈,8,✔,␣,✘,✘,강원특별자치도 횡성군 안흥면 안흥리 202-63,✘,␣,032-6745-2958,✔,✘,✘,AKLA54,✔,영어,✘,✘,✘,✘,✘,␣,✘,경기도 김포시 통진읍 서암리 420-6,041-4791-5319,2019,✔,738-63-64872,✘,명대정,718-197726-612,온두라스,cyworld.com,␣,고래목에,✘,✘,␣,원하록,010-9567-6705,28,✔,DU DAE-YUN,칭호.,2011,DAN UI-YEON,␣,✘,✘,하나은행,␣,␣,xowv1yxouvsw,9478406038,✘,감사,✘,✘,m3k-6lz,10,✘,o-bz._eb8ktc8,mailinator.com,✘,✘,␣,␣,✘,␣,✘,✔,␣,✘,✘,1908년 8월 20일,✘,✘,✘,␣,✘,✔,032-712-740431,본인,2039/4/22,9181039261,마설경,산.,신한은행,사람이,7,␣,02-207-3103,✘,✔,UMYO1P0
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0002.jpg,✘,✘,␣,✔,✘,␣,✘,✔,✘,채류림,1,✘,충청남도 천안시 동남구 구성동 460-5 (유창빌라),✘,✘,␣,✘,복성아,␣,✘,✔,✔,AKLA54,✔,완곡하게,✔,✘,✘,✔,✘,1911-06-23,✔,울산광역시 남구 신정동 791-5 (우상빌리지),043-4826-6960,2029,✘,␣,✘,육대수,888-365217-734,키르기스스탄,mailinator.com,전북특별자치도 정읍시 감곡면 진흥리 552-1,␣,✔,✘,␣,방소단,010-4417-5604,1,✔,GEUM BON-A,자새질,2020,DO YEONGGANG,␣,✘,✘,부산은행,29,␣,l0z-0kh.u4j,1045696972,✘,␣,✘,✘,ox4-2z-pkj1d,11,✔,␣,adobe.com,✘,✘,맹소훈,laposte.net,✔,여자,✘,✘,055-7706-0340,✔,✘,␣,✔,✘,✔,␣,✘,✔,070155-79-280927,자녀,␣,1407092850,␣,상스럽고,우리은행,␣,10,946-91-16079,031-4457-2460,✘,✘,UFEKS89
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0003.jpg,✘,✘,␣,✘,✘,SEON U-YEONBIN,✘,✘,✘,␣,5,✘,경상남도 함양군 함양읍 함양로 180 (죽림리),✘,✘,울산광역시 울주군 삼남읍 교동리 284-6,✔,␣,042-1978-8090,✘,✘,✘,AKLA54,✘,여러,✔,✘,✔,✔,✔,1910.01.19,✘,경기도 화성시 황계남길123번길 10-12 (황계동),033-6626-1348,␣,✘,875-79-28891,✘,연보근,325044-59-098210,브루나이,hanyang.ac.kr,강원특별자치도 강릉시 교동 865-5,두,✔,✔,1942/2/15,은세로,␣,12,✔,GWON GYULAE,환급하지,2011,␣,표신띠아,✘,✘,DBS은행,␣,스위스,h4km53fn,9632725636,✘,부문장,✘,✘,␣,12,✘,i2butz25n3-z8,␣,✔,✘,␣,korea.ac.kr,✘,여자,✘,✘,␣,✔,✘,␣,✘,✘,✘,␣,✔,✘,576-883-886275,조부모,1942.03.07,9484044925,변이영,불교에,중국공상은행,수직으로,␣,992-03-45224,␣,✘,✔,UFYTVJ4
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0004.jpg,✘,✘,음ㆍ식료품 및 담배 가공기계 제조업,✘,✘,EUN KOLLIN,✔,✔,✘,␣,␣,✘,␣,✘,✘,␣,✔,␣,062-8999-4384,✘,✘,✘,AKLA54,✘,␣,✔,✔,✘,✘,✘,1989년 1월 10일,✘,부산광역시 금정구 구서동 731-27,053-4494-4995,2016,✔,1959년 11월 18일,✔,예엘리야,035-573382-831,␣,jawamail.com,␣,␣,✘,✘,␣,승례은,010-7847-9091,␣,✔,␣,␣,2030,YUG YE-YANG,␣,✘,✔,␣,27,이스라엘,vxik0-ibc063y,1622570846,✔,␣,✘,✘,awg5gki3a9,16,✘,wkaus2ytm_av,forty4.com,✘,✔,송유은,␣,✔,여자,✘,✘,061-8107-1371,✘,✘,1929.1.22,✘,✘,✘,␣,✘,✔,␣,형제자매,1959년 11월 18일,9438540102,␣,빨아,한국은행,␣,7,␣,␣,✘,✘,UCYTG4C
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0005.jpg,✘,✘,␣,✘,✔,EOM LEMI,✔,✘,✘,갈명효,␣,✔,서울특별시 노원구 덕릉로 774 (상계동),✔,✘,␣,✘,␣,032-5331-8842,✔,✔,✔,AKLA54,✔,눈을,✔,✘,✔,✔,✔,1973-01-14,✘,경기도 연천군 미산면 청정로1210번길 186 (마전리),041-7223-4624,2027,✔,087-65-89409,✘,␣,␣,대한민국,␣,␣,␣,✔,✔,1908년 11월 26일,좌이치카,010-7647-3455,␣,✔,HYEON SU-YE,␣,␣,IM ALIM,유론,✘,✘,수협은행,2,␣,qhz229-ua,1643627253,✘,␣,✘,✘,␣,5,✘,amnc6-ixryd,buffalo.edu,✘,✘,␣,fau.edu,✔,여자,✘,✔,043-3148-8902,✔,✘,␣,✘,✘,✔,서쪽으로,✘,✘,250-84300615-99,손자녀,1935/12/10,1108288719,황보민웅,거짓으로,␣,␣,␣,␣,␣,✔,✔,U0944A2
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0006.jpg,✘,✔,␣,✔,✘,␣,✔,✔,✘,신주언,1,✔,서울특별시 서초구 방배동 467-14,✘,✘,제주특별자치도 서귀포시 안덕면 상아니올로 69-17 (감산리),✘,오천아,062-9197-9984,✔,✘,✔,AKLA54,✔,다리에,✔,✘,✘,✘,✘,␣,✘,전북특별자치도 전주시 덕진구 우아동2가 880-11 (뉴욕빌라),␣,2017,✘,804-34-52739,✘,␣,␣,슬로베니아,netsgo.com,␣,␣,✘,✘,1942-01-06,송아민,010-6048-7980,11,✘,PI JONGSEO,␣,2029,␣,␣,✘,✘,소시에테제네랄,␣,␣,kdp6nsn80lk0,1115747243,✘,상무,✘,✔,␣,26,✔,dx8ctfy,␣,✔,✔,팽한슬,␣,✘,남자,✘,✘,␣,✘,✘,2046.04.14,✔,✔,✘,노릇을,✔,✘,␣,본인,␣,9562023430,김희산,어근.,HSBC,␣,12,255-18-04977,␣,✘,✘,U8CCZLU
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0007.jpg,✔,✘,"가전제품, 통신장비 및 부품 도매업",✘,✔,GO EUNSUG,✘,✔,✘,␣,11,✔,전라남도 순천시 해룡면 신성리 474,✘,✘,경상북도 경주시 양남면 나산리 365,✘,␣,␣,✔,✘,✘,AKLA54,✘,␣,✔,✘,✘,✔,✔,1924/5/27,✘,"경상북도 경주시 안강읍 두류길 178-12 (두류리, (주)녹색환경)",041-9137-2659,␣,✔,940-16-15586,✔,도티아라,889-76859133-96,스위스,␣,경기도 광명시 오리로406번길 28-7 (소하동),"뜻으로,",✘,✘,1921년 11월 13일,제동성,010-5046-5363,4,✘,DANG YE-EUL,␣,2015,GAL CHANG-WAN,팽국영,✘,✘,␣,␣,이스라엘,␣,1300680231,✔,대리,✘,✘,␣,18,✘,␣,dreamwiz.com,✘,✔,권다교,juno.com,✘,남자,✔,✘,␣,✘,✘,2032-11-12,✔,✘,✘,묶이거나,✔,✘,758-394206-492,␣,1921.6.16,1580323515,␣,재료로,␣,␣,1,903-65-46801,␣,✘,✘,UHGDKY5
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0008.jpg,✘,✘,␣,✘,✘,EO SEOGYEONG,✘,✔,✘,시기택,2,✘,경기도 안성시 공도읍 용정길 20-47 (중복리),✔,✔,충청남도 예산군 응봉면 예당로 1423 (노화리),✘,오보혜,055-4696-6264,✘,✘,✘,AKLA54,✘,비장06,✔,✔,✘,✘,✔,␣,✘,␣,033-8622-4738,2020,✘,588-55-01141,✘,이은섬,668955-21-470418,몬테네그로,␣,경기도 포천시 영중면 호국로3143번길 3 (성동리),공도,✘,✔,2023-05-19,␣,010-9561-7821,␣,✘,␣,␣,␣,␣,␣,✘,✘,␣,␣,싱가포르,␣,1276116424,✔,연구원,✘,✘,n8z3r4ur0yh,22,✘,vn8qmyom1jja,␣,✔,✘,␣,bigpond.com,✘,남자,✔,✔,␣,✔,✔,␣,✔,✘,✘,짧거나,✘,✘,␣,조모,2036년 4월 10일,9885599665,부재수,있다.,우리은행,엎드리거나,12,␣,054-9262-2033,✘,✘,U9651CC
/mnt/AI_NAS/Data/현대캐피탈/data/images/256/C0009.jpg,✘,✘,자연과학 및 공학 융합 연구개발업,✘,✔,␣,✘,✘,✘,␣,␣,✘,전라남도 강진군 강진읍 서산리 133-1,✘,✔,경기도 안양시 만안구 박달동 55-35,✘,육찬양,064-5126-1517,✘,✔,✘,AKLA54,✘,인공위성,✘,✔,✘,✔,✔,1909/11/29,✘,울산광역시 북구 매곡2로 16 (매곡동),␣,␣,✘,440-39-54619,✔,여원재,␣,오스트리아,hunter.cuny.edu,서울특별시 광진구 자양동 840-8,␣,✘,✔,1987/11/26,안설기,␣,␣,✘,PI EUNSOM,␣,␣,CHOE GYEONG-EUN,구그리,✘,✘,␣,␣,말레이시아,tyx8fvmob45,9463457565,✘,CTO,✘,✘,bed1du46tkl,1,✘,␣,peoplepc.com,✘,✘,홍양리,offmail.com,✔,남자,✔,✔,␣,✔,✘,␣,✘,✘,✔,감각하여,✔,✔,263-87763063-76,본인,1937-12-08,9003973583,지정성,␣,수협은행,신하로,␣,891-68-45917,053-5271-9586,✘,✔,U0K9N35
