image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,034,053,054,030,046,005,000,031,048,066,004,012,027
A0000,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,YeomChaebyeor,␣,1988.12.24,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,염채별,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,01,15,␣,✘,␣,염채별,␣,✘,✘,010-3456-8901,␣,␣
A0001,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HWANGSEONGBICH,␣,1989-01-22,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,황성빛,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,3,22,␣,✘,␣,황성빛,␣,✘,✘,010.7890.9012,␣,␣
A0002,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,WANGYUMIN,␣,1989-02-07,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,왕유민,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,5,8,␣,✘,␣,왕유민,␣,✘,✘,010.1234.9123,␣,␣
A0003,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,CHOEYUN,␣,1989.2.23,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,최윤,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,7,11,␣,✘,␣,최윤,␣,✘,✘,01056789234,␣,␣
A0004,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,YANGSEURSEO,␣,1989.3.12,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,양슬서,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,9,3,␣,✘,␣,양슬서,␣,✘,✘,010 9012 9345,␣,␣
A0005,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,TAGNASOR,␣,1989-03-28,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,탁나솔,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,11,29,␣,✘,␣,탁나솔,␣,✘,✘,010-3456-9456,␣,␣
A0006,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HANAMJAEBYEOR,␣,1989-04-14,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,하남재별,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,02,04,␣,✘,␣,하남재별,␣,✘,✘,010.7890.9567,␣,␣
A0007,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,8,␣,␣,JOBICHYE,␣,1989-05-01,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,조빛예,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,04,18,␣,✘,␣,조빛예,␣,✘,✘,010-1234-9678,␣,␣
A0008,␣,␣,␣,␣,␣,␣,✔,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,25,␣,␣,YEONNARAE,␣,1989-05-17,␣,✘,6,␣,␣,␣,✘,연나래,✘,␣,2025,␣,✘,␣,␣,␣,∅,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,연나래,␣,✘,✔,010-5678-9789,␣,␣
A0009,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,CHOENAHYEON,␣,1989.06.07,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,최나현,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,08,12,␣,✘,␣,최나현,␣,✘,✘,010-9012-9890,␣,␣
A0010,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,GWEONSIJI,␣,1989-06-23,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,권시지,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,10,07,␣,✘,␣,권시지,␣,✘,✘,010-3456-9901,␣,␣
A0011,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,Souhana,␣,1989.7.9,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,소우하나,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,12,31,␣,✘,␣,소우하나,␣,✘,✘,010-7890-0012,␣,␣
A0012,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HEONARAESEO,␣,1989.7.25,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,허나래서,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,1,9,␣,✘,␣,허나래서,␣,✘,✘,010-1234-0123,␣,␣
A0013,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,IMBYEORJI,␣,1989-08-11,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,임별지,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,03,16,␣,✘,␣,임별지,␣,✘,✘,010-5678-0234,␣,␣
A0014,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,MOUHANA,␣,1989-08-27,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,모우하나,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,05,23,␣,✘,␣,모우하나,␣,✘,✘,010-9012-0345,␣,␣
A0015,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,JANGSORHYEON,␣,1989-09-03,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,장솔현,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,07,05,␣,✘,␣,장솔현,␣,✘,✘,010-3456-0456,␣,␣
A0016,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,MUNRAJAE,␣,1989-09-19,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,문라재,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,09,19,␣,✘,␣,문라재,␣,✘,✘,010-7890-0567,␣,␣
A0017,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HWANGBOBICHCHO,␣,1989-10-05,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,황보빛초,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,11,14,␣,✘,␣,황보빛초,␣,✘,✘,010-1234-0678,␣,␣
A0018,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,JEONSEONGJUN,␣,1989-10-21,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,전성준,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,02,28,␣,✘,␣,전성준,␣,✘,✘,010-5678-0789,␣,␣
A0019,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HANAMMINYU,␣,1989.11.07,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,하남민유,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,04,01,␣,✘,␣,하남민유,␣,✘,✘,010-9012-0890,␣,␣
A0020,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,GIRHANAHA,␣,1989-11-23,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,길하나하,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,6,17,␣,✘,␣,길하나하,␣,✘,✘,010-3456-0901,␣,␣
A0021,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,SEOUNGBICHYE,␣,1989-12-09,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,성빛예,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,08,24,␣,✘,␣,성빛예,␣,✘,✘,010-7890-1012,␣,␣
A0022,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,INSEONGTAE,␣,1989-12-25,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,인성태,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,10,10,␣,✘,␣,인성태,␣,✘,✘,010-1234-1123,␣,␣
A0023,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HADOCHAE,␣,1990-01-24,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,하도채,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,12,08,␣,✘,␣,하도채,␣,✘,✘,010-5678-1234,␣,␣
A0024,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HANYUNYEONG,␣,1990-02-09,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,한윤영,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,01,21,␣,✘,␣,한윤영,␣,✘,✘,010-9012-1345,␣,␣
A0025,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,CHUSEODO,␣,1990-02-05,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,추서도,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,03,30,␣,✘,␣,추서도,␣,✘,✘,010-3456-1456,␣,␣
A0026,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,JEONG HO BICHSEURNA,␣,1990.03.14.,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,정호빛슬나,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,5,10,␣,✘,␣,정호빛슬나,␣,✘,✘,010-7890-1567,␣,␣
A0027,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,SINSORBYEOR,␣,1990.03.30,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,신솔별,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,7,26,␣,✘,␣,신솔별,␣,✘,✘,010-1234-1678,␣,␣
A0028,␣,␣,␣,␣,␣,␣,✔,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HONGHYEONSEURU,␣,1990-04-16,␣,✘,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,홍현슬우,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,09,06,␣,✘,␣,홍현슬우,␣,✘,✘,010-5678-1789,␣,␣
A0029,␣,␣,␣,␣,␣,␣,✘,␣,␣,2025,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,HONGYUNYU,␣,1990-05-02,␣,✘,␣,␣,␣,␣,✘,␣,✔,␣,␣,␣,✔,␣,␣,␣,∅,␣,␣,홍윤유,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,11,20,␣,✘,␣,홍윤유,␣,✘,✘,010-9012-1890,␣,␣
C0000,2049년 8월 1일,␣,약사오빠,␣,053-4873-1594,경기도 평택시 서탄면 적봉길 12-8 (적봉리),✔,␣,␣,2029,전북특별자치도 고창군 흥덕면 흥덕리 176-10,서울특별시 성북구 북악산로 793-3 (정릉동),"73,480,000",일반적인,␣,✘,12,✘,␣,␣,␣,20,9554418246,␣,SEONG HYEOGCHAN,␣,2022-05-28,3,✔,1,명마앙,실장,␣,✔,경담설,✘,손녀,2015,010-0013-0764,✔,␣,1,␣,∅,불가리아,␣,박장군,수행에,␣,15,010-1186-3152,032-1297-4104,✘,안에,041-1044-9277,2010,ZBOGEB9,경기도 이천시 호법면 매곡리 409,1,24,대만,✔,딸,남궁해밀,NAM HAECHAN,✔,✔,␣,␣,␣
C0001,2005.5.18,␣,␣,카타르,044-6251-2570,경상북도 김천시 율곡동 682,✘,손자,현대백화점,2014,제주특별자치도 제주시 거로동길 4 (화북일동),충청북도 보은군 탄부면 평각1길 24-9 (평각리),␣,분파의,프로젝트 매니저,✔,␣,✔,전라남도 영광군 영광읍 청보리로1길 10 (연성리),1969-05-15,추류찬,11,1679650288,22,SEUNG JUNHUI,␣,2044-07-26,18,✘,9,가진은,연구원,태황민,✘,␣,✘,조부모,2029,010-4547-4275,✘,심엔터테인먼트,␣,20,∅,페루,051-9777-6110,왕하을,아니하고,CTO,17,␣,␣,✘,가운데에는,␣,2024,ZCAMIKW,제주특별자치도 제주시 성화로1길 8-1 (용담이동),12,6,파라과이,✔,형제자매,␣,␣,✘,✘,␣,경상남도 산청군 산청읍 웅석봉로86번길 32 (옥산리),041-9118-5453
C0002,1964/8/6,DAN CHANGHWAN,131LABEL,방글라데시,054-3259-4785,␣,✔,␣,미래신용정보,␣,␣,충청남도 당진시 송산면 장재길 154-48 (동곡리),␣,궁전과,과장,✘,9,✘,␣,␣,사아비,20,9483729732,16,ON HAE,055-1026-0645,␣,1,✘,3,␣,실장,인헤더,✘,백예빛나,✘,형제자매,␣,010-1762-7067,✘,드봉,␣,␣,∅,␣,033-2199-2109,␣,흐르는,사원,14,010-0381-8873,␣,✔,궁하고,062-1643-6416,␣,ZJTQRLS,서울특별시 마포구 월드컵로1길 10 (합정동),9,3,베트남,✘,자녀,␣,BAG LE-ILA,✘,✘,010-2584-7742,전북특별자치도 김제시 양전동 163-5,033-9238-6653
C0003,1949.3.16,MIN YUN-YEONG,GS그룹,오스트리아,052-5850-0928,대구광역시 달성군 논공읍 약산덧재3길 6 (하리),✘,형제자매,대한전선,␣,경상북도 문경시 산북면 가곡길 129-5 (가곡리),울산광역시 울주군 청량읍 율리 303,"77,870,000",거느리고,␣,✘,11,✘,울산광역시 남구 신정로 38 (달동),1919-01-04,지수엽,␣,9913863590,15,BYEON YOLIM,031-9937-9688,1953/7/22,12,✘,5,␣,␣,연래율,✘,␣,✘,자녀,␣,␣,✘,이피지,␣,16,∅,␣,061-5685-8951,강려현,배우게,이사,15,␣,042-2547-1702,✔,또는,052-2322-1384,␣,ZDK5FXN,충청남도 천안시 서북구 성환읍 성환2로 97 (성환리),␣,12,스웨덴,✘,조부모,정구준,␣,✘,✘,␣,대전광역시 서구 관저동 1405,055-8963-4524
C0004,1904년 12월 2일,JU GYUSIG,예림미디어,␣,031-2268-3039,부산광역시 서구 서대신동2가 478-8,✔,손자녀,호텔신라,2016,서울특별시 광진구 뚝섬로51길 1 (자양동),충청북도 청주시 상당구 미원면 월용리 219-16,"72,290,000",쓰촨성,본부장,✔,5,✔,␣,1920/11/19,모아진,20,1159739325,27,GWON YEOHUN,064-4775-0250,1949년 10월 23일,5,✔,6,염태금,␣,␣,✘,옥인회,✘,␣,␣,010-9577-6759,✔,한국신발산업협회,␣,3,∅,일본,␣,␣,␣,CTO,19,␣,␣,✘,␣,␣,␣,ZVYF2N9,전라남도 순천시 해룡면 호두리 206-1,␣,␣,␣,✘,모,␣,␣,✘,✘,010-1124-3894,경상남도 양산시 남부동 875-6 (송림레저텔),031-4276-5585
C0005,␣,YEO HUI-YU,동서석유화학,␣,054-1662-2478,전북특별자치도 무주군 무풍면 구천동로 509 (삼거리),✔,손자녀,동아일보,2014,경기도 성남시 수정구 대왕판교로 907 (시흥동),전라남도 여수시 신월로 638-1 (국동),4230000,트집을,부회장,✔,6,✘,경상북도 경산시 진량읍 평사리(平沙) 221-4,1984.11.28,지조한,25,9676479326,␣,␣,062-135-7189,1983-12-17,11,✔,␣,␣,␣,␣,✔,임영리,✔,조모,␣,010-8991-9917,✔,현대카드,␣,␣,∅,파라과이,051-8441-5554,금오령,탄서하여,감사,25,010-4490-9434,␣,✔,방법.,064-0209-8627,␣,Z6VJPKJ,서울특별시 강북구 번동 510-22 (번창빌라),5,␣,폴란드,✘,␣,봉이화,SO JUN-UNG,✘,✘,010-9827-9559,␣,␣
