image,011,005,000,003,007,001,006,002,004,009,010,008
A0000,␣,␣,✔,✔,주우지은나,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0001,␣,␣,✔,✔,정윤영솔,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0002,␣,␣,✔,✔,권현별,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0003,␣,␣,✔,✔,신예시,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0004,␣,␣,✔,✔,엄나래솔,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0005,␣,␣,✔,✔,현별수,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0006,␣,␣,✔,✔,채솔은,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0007,␣,␣,✔,✔,모성진,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0008,␣,␣,✔,✔,방솔진,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0009,␣,␣,✔,✔,강라,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0010,␣,␣,✔,✔,맹초라,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0011,␣,␣,✔,✔,하남우나,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0012,␣,␣,✔,✔,반준하,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0013,␣,␣,✔,✔,홍호서,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0014,␣,␣,✔,✔,전시별,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0015,␣,␣,✔,✔,최유시,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0016,␣,␣,✔,✔,박진우,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0017,␣,␣,✔,✔,노유진,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0018,␣,␣,✔,✔,여연민,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0019,␣,␣,✔,✔,류도유,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0020,␣,␣,✘,✔,양연진,✔,␣,✘,␣,SP13ZFG002,␣,✔
A0021,␣,␣,✔,✔,육영윤,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0022,␣,␣,✔,✔,사공연,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0023,␣,␣,✔,✔,박현우,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0024,␣,␣,✔,✔,홍나현,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0025,␣,␣,✔,✔,맹민서,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0026,␣,␣,✔,✔,차재우,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0027,␣,␣,✔,✔,나연수,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0028,␣,␣,✔,✔,공시빛,✘,␣,✘,␣,SP13ZFG002,␣,✔
A0029,␣,␣,✔,✔,서문우,✘,␣,✘,␣,SP13ZFG002,␣,✔
D0000,SCGSO13,11,✘,✘,단현섭,✘,16,✘,2040,SP13ZFG002,9039382964,✔
D0001,S06WTLW,5,✘,✔,호창한,✔,␣,✘,2018,SP13ZFG002,9722508518,✔
D0002,S39YOJD,␣,✘,✘,조비안,✘,30,✘,2007,SP13ZFG002,␣,✔
D0003,S14GLU4,10,✔,✘,여로화,✔,␣,✔,2027,SP13ZFG002,9620980482,✔
D0004,S0U56NJ,10,✔,✔,␣,✘,␣,✘,2020,SP13ZFG002,␣,✘
E0000,␣,1,✔,✘,␣,✘,23,✘,2029,SP13ZFG002,␣,✘
