image,021,010,015,017,022,014,020,019,008,011,016,005,000,013,025,026,007,001,006,023,018,004,009,027,024,012
A0000,␣,2025,␣,␣,␣,✔,␣,✘,✘,5,␣,✔,✘,김민준,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
A0001,␣,2025,␣,␣,␣,✔,␣,✘,✘,02,␣,✔,✘,이서연,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,10
A0002,␣,2025,␣,␣,␣,✔,␣,✘,✘,01,␣,✔,✘,박도현,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
A0003,␣,2025,␣,␣,␣,✔,␣,✘,✘,09,␣,✔,✘,최지우,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,01
A0004,␣,2025,␣,␣,␣,✔,␣,✘,✘,11,␣,✔,✘,정현우,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
A0005,␣,2025,␣,␣,␣,✔,␣,✘,✘,4,␣,✔,✘,윤수아,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,5
A0006,␣,2025,␣,␣,␣,✔,␣,✘,✘,3,␣,✔,✘,장우진,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,1
A0007,␣,2025,␣,␣,␣,✔,␣,✘,✘,10,␣,✔,✘,송하윤,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
A0008,␣,2025,␣,␣,␣,✔,␣,✘,✘,07,␣,✔,✘,강지훈,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,08
A0009,␣,2025,␣,␣,␣,✔,␣,✘,✘,1,␣,✔,✘,한서준,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,12
A0010,␣,2025,␣,␣,␣,✔,␣,✘,✘,5,␣,✔,✘,임준서,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,10
A0011,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,신동욱,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,18
A0012,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,신동욱,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,18
A0013,␣,2025,␣,␣,␣,✔,␣,✘,✘,12,␣,✔,✘,권보람,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,3
A0014,␣,2025,␣,␣,␣,✔,␣,✘,✘,6,␣,✔,✘,조현우,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
A0015,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,(주)미래솔루션,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
A0016,␣,2025,␣,␣,␣,✔,␣,✘,✘,11,␣,✔,✘,(주)한빛개발,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,05
A0017,␣,2025,␣,␣,␣,✔,␣,✘,✘,06,␣,✔,✘,(주)새롬테크,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
A0018,␣,2025,␣,␣,␣,✔,␣,✘,✘,10,␣,✔,✘,(주)영진물산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
A0019,␣,2025,␣,␣,␣,✔,␣,✘,✘,12,␣,✔,✘,(주)금강산업,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,03
A0020,␣,2025,␣,␣,␣,✔,␣,✘,✘,7,␣,✔,✘,(주)대우무역,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,8
A0021,␣,2025,␣,␣,␣,✔,␣,✘,✘,01,␣,✔,✘,에너지포스,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,12
A0022,␣,2025,␣,␣,␣,✔,␣,✘,✘,2,␣,✔,✘,에어로스페이스,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,25
A0023,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,매직제일물산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,18
A0024,␣,2025,␣,␣,␣,✔,␣,✘,✘,12,␣,✔,✘,전자디스플레이,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,03
A0025,␣,2025,␣,␣,␣,✔,␣,✘,✘,6,␣,✔,✘,삼성수산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
A0026,␣,2025,␣,␣,␣,✔,␣,✘,✘,10,␣,✔,✘,현대모직,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
A0027,␣,2025,␣,␣,␣,✔,␣,✘,✘,4,␣,✔,✘,제일수산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,5
A0028,␣,2025,␣,␣,␣,✔,␣,✘,✘,03,␣,✔,✘,제일주류,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,01
