image,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
A0000,␣,␣,␣,2025,(주)에스엔피커뮤니케이션,4567890123,␣,␣,234567-12-5678901,␣,∅,BNK부산은행,(주)에스엔피커뮤니케이션,01,✔,15
A0001,␣,␣,␣,2025,티에이치산업개발,5678901234,␣,␣,678901-45-9012345,␣,∅,경남은행,티에이치산업개발,03,✔,22
A0002,␣,␣,␣,2025,서현기계(주),6789012345,␣,␣,0123-45-6789012,␣,∅,광주은행,서현기계(주),05,✔,08
A0003,␣,␣,␣,2025,대한예수교장로회중원햇빛교회,7890123456,␣,␣,4567-89-0123456,␣,∅,전북은행,대한예수교장로회중원햇빛교회,07,✔,11
A0004,␣,␣,␣,2025,광전운수,8901234567,␣,␣,7890-23-3456789,␣,∅,제주은행,광전운수,09,✔,03
A0005,␣,␣,␣,2025,올리브떡볶이,9012345678,␣,␣,111111-11-2222222,␣,∅,K뱅크,올리브떡볶이,11,✔,29
A0006,␣,␣,␣,2025,파리바게트 ( 북수점 ),123456789,␣,␣,222222-22-3333333,␣,∅,OK저축은행,파리바게트 ( 북수점 ),02,✔,04
A0007,␣,␣,␣,2025,기독교한국침례회생명의빛교회,1122334455,␣,␣,333333-33-4444444,␣,∅,웰컴저축은행,기독교한국침례회생명의빛교회,04,✔,18
A0008,␣,␣,␣,2025,멕시카나미룡대명점,2233445566,␣,␣,444444-44-5555555,␣,∅,미래저축은행,멕시카나미룡대명점,06,✔,25
A0009,␣,␣,␣,2025,(주)이포에프,3344556677,␣,␣,555555-55-6666666,␣,∅,OK저축은행,(주)이포에프,8,✔,12
A0010,␣,␣,␣,2025,공장개발종합건설,4455667788,␣,␣,666666-66-7777777,␣,∅,신한저축은행,공장개발종합건설,10,✔,7
A0011,␣,␣,␣,2025,(주)한일통운,5566778899,␣,␣,777777-77-8888888,␣,∅,하나저축은행,(주)한일통운,12,✔,31
