image,011,005,000,003,007,001,006,002,004,009,010,008
A0000,␣,01,36,"410,000",대륙엔지니어링,"350,000",15,"60,000",2025,∅,␣,✔
A0001,␣,3,36,"495,000",부전수산,"420,000",22,"75,000",2025,∅,␣,✔
A0002,␣,5,36,"600,000",연천상운,"510,000",8,"90,000",2025,∅,␣,✔
A0003,␣,␣,36,710000,제갈초시,600000,␣,110000,␣,∅,␣,✔
A0004,␣,␣,56,880000,김태은은,750000,␣,130000,␣,∅,␣,✔
A0005,␣,11,36,"895,000",(주)아주산업,"840,000",29,"55,000",2025,∅,␣,✔
A0006,␣,2,60,"1,010,000",(주)세미래외장,"930,000",4,"80,000",2025,∅,␣,✔
A0007,␣,4,60,1125000,태백약초영농조합,1020000,18,105000,2025,∅,␣,✔
A0008,␣,6,60,1230000,(주)미래ENG,1110000,25,120000,2025,∅,␣,✔
A0009,␣,08,60,1340000,(주) 대상,1200000,12,140000,2025,∅,␣,✔
A0010,␣,10,60,"370,000",(주)뉴컴퍼니,"320,000",07,"50,000",2025,∅,␣,✔
A0011,␣,12,26,580000,(주)광명도장산업,480000,31,100000,2025,∅,␣,✔
A0012,␣,1,60,635000,(주)얼음골샘물,570000,9,65000,2025,∅,␣,✔
A0013,␣,03,60,745000,삼성주택(주),660000,16,85000,2025,∅,␣,✘
A0014,␣,05,51,895000,삼성석유화학(주),780000,23,115000,2025,∅,␣,✔
A0015,␣,07,60,1005000,의료법인라파엘의료재단세명재활의학병원,870000,05,135000,2025,∅,␣,✔
A0016,␣,09,60,1010000,개인용달(부산90자9450,960000,19,50000,2025,∅,␣,✔
A0017,␣,11,60,1120000,현대운수,1050000,14,70000,2025,∅,␣,✔
A0018,␣,02,60,1235000,레드마켓,1140000,28,95000,2025,∅,␣,✔
A0019,␣,04,60,1355000,도원 건축사 사무소,1230000,01,125000,2025,∅,␣,✔
A0020,␣,06,36,450000,세림 메탈,380000,17,70000,2025,∅,␣,✔
A0021,␣,08,60,"545,000",지윤사다리,"450,000",24,"95,000",2025,∅,␣,✔
A0022,␣,10,60,650000,창하금속(주),540000,10,110000,2025,∅,␣,✔
A0023,␣,12,60,765000,칠성개발(주),630000,08,135000,2025,∅,␣,✔
A0024,␣,01,60,775000,굿뜨모르겐,720000,21,55000,2025,∅,␣,✔
A0025,␣,03,60,890000,삼양건기,810000,30,80000,2025,∅,␣,✔
A0026,␣,5,60,"100,500",헤어스톡,"900,000",10,"105,000",2025,∅,␣,✔
A0027,␣,7,60,"1,200,000",풍창건설기계,"1,080,000",26,"120,000",2025,∅,␣,✔
A0028,␣,09,60,"1,315,000",유정패션,"1,170,000",06,"145,000",2025,∅,␣,✔
A0029,␣,11,36,"1,320,000",소진음악학원,"1,260,000",20,"60,000",2025,∅,␣,✔
C0000,ZIZ4AN0,10,7,"22,960,000",염주언,71220000,␣,␣,␣,∅,9608983107,✘
D0000,USQFQ9F,1,␣,"8,570,000",␣,"7,580,000",1,␣,2014,∅,9070680768,✔
D0001,UL7TC7Z,4,␣,"1,360,000",구연울,"6,610,000",␣,"64,570,000",2027,∅,9981605140,✔
D0002,UEIDV6Y,5,␣,␣,우정남,"82,840,000",1,"99,290,000",2026,∅,␣,✔
D0003,U9J88XQ,1,␣,"99,160,000",␣,"73,590,000",15,"37,380,000",␣,∅,␣,✔
D0004,UKPV9L9,5,28,"22,510,000",이로민,␣,26,␣,2028,∅,9486040587,✔
D0005,␣,12,30,␣,은앤,␣,10,"14,510,000",2022,∅,␣,✔
D0006,U6UVB7Z,12,␣,"19,460,000",강아로하,"48,730,000",3,␣,2032,∅,␣,✔
D0007,␣,2,␣,"4,730,000",␣,"24,490,000",␣,␣,2017,∅,1612520338,✘
D0008,␣,␣,28,"52,710,000",김순련,␣,10,"8,970,000",2034,∅,1258510456,✔
D0009,UA5BNTA,10,␣,"44,520,000",용종협,"64,960,000",␣,"9,480,000",2016,∅,9551241874,✘
D0010,UD5WLGC,␣,16,␣,␣,"92,980,000",17,"91,390,000",␣,∅,9161423924,✔
D0011,␣,␣,10,"93,520,000",␣,"4,250,000",27,"32,280,000",␣,∅,1532978716,✘
D0012,U4G4MTJ,4,␣,␣,서예신,␣,23,"36,570,000",␣,∅,1905002191,✘
D0013,U8ISWXJ,9,4,"54,140,000",표기향,"31,280,000",3,"78,450,000",2034,∅,␣,✘
D0014,U6C9DB0,7,8,"58,360,000",형정철,␣,26,␣,2030,∅,1186757352,✔
D0015,␣,7,15,"8,760,000",이이빈,"13,380,000",29,"39,180,000",␣,∅,␣,✔
E0000,␣,␣,16,"36,940,000",홍용국,"57,210,000",6,"78,940,000",␣,∅,9215086235,✔
E0001,␣,5,2,"9,760,000",감재학,"26,380,000",␣,"75,180,000",2033,∅,9178869986,✔
E0002,E90OX4W,12,5,"39,960,000",␣,␣,4,␣,␣,∅,␣,✘
E0003,␣,␣,21,␣,주현리,"3,640,000",3,␣,2014,∅,9189636840,✔
