image,021,015,017,022,033,034,002,032,030,020,029,028,019,011,016,000,013,001,031,027,023,018,012,009,014,010
C0000,✔,✘,✔,✘,1407650329,AQYIYW3,✘,∅,부희태,✘,␣,␣,✘,"여기거나,",✔,␣,✘,✔,✔,2018,␣,✘,✘,✘,✘,✔
C0001,✘,✘,✘,✘,9503473132,AQUVZ1H,✘,∅,␣,✔,21,1,✘,장사하는,✘,␣,✔,✔,✘,2015,수,✘,✘,✘,✘,✘
C0002,✘,✘,✔,✔,9161259689,ATOMN64,✘,∅,심아엘,✘,14,10,✘,달다.,✘,150-00-14111,✔,✘,✔,␣,␣,✘,✘,✔,✘,✘
C0003,✘,✘,✘,✔,9478343174,AI0K3H1,✔,∅,허엘리나,✔,␣,8,✘,25899고,✔,885-93-49997,✘,✘,✔,␣,␣,✘,✘,✘,✘,✘
C0004,✘,✔,✘,✔,9861980033,A8P7E4N,✘,∅,시글라라,✘,2,2,✘,저절로,✘,561-42-67379,✘,✘,✔,␣,시장할,✘,✘,✔,✘,✘
C0005,✘,✘,✘,✘,1744815186,ACWJS2Y,✘,∅,␣,✘,␣,6,✘,강변을,✘,476-78-21668,✘,✘,✘,2030,있다.,✘,✔,✘,✔,✘
C0006,✘,✘,✘,✔,1186730127,AWI2J5M,✘,∅,␣,✘,5,␣,✘,세금을,✘,␣,✔,✘,✔,2013,␣,✘,✘,✘,✘,✘
C0007,✔,✘,✔,✘,9359466400,AMM6FXN,✘,∅,위교찬,✘,␣,9,✔,그는,✘,340-42-80946,✘,✔,✔,2028,만들어진,✘,✘,✘,✔,✘
C0008,✘,✔,✔,✘,1730225882,AKP5NUE,✘,∅,␣,✘,␣,8,✔,␣,✔,180-20-80761,✘,✘,✘,2027,줄감돔,✘,✔,✘,✘,✘
C0009,✘,✘,✘,✔,9593370067,A8Y1UJA,✘,∅,맹성유,✘,15,␣,✘,시역무를,✘,␣,✔,✘,✘,2014,따위가,✔,✘,✘,✘,✘
D0000,✘,✘,✘,✘,9741485237,Z64RTJF,✘,∅,홍가세,✘,␣,10,✘,떠나다.,✘,␣,✘,✘,✔,2026,서로,✘,✘,✔,✘,✘
D0001,✔,✘,✘,✘,9387681134,␣,✘,∅,모사무엘,✘,␣,4,✘,갖춘,✘,379-15-62888,✔,✘,✔,2011,죽음.,✘,✘,✘,✘,✘
D0002,✘,✘,✘,✘,␣,ZJFNCW3,✘,∅,경혜성,✘,␣,␣,✘,고압배전반,✘,820-03-18710,✘,✔,✔,2006,고용량,✘,✘,✘,✔,✘
D0003,✘,✘,✘,✘,␣,Z4D7G8A,✘,∅,␣,✘,7,10,✘,␣,✘,698-42-48524,✘,✘,✔,␣,줌.,✔,✔,✘,✘,✔
D0004,✔,✘,✘,✔,1588924193,␣,✘,∅,양안영,✔,20,4,✘,절이다는,✘,351-78-47781,✘,✘,✔,2025,닷새가량.,✘,✘,✔,✔,✘
D0005,✘,✘,✘,✘,␣,␣,✘,∅,제민이,✔,␣,12,✘,여창,✔,␣,✘,✔,✘,␣,취품하다01,✘,✘,✘,✘,✘
D0006,✘,✘,✘,✘,9099318518,ZPBONTQ,✔,∅,음건아,✘,1,10,✘,자장강도,✔,661-79-64494,✘,✘,✘,2023,␣,✘,✘,✘,✔,✘
E0000,✘,✘,✔,✘,9548916620,HRFTL7Q,✘,∅,경유마,✘,29,8,✘,나,✘,␣,✔,✘,✘,2005,␣,✘,✘,✘,✔,✔
E0001,✔,✔,✘,✘,␣,HMSU3C7,✔,∅,좌선엽,✘,17,5,✘,"무인,",✔,␣,✘,✘,✔,2016,놓은,✔,✔,✘,✔,✘
