image,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
C0000,✘,✔,✘,26,9307424590,✘,∅,3,✘,✔,✘,삭과로,✘,✘,␣,✔,SFOI959,✔,✘,16,2019,✘,✔,✘,✔,✘,✘,2017,✔,␣,5,✔,✘,✘,✔
C0001,✘,✔,✘,␣,9373683947,✘,∅,10,✘,✘,✔,␣,✔,✘,경태복,✔,S751YLT,✘,✘,6,2022,✘,✘,✘,✘,✘,✘,2021,✔,␣,10,✘,✘,✘,✘
C0002,✔,✔,✘,16,9323411803,✔,∅,9,✘,✘,✘,␣,✘,✘,␣,✘,SBVRGG8,✔,✘,␣,␣,✘,✘,✘,✔,✘,✘,␣,✔,청소년을,10,✔,✔,✘,✘
C0003,✔,✘,✘,␣,1150087036,✔,∅,2,✘,✘,✘,많은,✔,✘,␣,✘,S7NSDW7,✘,✘,15,2019,✘,✔,✘,✘,✔,✔,2017,✘,병역,␣,✘,✘,✔,✘
C0004,✔,✘,✘,␣,9036428973,✘,∅,6,✘,✘,✘,뿌리,✘,✘,␣,✔,SO94AG4,✘,✘,␣,2012,✘,✘,✘,✔,✔,✘,␣,✘,연구,9,✘,✘,✔,✘
C0005,✔,✘,✘,14,9627678300,✔,∅,␣,✘,✘,✔,범에,✘,✘,송인유,✔,SLEGQPG,✘,✘,␣,2023,✘,✘,✘,✘,✘,✔,2024,✘,기르는,␣,✔,✘,✘,✔
C0006,✔,✘,✘,3,1113742236,✘,∅,9,✔,✔,✘,따위의,✘,✘,␣,✔,ST0JI6G,✘,✔,20,␣,✘,✔,✔,✘,✘,✘,2028,✔,부여를,␣,✔,✘,✘,✘
C0007,✘,✘,✘,␣,9430454168,✘,∅,10,✔,✘,✔,애액,✘,✔,␣,✘,SEMERCE,✘,✘,19,␣,✔,✘,✘,✘,✘,✘,␣,✔,점프대에서,␣,✘,✘,✘,✔
C0008,✘,✘,✔,10,1639526169,✘,∅,11,✘,✔,✘,놀잇배로,✔,✘,␣,✔,SQNN88Z,✔,✔,16,2014,✘,✘,✘,✘,✔,✔,2012,✘,␣,11,✘,✘,✘,✘
C0009,✔,✔,✔,26,1389658162,✘,∅,11,✘,✔,✔,서양식의,✔,✘,배양향,✔,S4CF1AO,✔,✘,␣,2010,✔,✘,✔,✘,✘,✘,2025,✘,원반형의,␣,✘,✔,✘,✘
C0010,✘,✘,✘,14,9498565428,✘,∅,9,✘,✘,✘,수레.,✘,✘,␣,✔,SGZKABA,✘,✘,24,2021,✘,✘,✔,✘,✘,✘,␣,✘,비옥한,1,✘,✔,✘,✘
D0000,✔,✘,✘,10,1081778442,✔,∅,10,✘,✔,✔,특징적인.,✘,✘,국레아,✘,Z324TQV,✘,✔,21,␣,✘,✔,✘,✔,✔,✔,2037,✘,목수.,8,✔,✘,✘,✘
D0001,✔,✘,✘,25,␣,✘,∅,␣,✔,✘,✘,␣,✘,✘,석두영,✘,ZT094VY,✔,✘,18,2037,✔,✘,✘,✔,✘,✔,␣,✘,␣,␣,✘,✘,✘,✘
D0002,✔,✘,✘,30,9917630619,✔,∅,9,✘,✘,✘,물기가,✘,✘,봉바라,✔,ZRJSKPY,✔,✘,␣,␣,✘,✔,✔,✘,✘,✘,2040,✘,숯.,␣,✘,✘,✘,✘
D0003,✘,✘,✔,28,␣,✘,∅,4,✘,✔,✘,시간보다,✘,✔,감명국,✔,ZQSDBVG,✘,✔,␣,␣,✘,✘,✘,✘,✘,✔,␣,✔,␣,4,✘,✘,✘,✘
D0004,✔,✘,✘,25,9814529603,✘,∅,3,✘,✘,✔,방향과,✘,✔,차리효,✔,Z43BRBQ,✘,✘,␣,2035,✘,✘,✘,✘,✘,✘,2019,✘,사모치다,8,✘,✘,✘,✔
D0005,✘,✔,✔,26,1611494885,✘,∅,10,✘,✘,✘,"도덕,",✘,✔,선정협,✔,ZQXVGM6,✘,✘,␣,2001,✔,✘,✘,✔,✘,✘,2015,✘,살펴봄.,2,✘,✔,✔,✘
D0006,✔,✘,✔,19,␣,✘,∅,11,✘,✔,✔,␣,✘,✘,시진모,✘,ZGBTKMI,✘,✘,␣,2014,✔,✔,✔,✔,✘,✘,2025,✔,간행한,4,✔,✔,✘,✔
D0007,✔,✘,✘,␣,␣,✔,∅,␣,✘,✔,✘,경찰.,✘,✘,정여울,✘,Z4Y7N4O,✘,✔,20,2030,✘,✘,✘,✘,✘,✘,2018,✘,인도,5,✘,✘,✔,✘
E0000,✔,✘,✔,20,1469399782,✘,∅,4,✔,✔,✘,만든다.,✘,✘,태엘리아,✘,UYT7I3P,✘,✘,1,2026,✘,✘,✘,✘,✔,✔,2014,✘,여자,2,✔,✘,✔,✘
E0001,✘,✘,✘,23,1662206732,✘,∅,␣,✘,✘,✘,기술.,✔,✘,배아론,✘,UP4XRZP,✘,✔,17,␣,✔,✔,✘,✘,✘,✘,2008,✔,분야.,7,✘,✘,✘,✘
E0002,✘,✘,✘,25,␣,✘,∅,6,✘,✘,✘,주파수에서,✘,✘,설혜원,✔,UHN4Z2A,✘,✘,␣,2002,✘,✔,✘,✘,✔,✘,2021,✔,바위의,2,✔,✔,✔,✔
