image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,034,053,054,030,046,005,000,031,048,066,004,012,027
C0000,✘,✘,✘,✔,␣,도시가 줄어든,2030-03-01,✔,✔,커서 자꾸,✘,✘,␣,✔,✘,브라질,이사,72.1%,✔,✔,✘,␣,HIZ44V2,✘,✔,✘,✘,✘,␣,31,✘,✘,✔,␣,✘,노르웨이,신문을,2,먼저,1954-08-12,SEO MUNLABOM,72.8%,여순화,1692305167,✔,✘,95.6%,일조차,1906-06-28,이란,✘,✘,␣,75.5%,빈에리,대만,붕우유신을 이른다.,␣,BAN SEONGYEONG,✘,모두에,✘,✘,✘,␣,∅,✘,✘,✘
C0001,✔,✘,✘,✘,␣,젖은 모양.,␣,✔,✘,␣,✘,✘,GA YUNALI,✔,✘,벨라루스,전무,28.4%,✘,✔,✘,␣,HNLMF15,✔,✘,✘,✘,✘,우채훤,16,✘,✘,✔,2027,✘,␣,␣,␣,가사는,2006년 9월 1일,LYU CHEONG-YONG,60.4%,민광석,1006826317,✘,✘,63.5%,시치는,␣,홍콩,✘,✔,1987/8/24,␣,추기한,파라과이,요만하고 조만하다.,␣,HWANG BO-YANGHUI,✘,쓰는,✘,✘,✘,␣,∅,✘,✔,✘
C0002,✔,✘,✘,✘,신나울,고뿌,␣,✔,✘,공격하여,✔,✔,WI HYEONGIL,✘,✘,␣,감사,8.0%,✔,✔,✘,␣,HZ43P3V,✔,✘,✘,✘,✘,단이루리,24,✘,✔,✔,␣,✔,포르투갈,용어.,5,장자가,2022년 2월 15일,␣,␣,␣,1052837064,✘,✘,72.1%,␣,␣,␣,✘,✘,␣,68.3%,␣,␣,␣,제휘용,JANG EUN,✔,␣,✔,✔,✘,EOM MIGYEONG,∅,✔,✘,✘
C0003,✘,✔,✘,✘,천유나리,탐색하는 방법에,1904년 12월 24일,✔,✘,걷는 모양.,✘,✘,IM HYEON-IG,✔,✔,대만,␣,␣,✘,✘,✘,목림하,H0CKDSW,✘,✘,✘,✘,✘,설얀별,26,✔,✘,✔,␣,✘,이탈리아,미끄러져,3,위에서,1996.2.8,NAM GUNGSEUL-YEONG,␣,안하량,1720983599,✘,✘,74.3%,읽음.,1906.10.5,␣,✘,✘,1972.12.17,␣,␣,베네수엘라,␣,예권휘,␣,✔,␣,✘,✔,✘,HYEONG HANGJIN,∅,✔,✔,✘
C0004,✘,✔,✔,✘,전하경,␣,␣,✘,✔,␣,✘,✘,JO GEONHWAN,✘,✔,과테말라,␣,50.0%,✘,✘,✔,오다미안,H1TMTN2,✔,✘,✘,✔,✔,␣,21,✘,✘,✘,2021,✔,␣,␣,␣,더,2010.11.22,␣,94.1%,기휘림,9719578847,✘,✔,␣,맹꽁징꽁,␣,에콰도르,✘,✘,1929/4/8,␣,엄시훤,미국,구지봉에 내려와,부관태,␣,✘,␣,✘,✔,✘,GYEONG HAEJONG,∅,✘,✘,✘
C0005,✔,✔,✔,✘,여단단,재승덕박,␣,✘,✘,␣,✘,✘,OG HYEONSEOL,✔,✘,알바니아,주임,␣,✘,✔,✘,여온누리,HI3LICD,✔,✔,✔,✘,✘,서문다주,31,✔,✘,✔,␣,✘,␣,8~9월에,5,마비되어서,1929.07.03,GEUM HOLLI,44.9%,␣,9429875991,✘,✘,85.9%,생선,1940.11.12,크로아티아,✘,✔,1938년 3월 30일,␣,구복미,온두라스,꾀어넘기다,태본민,O MAHO,✔,␣,✔,✘,✔,GIL DOLIM,∅,✘,✘,✘
C0006,✘,✔,✘,✘,정슬라,␣,2029년 5월 31일,✔,✘,␣,✔,✔,YUG GEUN-I,✔,✘,코스타리카,상무,90.1%,✔,✔,✔,단언교,HCRE9L4,✔,✘,✘,✘,✘,옥상권,4,✘,✘,✘,2020,✘,␣,하다,4,좋은,2041-05-17,␣,10.5%,성휘영,1714287203,✘,✘,35.1%,내민,1902년 10월 2일,체코,✔,✘,2042.02.28,87.2%,␣,브루나이,␣,감혁우,␣,✔,␣,✘,✘,✘,SEO JAMYEONG,∅,✘,✔,✘
C0007,✘,✘,✘,✔,홍수아,␣,1900/5/16,✘,✘,속으로 비행하는,✘,✘,␣,✘,✘,불가리아,␣,48.2%,✘,✘,✘,천연은,HF69WY6,✘,✘,✔,✘,✘,승만기,5,✔,✘,✔,␣,✔,방글라데시,␣,␣,작품.,1906년 7월 21일,YUN GWISUG,37.3%,␣,9661200096,✘,✘,␣,베풀던,2008.1.4,␣,✘,✘,␣,55.7%,길용식,␣,돈을,갈소민,␣,✘,회전하는 물체의,✘,✘,✘,␣,∅,✘,✘,✘
C0008,✘,✘,✘,✘,␣,촉수가,2027년 6월 12일,✘,✔,"원숭이게,",✘,✘,␣,✘,✘,콜롬비아,␣,53.8%,✘,✔,✔,␣,H1YSTXH,✔,✘,✔,✘,✘,␣,17,✘,✘,✘,2018,✘,엘살바도르,나오는,8,␣,2026.2.7,␣,82.2%,␣,9201745620,✔,✘,98.4%,천신과,1919.4.27,파나마,✔,✘,␣,45.2%,탁권서,파라과이,␣,서문사영,MYEONG MOLIN,✔,센 느낌을,✔,✔,✘,␣,∅,✔,✘,✔
C0009,✘,✔,✘,✘,허해은,채로 넣고,1976.12.03,✘,✘,하다 양견하여,✘,✘,DU YEDO,✔,✘,멕시코,대리,67.9%,✔,✘,✔,단선은,H1RX2AP,✔,✘,✘,✔,✔,서문수인,3,✘,✘,✔,␣,✘,우즈베키스탄,가무스름,12,이르는,1952/1/24,␣,26.8%,␣,9109158559,✘,✔,32.3%,뜻을,␣,에콰도르,✘,✘,1925/11/8,80.2%,기용한,␣,얻으러,␣,␣,✘,␣,✘,✘,✘,CHOE EUNLYUL,∅,✘,✘,✘
D0000,✘,✔,✘,✔,남궁미찬,셀 수,1922년 3월 2일,✘,✔,"잃어 가는,",✘,✘,␣,✘,✘,오스트리아,␣,98.0%,✘,✘,✘,␣,L92E4OO,✘,✘,✘,✘,✔,함찬회,␣,✘,✘,✔,2035,✘,알바니아,하나.,4,␣,1986/2/16,␣,97.9%,김범훈,␣,✘,✔,␣,초장과,1913.02.25,␣,✔,✔,1968.5.29,␣,단륜경,부탄,모인 자리의,표이원,MA HYEONCHANG,✘,용다하다의,✔,✘,✘,␣,∅,✘,✘,✘
D0001,✘,✘,✘,✔,␣,아니한,␣,✔,✔,교목. 높이는,✔,✘,CHOE UHEON,✘,✘,이탈리아,␣,␣,✘,✘,✔,상보음,LA8FFF2,✔,✔,✔,✔,✔,␣,␣,✘,✘,✔,2001,✔,␣,훈련사처럼,12,일정한,1952/4/7,GEUM GEUM-YUL,␣,␣,␣,✘,✔,77.6%,엽전이,␣,␣,✘,✘,1955.11.6,19.4%,간로권,이탈리아,잿빛을,형소정,␣,✘,외의,✔,✘,✔,KIM KE-IDEUN,∅,✔,✘,✘
