image,015,017,002,014,008,011,016,005,000,003,007,001,013,006,004,009,012,010
A0000,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,강민준,✔,✔,✔,10,2025
A0001,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,김서연,✔,✔,✔,22,25
A0002,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,박지훈,✔,✔,✔,15,25
A0003,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,최수아,✔,✔,✔,5,25
A0004,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,윤지우,✔,✔,✔,18,2025
A0005,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,공지훈,✔,✔,✔,28,25
A0006,∅,␣,✔,✔,✔,03,␣,✘,✔,✘,✘,✘,권민서,✔,✔,✔,12,2025
A0007,∅,␣,✔,✔,✔,02,␣,✘,✔,✘,✘,✘,임준서,✔,✔,✔,08,2025
A0008,∅,␣,✔,✔,✔,01,␣,✘,✔,✘,✘,✘,한서준,✔,✔,✔,20,2025
A0009,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,서지연,✔,✔,✔,1,2025
A0010,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,고현우,✔,✔,✔,10,2025
A0011,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,문수현,✔,✔,✔,8,2025
A0012,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,이민준,✔,✔,✔,15,2025
A0013,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,김지우,✔,✔,✔,25,2025
A0014,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,박서준,✔,✔,✔,12,2025
A0015,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,최수현,✔,✔,✔,22,2025
A0016,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,정민지,✔,✔,✔,12,2025
A0017,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,윤지훈,✔,✔,✔,18,2025
A0018,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,송민서,✔,✔,✔,3,2025
A0019,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,배예나,✔,✔,✔,20,2025
A0020,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,권준서,✔,✔,✔,12,2025
A0021,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,조서준,✔,✔,✔,10,2025
A0022,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,김도현,✔,✔,✔,22,2025
A0023,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,최지혜,✔,✔,✔,15,2025
A0024,∅,␣,✔,✔,✔,03,␣,✘,✔,✘,✘,✘,정지훈,✔,✔,✔,05,2025
A0025,∅,␣,✔,✔,✔,02,␣,✘,✔,✘,✘,✘,윤서현,✔,✔,✔,18,2025
A0026,∅,␣,✔,✔,✔,01,␣,✘,✔,✘,✘,✘,장예진,✔,✔,✔,28,2025
A0027,∅,␣,✔,✔,✔,3,␣,✘,✔,✘,✘,✘,송민지,✔,✔,✔,12,2025
A0028,∅,␣,✔,✔,✔,2,␣,✘,✔,✘,✘,✘,배수아,✔,✔,✔,8,2025
A0029,∅,␣,✔,✔,✔,1,␣,✘,✔,✘,✘,✘,권지우,✔,✔,✔,20,2025
D0000,∅,URN6CJD,✘,✔,✘,12,1118568686,✘,✘,✘,✘,✔,예휴고,✘,✔,✔,2,␣
D0001,∅,␣,✘,✘,✘,␣,1280091428,✔,✘,✘,✘,✘,배태리,✘,✘,✘,␣,2033
D0002,∅,UYE0VMO,✘,✔,✔,6,9445869164,✘,✘,✘,✘,✘,정철현,✘,✘,✘,25,2020
E0000,∅,␣,✔,✔,✘,6,1023580331,✘,✘,✘,✘,✘,제갈노희,✘,✔,✘,19,2009
