image,015,017,002,014,008,011,016,005,000,013,003,007,001,006,018,004,009,012,010
A0000,✔,␣,␣,사과나무자동차 강지훈,대표,2025,∅,␣,강지훈,15,␣,␣,1990-01-01,␣,␣,␣,강지훈,6,✔
A0001,✔,␣,␣,주식회사 예일자동차 김서연,사장,2025,∅,␣,김서연,20,␣,␣,1985-05-12,␣,␣,␣,김서연,1,✔
A0002,✔,␣,␣,(주)CTRM 박민준,최대주주,2025,∅,␣,박민준,28,␣,␣,1992-11-28,␣,␣,␣,박민준,2,✔
A0003,✔,␣,␣,대한렌트카 후평영업소 최수아,대표,2025,∅,␣,최수아,10,␣,␣,1978-07-04,␣,␣,␣,최수아,3,✔
A0004,✔,␣,␣,(유)형통모터스 정예진,사장,2025,∅,␣,정예진,05,␣,␣,2001-09-12,␣,␣,␣,정예진,4,✔
A0005,✔,␣,␣,성원모터스 윤도윤,최대주주,2025,∅,␣,윤도윤,20,␣,␣,1995-01-20,␣,␣,␣,윤도윤,05,✔
A0006,✔,␣,␣,김도현모터스 장하윤,대표,2025,∅,␣,장하윤,12,␣,␣,1989.06.07,␣,␣,␣,장하윤,7,✔
A0007,✔,␣,␣,자동차 친구 임지우,사장,2025,∅,␣,임지우,3,␣,␣,1998.12.31,␣,␣,␣,임지우,8,✔
A0008,✔,␣,␣,오토마켓 주식회사 한민석,최대주주,2025,∅,␣,한민석,18,␣,␣,1975.4.18,␣,␣,␣,한민석,9,✔
A0009,✔,␣,␣,한국타이어　태백점 조수진,대표,2025,∅,␣,조수진,25,␣,␣,2005-02-14,␣,␣,␣,조수진,10,✔
A0010,✔,␣,␣,계룡상사 송현우,사장,2025,∅,␣,송현우,01,␣,␣,1991-08-22,␣,␣,␣,송현우,11,✔
A0011,✔,␣,␣,차왕모터스 신지훈,최대주주,2025,∅,␣,신지훈,08,␣,␣,1982-10-09,␣,␣,␣,신지훈,12,✔
A0012,✔,␣,␣,주식회사 세움스토리 권서연,대표,2025,∅,␣,권서연,22,␣,␣,1999-03-05,␣,␣,␣,권서연,1,✔
A0013,✔,␣,␣,주식회사 천일모터스 문서현,사장,2025,∅,␣,문서현,07,␣,␣,1987-05-11,␣,␣,␣,문서현,02,✘
A0014,✔,␣,␣,진솔모터스 김도윤,최대주주,2025,∅,␣,김도윤,19,␣,␣,2003-07-29,␣,␣,␣,김도윤,3,✔
A0015,✔,␣,␣,칠성모터스 이예나,대표,2025,∅,␣,이예나,26,␣,␣,1990.12.17,␣,␣,␣,이예나,04,✔
A0016,✔,␣,␣,리더스모터스 박하윤,사장,2025,∅,␣,박하윤,9,␣,␣,1984-03-25,␣,␣,␣,박하윤,5,✔
A0017,✔,␣,␣,라인모터스 최민준,최대주주,2025,∅,␣,최민준,16,␣,␣,1996-09-08,␣,␣,␣,최민준,6,✔
A0018,✔,␣,␣,스마일자동차 권선구,대표,2025,∅,␣,정수아,15,␣,␣,2000-06-15,␣,␣,␣,정수아,6,✔
A0019,✔,␣,␣,창원중고차 카오션마트 정수아,대표,2025,∅,␣,윤지우,23,␣,␣,1988-11-02,␣,␣,␣,윤지우,7,✘
A0020,✔,␣,␣,주식회사 나이스오토 윤지우,사장,2025,∅,␣,장민석,30,␣,␣,1993-04-10,␣,␣,␣,장민석,8,✘
A0021,✘,␣,␣,(주)에버렉스 임서연,대표,2025,∅,␣,임서연,13,␣,␣,1981-08-21,␣,␣,␣,임서연,10,✔
A0022,✔,␣,␣,(주)에버렉스 한도윤,사장,2025,∅,␣,한도윤,20,␣,␣,1997-02-05,␣,␣,␣,한도윤,11,✔
A0023,✔,␣,␣,(주)휴먼카 조예진,최대주주,2025,∅,␣,조예진,27,␣,␣,2002-10-18,␣,␣,␣,조예진,12,✔
A0024,✔,␣,␣,(주)휴먼카 송민준,대표,2025,∅,␣,송민준,02,␣,␣,1986-07-12,␣,␣,␣,송민준,1,✔
A0025,✔,␣,␣,(주)엠엔드림카 신하윤,사장,2025,∅,␣,신하윤,15,␣,␣,1994-01.25,␣,␣,␣,신하윤,2,✘
A0026,✔,␣,␣,에이알렌트서비스(주) 권지훈,최대주주,2025,∅,␣,권지훈,22,␣,␣,1983-05-09,␣,␣,␣,권지훈,3,✔
A0027,✔,␣,␣,(주)덕신모터스 문서아,대표,2025,∅,␣,문서아,29,␣,␣,1999-12-30,␣,␣,␣,문서아,4,✔
A0028,✔,␣,␣,(주)덕신모터스 김예진,사장,2025,∅,␣,김예진,05,␣,␣,1980-4-03,␣,␣,␣,김예진,5,✔
A0029,✔,␣,␣,조은자동차 주식회사 이현우,최대주주,2025,∅,␣,이현우,11,␣,␣,1995-11-15,␣,␣,␣,이현우,6,✔
C0000,✘,1666179345,SEONG JANGHEON,석성율,␣,␣,∅,␣,형한제,21,부탄,␣,␣,␣,ZY56LJA,왕미,사공병록,3,✘
C0001,✔,1102233861,JE GANGHUI,경장태,␣,␣,∅,1982.9.2,염율혜,␣,러시아,카자흐스탄,1960년 5월 28일,␣,ZWB1ACB,␣,복은겸,␣,✘
C0002,✔,9010822902,HA LINA,라금결,센터장,2014,∅,1944-10-04,서문바론,␣,요르단,␣,␣,IM LO-WA,ZB4FSBM,␣,도철훈,12,✘
D0000,✔,␣,TAG MINLYEOL,␣,␣,2020,∅,1975년 11월 28일,사원희,27,프랑스,캐나다,1998-08-31,␣,␣,␣,␣,␣,✔
D0001,✔,9205128002,␣,␣,연구원,2008,∅,1990/2/20,␣,17,␣,␣,2011.09.30,MOG LO-UM,␣,␣,방세람,6,✘
D0002,✘,1452088107,␣,인비단,상무,2002,∅,1955/8/6,조아희,6,␣,스웨덴,␣,WI LYUNHWA,TVKQ015,범하비,오대중,␣,✘
D0003,✘,1339966053,PI SEONGLA,이화령,연구원,␣,∅,2020-06-05,위앨리스,22,알바니아,우루과이,2037/1/29,GAN HAECHANSOL,TWO4LMT,␣,두승도,␣,✔
D0004,✔,9048216134,HAN GWONHWI,변봄해,상무,␣,∅,1982-07-03,여정목,30,파나마,␣,1928.11.7,HYEONG SEUNGJU,TU4I9XN,채대홍,␣,10,✘
D0005,✔,9133711156,GUG EUNSALANG,한효겸,실장,2035,∅,1949-01-05,선지주,25,헝가리,␣,1990-03-29,␣,TAUMPON,도대휘,당다건,␣,✔
D0006,✘,9291024041,YEO MIHU,방혜연,␣,2037,∅,␣,추미희,␣,카자흐스탄,아랍에미리트,1919년 1월 9일,␣,TJLHHE5,설수우,용여일,␣,✘
D0007,✘,␣,␣,␣,␣,2025,∅,␣,␣,28,인도네시아,이스라엘,1909-09-07,␣,TEWHMBB,한예조,왕란,␣,✔
D0008,✘,1318971323,␣,␣,␣,2036,∅,2020-09-05,␣,6,그리스,스페인,1928.12.09,OG CHANDEUL,T5CEJBQ,문현우,어재구,12,✔
D0009,✔,1484834922,␣,채여리,부장,2018,∅,1912년 8월 31일,박범진,28,쿠바,인도,2013-04-28,EUM HONGGEUN,␣,심다승,편자령,7,✔
D0010,✔,1426994112,HWANG LAMIN,연인진,파트장,2007,∅,1957-01-13,위하디,␣,시리아,␣,1988.09.01,U BOMINA,TDZTJB4,구결의,구규창,5,✘
D0011,✔,9534211035,CHEON HYEGEON,␣,프로젝트 매니저,2037,∅,␣,갈언비,␣,스위스,시리아,2033/7/25,␣,T899DEF,추목하,황장미,␣,✔
D0012,✔,1881609092,␣,안슬찬,주임,2002,∅,1983년 2월 17일,␣,18,␣,헝가리,␣,␣,TS9WQQM,제갈루가,현관후,␣,✔
D0013,✘,␣,O SU-YEOL,서문정란,CEO,2022,∅,2042년 6월 4일,채휘주,5,␣,오만,␣,␣,TWBMO0G,␣,␣,7,✔
D0014,✘,9832904527,␣,신충훈,프로젝트 매니저,2027,∅,1973.7.20,␣,␣,페루,마카오,␣,␣,␣,사공세별,탁병오,2,✘
D0015,✔,9401749785,BEOM HAESEO,␣,인턴,2018,∅,2039/7/28,봉에릭,␣,우루과이,오만,1947/6/4,GU HWA-YEON,TE6H8J8,갈예능,␣,3,✘
D0016,✘,1267785275,HYEONG JEHYEOG,호새은,␣,2005,∅,1962.6.8,김재림,26,대만,그리스,2000.3.2,␣,T453B9K,␣,곽충우,1,✘
D0017,✘,1317653145,␣,경선겸,COO,2006,∅,1973.06.03,변화유,11,␣,파라과이,␣,GA LI-YUL,TUNJCDC,차새찬,은혜훈,7,✘
E0000,✘,␣,HYEON KEULLO-ISALANG,심현율,전무,2019,∅,1934.09.18,송려민,␣,칠레,␣,1919년 12월 23일,NA LAEHWAN,␣,석아즈사,성다솜,␣,✘
E0001,✘,1252156611,BAE JUNMO,␣,␣,␣,∅,␣,␣,␣,예멘,슬로베니아,1927년 7월 24일,GI LAGHYEON,␣,은인영,␣,␣,✘
E0002,✘,1994067805,SA GONGLI-I,황말리,␣,2008,∅,␣,함아실,24,팔레스타인,독일,1975년 3월 5일,␣,ESSTFKH,신원민,␣,4,✔
E0003,✔,9045942982,␣,송찬들,선임,2024,∅,2011년 7월 31일,장고든,23,슬로바키아,부탄,2030/3/21,EUM GEUMJU,EMD1QJ3,금우강,송에벨린,11,✔
