image,005,000,003,007,001,006,002,004,009,008
A0000,황정준민,2025,현대자동차 강남대로 지점,∅,01,✔,12,1986.03.22,␣,␣
A0001,허라태,2025,현대자동차 구정 대리점,∅,3,✔,27,1986.4.9,␣,␣
A0002,현솔아,2025,현대자동차 수서역 대리점,∅,5,✔,5,1986.04.25,␣,␣
A0003,조별아,2025,현대자동차 개포 지점,∅,7,✔,18,1986-5-15,␣,␣
A0004,곽하은,2025,현대자동차 율곡 대리점,∅,9,✔,11,1986-06-01,␣,␣
A0005,채도예,2025,현대자동차 신사대리점,∅,11,✔,24,1986.6.17,␣,␣
A0006,전영도,2025,현대자동차 신대치대리점,∅,2,✔,8,1986.7.2,␣,␣
A0007,손별재태,2025,현대자동차 강남청담지점,∅,4,✔,15,1986.7.18,␣,␣
A0008,반시초,2025,현대자동차 남서울대리점,∅,6,✔,22,1986.8.4,␣,␣
A0009,송준라,2025,현대자동차 도곡중앙 대리점,∅,08,✔,03,1986년 08월 20일,␣,␣
A0010,심시서,2025,현대자동차 경복 대리점,∅,10,✔,17,1986년 09월 08일,␣,␣
A0011,최채재,2025,현대자동차 도산대로 지점,∅,12,✔,30,1986년 09월 24일,␣,␣
A0012,전솔빛,2025,현대자동차 대치 지점,∅,01,✔,06,1986년 10월 10일,␣,␣
A0013,엄재민,2025,현대자동차 올림픽 지점,∅,03,✔,19,1986.10.26,␣,␣
A0014,장곡채빛,2025,현대자동차 고덕 대리점,∅,05,✔,29,1986.11.13,␣,␣
A0015,마나별,2025,현대자동차 성내 지점,∅,07,✔,09,1986.12.01,␣,␣
A0016,민태재,2025,현대자동차 길동 대리점,∅,09,✔,22,1986.12.17,␣,␣
A0017,양솔은,2025,현대자동차 천호대리점,∅,11,✔,05,19870118,␣,␣
A0018,염민빛지,2025,현대자동차 강북중앙지점,∅,02,✔,14,1987.02.03,␣,␣
A0019,성유채,2025,현대자동차 강북 대리점,∅,04,✔,02,19870219,␣,␣
A0020,변도하,2025,기아자동차 우이대리점,∅,06,✔,15,19870308,␣,␣
A0021,반채,2025,기아자동차 수유 대리점,∅,8,✔,28,1987.03.24,␣,␣
A0022,신나나,2025,기아자동차 강남 영동지점,∅,10,✔,1,1987-04-11,␣,␣
A0023,서재래,2025,기아자동차 대치갤러리 지점,∅,12,✔,11,1987-04-27,␣,␣
A0024,윤영하,2025,기아자동차 도곡 지점,∅,01,✔,23,1987-05-17,␣,␣
A0025,엄빛예,2025,기아자동차 동산로 대리점,∅,3,✔,31,1987.06.03,␣,␣
A0026,반민하,2025,기아자동차 신사 대리점,∅,5,✔,10,1987.06.19,␣,␣
A0027,류우윤,2025,기아자동차 발산 대리점,∅,7,✔,25,1987.07.05,␣,␣
A0028,황정나,2025,기아자동차 토리 대리점,∅,9,✔,7,1987.07.21,␣,␣
A0029,백지예,2025,기아자동차 연신내 대리점,∅,11,✔,18,1987.8.7,␣,␣
D0000,문한종,2028,␣,∅,6,✘,␣,1933.2.8,␣,␣
D0001,␣,␣,"선법에서,",∅,␣,✔,28,␣,␣,␣
D0002,␣,2035,␣,∅,␣,✔,␣,␣,␣,␣
D0003,탁영기,2035,간편하게,∅,12,✔,25,1986-12-02,␣,␣
D0004,강하요,␣,세선02,∅,␣,✔,31,1946-03-27,␣,␣
D0005,␣,2012,분출한다.,∅,5,✔,16,1939-10-07,␣,␣
D0006,이나련,2002,광해군,∅,␣,✘,1,␣,␣,␣
D0007,우준광,2001,␣,∅,8,✘,␣,1989.4.19,␣,␣
D0008,조중원,␣,주나라,∅,4,✘,␣,1982년 4월 5일,␣,␣
D0009,인린경,2002,괴특하다,∅,1,✘,15,␣,␣,␣
D0010,황보규오,2016,␣,∅,4,✘,23,2004-04-25,␣,␣
E0000,소은민,2008,창작권,∅,1,✔,28,␣,␣,␣
E0001,␣,2017,␣,∅,2,✔,20,␣,␣,␣
E0002,연체은,2039,␣,∅,9,✘,21,1957/2/23,␣,␣
