image,005,000,003,007,001,006,002,004,009,008
A0000,이지혜,123 가 4567,15,∅,2025,✔,05,1985 03 15,␣,␣
A0001,박서준,34 나 8901,09,∅,2025,✔,06,1992 11 28,␣,␣
A0002,김민지,567 다 2345,23,∅,2025,✔,06,1978 07 04,␣,␣
A0003,최현우,78 라 6789,13,∅,2025,✔,07,2001-09-12,␣,␣
A0004,정수아,90 마 1234,27,∅,2025,✔,07,1995-01-20,␣,␣
A0005,강지훈,12 거 5678,09,∅,2025,✔,08,1989-06-07,␣,␣
A0006,윤서연,345 너 9012,23,∅,2025,✔,8,1998.12.31,␣,␣
A0007,장동건,56 더 3456,05,∅,2025,✔,9,1975.4.18,␣,␣
A0008,송하늘,789 러 7890,19,∅,2025,✔,9,2005.2.14,␣,␣
A0009,한지민,90 머 1234,08,∅,2025,✔,10,1991 08 22,␣,␣
A0010,임준서,123 버 5678,22,∅,2025,✔,10,1982 10 09,␣,␣
A0011,서예진,34 서 9012,05,∅,2025,✔,11,1999 03 05,␣,␣
A0012,신동욱,567 어 3456,19,∅,2025,✔,11,1987 05 11,␣,␣
A0013,권보람,78 저 7890,08,∅,2025,✔,12,2003.07.29,␣,␣
A0014,조현우,901 고 1234,22,∅,2025,✔,12,1990.12.17,␣,␣
A0015,미래기획.,12 노 5678,2,∅,2025,✔,1,120111068280,␣,␣
A0016,한빛개발건설,345 도 9012,16,∅,2025,✔,1,134811041893,␣,␣
A0017,새롬정보통신,56 모 3456,2,∅,2025,✔,2,135811032601,␣,␣
A0018,영진무역상사,789 보 7890,16,∅,2025,✔,2,1501110221759,␣,␣
A0019,금강철물,90 소 1234,10,∅,2025,✔,3,1801111155084,␣,␣
A0020,신한에너지솔루션,12 거 5678,24,∅,2025,✔,3,1344140002842,␣,␣
A0021,한화물류,34 너 9012,3,∅,2025,✔,4,1101118922901,␣,␣
A0022,아성전자,567 더 3456,17,∅,2025,✔,4,2301110334620,␣,␣
A0023,동양정밀,78 러 7890,10,∅,2025,✔,5,1313110034024,␣,␣
A0024,우진산업,901 머 1234,24,∅,2025,✔,05,␣,␣,␣
A0025,성광기계,12 버 5678,07,∅,2025,✔,06,␣,␣,␣
A0026,진성테크,34 서 9012,21,∅,2025,✔,06,␣,␣,␣
A0027,대성무역,567 어 3456,10,∅,2025,✔,7,1101111301722,␣,␣
A0028,보람산업,78 저 7890,24,∅,2025,✔,7,1101111301722,␣,␣
A0029,해성물산,90 고 1234,7,∅,2025,✔,8,1101111301722,␣,␣
D0000,팽루원,395구 3090,7,∅,2024,✔,␣,1994년 2월 12일,␣,1596340702
D0001,␣,␣,3,∅,2013,✔,␣,1979-08-04,␣,9139648883
D0002,봉현제,652구 2791,␣,∅,␣,✔,␣,2039년 11월 9일,PUPLRFP,1729239831
D0003,␣,30두 7924,3,∅,2012,✔,5,1980.04.13,␣,␣
D0004,변은순,18우 5057,23,∅,2038,✘,11,␣,␣,1109375628
D0005,구나해,99버 6281,␣,∅,␣,✔,3,␣,PJD61X5,9652461892
D0006,견란유,34부 0139,␣,∅,2007,✔,␣,␣,PHHD4VZ,␣
D0007,호선오,14무 5283,8,∅,␣,✘,␣,␣,PBOZGQ1,9856135703
D0008,␣,817나 7556,5,∅,2028,✔,10,␣,P8G7GMS,9794040115
D0009,육민표,34너 2055,2,∅,2017,✔,␣,2048/6/28,␣,1130693264
D0010,석연솔,720어 1947,12,∅,2033,✔,␣,1942/10/23,␣,1832820094
D0011,어백찬,␣,31,∅,2014,✘,␣,2000-04-24,PG8HWDW,9056020872
D0012,백규성,␣,23,∅,␣,✘,6,1959.06.13,␣,9468159562
D0013,주세상,24보 0445,17,∅,2006,✘,3,␣,␣,9715944049
D0014,어은상,32누 0999,6,∅,2004,✔,7,␣,P6GZMDM,1517708940
D0015,조은광,89서 9330,12,∅,␣,✘,8,2016년 9월 23일,PCC1FC5,␣
E0000,조소율,79고 0790,6,∅,2019,✔,␣,␣,␣,␣
E0001,␣,␣,␣,∅,2009,✘,␣,1901.09.08,UPY06XT,␣
E0002,라무석,65두 9645,␣,∅,2004,✘,␣,1988/8/20,U7Z14IF,␣
