image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
A0000,✘,✘,국민은행,✔,␣,JUUJIEUNNA,✘,✘,␣,ANEW63,굽네치킨,대구광역시 남구 수내동 31 101동 073호,␣,여성,␣,✘,␣,✘,✘,2012.8.15,1234-56-7890123,1234567890,음식점,␣,✔,대구광역시 남구 수내동 31 101동 073호,✔,✔,✘,✘,1982.3.15,✘,✔,✔,✘,✘,✘,✘,✘,✔,대구광역시 남구장,191535170479,1980.1.1,대한민국,주우지은나,✘,␣,✘,✘,03-02-1234-01,✘,␣,010-1234-5678
A0001,✘,✘,신한은행,✔,␣,JEONGYUNYEONGSOR,✘,✘,␣,ANEW63,서울상회,인천광역시 수성구 광안로 682 101동 031호,␣,여성,␣,✘,␣,✘,✘,2005.3.22,987654-32-1029384,9876543210,소매업,␣,✔,인천광역시 수성구 광안로 682 101동 031호,✔,✘,✘,✘,1985-7-22,✘,✔,✔,✘,✘,✘,✘,✘,✔,인천광역시 수성구장,196915081614,1980.1.15,대한민국,정윤영솔,✔,␣,✘,✘,01-01-5678-02,✘,␣,010-9876-5432
A0002,✘,✘,하나은행,✔,␣,GWEONHYEONBYEOR,✔,✘,␣,ANEW63,개별화물,광주광역시 남구 서초대로 667 104동 264호,␣,여성,␣,✘,␣,✔,✘,2018-11-7,555-123456-789012,1029384756,운송업,␣,✘,광주광역시 남구 서초대로 667 104동 264호,✔,✘,✘,✘,1988.11.5,✘,✔,✔,✘,✘,✘,✘,✘,✔,광주광역시남구장,194507397010,1980-02-02,대한민국,권현별,✘,␣,✘,✘,02-02-9012-03,✘,␣,010-1029-3847
A0003,✘,✘,우리,✔,␣,SINYESI,✔,✘,␣,ANEW63,광성장,부산광역시 수성구 송도과학로 346 104동 044호,␣,여성,␣,✘,␣,✘,✔,2023.01.10,1111-22-3333333,2109876543,소매업,␣,✘,부산광역시 수성구 송도과학로 346 104동 044호,✔,✘,✘,✘,1981.09.10,✘,✔,✔,✘,✘,✘,✘,✘,✔,부산광역시수성구장,192658170641,1980-02-18,대한민국,신예시,✘,␣,✘,✘,03-03-3456-04,✘,␣,010-2109-8765
A0004,✘,✘,NH농협은행,✔,␣,EOMNARAESOR,✔,✘,␣,ANEW63,개인화물,부산광역시 완산구 화명동 19 104동 071호,␣,여성,␣,✘,␣,✘,✘,2009.6.30,444444-55-6666666,3456789012,운송업,␣,✘,부산광역시 완산구 화명동 19 104동 071호,✔,✘,✘,✘,1984.2.28,✘,✔,✔,✘,✘,✘,✔,✘,✔,부산광역시완산구장,199819784909,1980-03-05,대한민국,엄나래솔,✘,␣,✘,✘,04-04-7890-05,✘,␣,010-3456-7890
A0005,✘,✘,기업은행,✘,␣,HYEONBYEORSU,✘,✔,␣,ANEW63,␣,␣,␣,여성,␣,✘,␣,✘,✘,2015.4.12,777-888888-999999,␣,␣,␣,✘,인천광역시 부평구 중앙로 12 104동 292호,✔,✘,✘,✘,␣,✘,✔,✔,✘,✘,✔,✘,✘,✔,인천광역시부평구장,199848064193,1980-03-20,대한민국,현별수,✘,␣,✘,✘,05-05-1234-06,✘,␣,010-4567-8901
A0006,✘,✘,카카오뱅크,✘,␣,CHAESOREUN,✘,✔,␣,ANEW63,␣,␣,␣,여성,␣,✘,␣,✘,✘,2021.09.25,2345-67-8901234,␣,␣,␣,✘,대전광역시 수성구 세종대로 721 108동 091호,✔,✘,✘,✘,␣,✘,✔,✔,✘,✘,✘,✘,✘,✔,대전광역시수성구장,192161376828,1980-04-10,대한민국,채솔은,✘,말일,✘,✘,06-06-5678-07,✘,␣,010-5678-9012
A0007,✘,✘,토스뱅크,✘,␣,MO SEONGJIN,✘,✔,␣,ANEW63,␣,␣,␣,남성,␣,✘,␣,✘,✘,2002.12.03,654321-43-2109876,␣,␣,␣,✘,강원특별자치도 수성구 용두동 47 109동 092호,✔,✔,✘,✘,␣,✘,✔,✔,✘,✘,✘,✘,✘,✔,강원특별자치도수성구장,192422966851,1980-04-25,대한민국,모성진,✘,␣,✘,✘,07-07-9012-08,✘,␣,010.6789.0123
A0008,✘,✘,SC제일은행,✘,␣,BANG SORJIN,✘,✔,␣,ANEW63,␣,␣,␣,남성,␣,✘,␣,✘,✘,2019-07-18,888-901234-567890,␣,␣,␣,✘,경기도 강남구 상계동 46 111동 341호,✔,✘,✘,✘,␣,✘,✔,✔,✘,✘,✘,✘,✘,✔,경기도강남구장,191458623957,1980-05-08,대한민국,방솔진,✔,␣,✘,✘,08-08-3456-09,✘,␣,010-7890-1234
A0009,✘,✘,씨티은행,✘,␣,GANGRA,✘,✔,␣,ANEW63,␣,␣,␣,여성,␣,✘,␣,✔,✘,2007.2.5,1010.30.4050607,␣,␣,␣,✘,세종특별자치시 수성구 용두동 22 112동 111호,✔,✘,✘,✘,␣,✘,✔,✔,✘,✘,✘,✘,✘,✔,세종특별자치시수성구장,197955241151,1980.05.22,대한민국,강라,✘,␣,✘,✘,09.09.7890.10,✘,␣,010.8901.2345
