image,011,005,000,003,007,001,006,002,004,009,010,008
A0000,␣,␣,✔,✔,주우지은나,✘,␣,✘,␣,SP13BCK003,␣,✔
A0001,␣,␣,✔,✔,정윤영솔,✘,␣,✘,␣,SP13BCK003,␣,✔
A0002,␣,␣,✔,✔,권현별,✘,␣,✘,␣,SP13BCK003,␣,✔
A0003,␣,␣,✔,✔,신예시,✘,␣,✘,␣,SP13BCK003,␣,✔
A0004,␣,␣,✔,✔,엄나래솔,✘,␣,✘,␣,SP13BCK003,␣,✔
A0005,␣,␣,✔,✔,현별수,✘,␣,✘,␣,SP13BCK003,␣,✔
A0006,␣,␣,✔,✔,채솔은,✘,␣,✘,␣,SP13BCK003,␣,✔
A0007,␣,␣,✔,✔,모성진,✘,␣,✘,␣,SP13BCK003,␣,✔
A0008,␣,␣,✔,✔,방솔진,✘,␣,✘,␣,SP13BCK003,␣,✔
A0009,␣,␣,✔,✔,강라,✘,␣,✘,␣,SP13BCK003,␣,✔
A0010,␣,␣,✔,✔,맹초라,✘,␣,✘,␣,SP13BCK003,␣,✔
A0011,␣,␣,✔,✔,하남우나,✘,␣,✘,␣,SP13BCK003,␣,✔
A0012,␣,␣,✔,✔,반준하,✘,␣,✘,␣,SP13BCK003,␣,✔
A0013,␣,␣,✔,✔,홍호서,✘,␣,✘,␣,SP13BCK003,␣,✔
A0014,␣,␣,✔,✔,전시별,✘,␣,✘,␣,SP13BCK003,␣,✔
A0015,␣,␣,✔,✔,최유시,✘,␣,✘,␣,SP13BCK003,␣,✔
A0016,␣,␣,✔,✔,박진우,✘,␣,✘,␣,SP13BCK003,␣,✔
A0017,␣,␣,✔,✔,노유진,✘,␣,✘,␣,SP13BCK003,␣,✔
A0018,␣,␣,✔,✔,여연민,✘,␣,✘,␣,SP13BCK003,␣,✔
A0019,␣,␣,✔,✔,류도유,✘,␣,✘,␣,SP13BCK003,␣,✔
A0020,␣,␣,✘,✔,양연진,✔,␣,✘,␣,SP13BCK003,␣,✔
A0021,␣,␣,✔,✔,육영윤,✘,␣,✘,␣,SP13BCK003,␣,✔
A0022,␣,␣,✔,✔,사공연,✘,␣,✘,␣,SP13BCK003,␣,✔
A0023,␣,␣,✔,✔,박현우,✘,␣,✘,␣,SP13BCK003,␣,✔
A0024,␣,␣,✔,✔,홍나현,✘,␣,✘,␣,SP13BCK003,␣,✔
A0025,␣,␣,✔,✔,맹민서,✘,␣,✘,␣,SP13BCK003,␣,✔
A0026,␣,␣,✔,✔,차재우,✘,␣,✘,␣,SP13BCK003,␣,✔
A0027,␣,␣,✔,✔,나연수,✘,␣,✘,␣,SP13BCK003,␣,✔
A0028,␣,␣,✔,✔,공시빛,✘,␣,✘,␣,SP13BCK003,␣,✔
A0029,␣,␣,✔,✔,서문우,✘,␣,✘,␣,SP13BCK003,␣,✔
D0000,SSZFEFG,␣,✘,✘,␣,✔,14,✘,␣,SP13BCK003,1054349532,✔
D0001,SGR5Y07,␣,✘,✘,진진언,✔,9,✘,2030,SP13BCK003,1779527627,✔
D0002,SJCPS0S,␣,✔,✔,사공율교,✘,21,✔,␣,SP13BCK003,1636275797,✘
D0003,S1K4NJH,2,✘,✘,상학성,✔,15,✘,␣,SP13BCK003,9349143235,✔
D0004,SF8ZHKM,␣,✘,✘,탁영걸,✘,30,✘,2031,SP13BCK003,9201197331,✘
E0000,␣,10,✘,✔,현셀린,✔,16,✘,2014,SP13BCK003,9526697028,✘
