image,011,005,007,006,004,009,010,008
A0000,␣,01,옥재재,15,2025,9COTTT002,␣,✔
A0001,␣,03,왕진나,22,2025,9COTTT002,␣,✔
A0002,␣,05,민솔나,08,2025,9COTTT002,␣,✔
A0003,␣,07,명라채,11,2025,9COTTT002,␣,✔
A0004,␣,11,진도준,29,2025,9COTTT002,␣,✔
A0005,␣,09,임윤라,03,2025,9COTTT002,␣,✔
A0006,␣,02,변시빛,04,2025,9COTTT002,␣,✔
A0007,␣,04,변영서,18,2025,9COTTT002,␣,✔
A0008,␣,06,임현빛,25,2025,9COTTT002,␣,✔
A0009,␣,08,지수하,12,2025,9COTTT002,␣,✔
A0010,␣,10,하남하,07,2025,9COTTT002,␣,✔
A0011,␣,12,현슬서,31,2025,9COTTT002,␣,✔
A0012,␣,01,탁아성,09,2025,9COTTT002,␣,✔
A0013,␣,03,남궁진,16,2025,9COTTT002,␣,✔
A0014,␣,05,지슬호,23,2025,9COTTT002,␣,✔
A0015,␣,07,민진빛,05,2025,9COTTT002,␣,✔
A0016,␣,09,연솔하,19,2025,9COTTT002,␣,✔
A0017,␣,11,안솔윤,14,2025,9COTTT002,␣,✔
A0018,␣,02,류영솔,28,2025,9COTTT002,␣,✔
A0019,␣,04,백시우,01,2025,9COTTT002,␣,✔
A0020,␣,06,장우영,17,2025,9COTTT002,␣,✔
A0021,␣,08,진시채,24,2025,9COTTT002,␣,✔
A0022,␣,10,천나연,10,2025,9COTTT002,␣,✔
A0023,␣,12,하은라,08,2025,9COTTT002,␣,✔
A0024,␣,01,채채서,21,2025,9COTTT002,␣,✔
A0025,␣,03,지빛별,30,2025,9COTTT002,␣,✔
A0026,␣,05,안초유,10,2025,9COTTT002,␣,✔
A0027,␣,07,문서라,26,2025,9COTTT002,␣,✔
A0028,␣,09,명우하,06,2025,9COTTT002,␣,✔
A0029,␣,11,차예현,20,2025,9COTTT002,␣,✔
D0000,␣,␣,가건명,28,2033,9COTTT002,9735059469,✔
D0001,A4VQ2T0,4,김체희,12,␣,9COTTT002,9722653793,✘
D0002,AON0PA1,␣,은규창,20,2008,9COTTT002,1268474157,✔
E0000,␣,2,␣,1,␣,9COTTT002,9074461798,✔
