image,021,010,015,017,022,002,032,030,014,020,029,028,019,008,011,016,005,000,013,003,026,025,001,031,023,018,004,009,027,024,012
A0000,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,이시우네,✔,␣,␣,✔,␣,␣,류영태,✘,✔,␣,✘,␣
A0001,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,명문건축,✔,␣,␣,✔,␣,␣,차하나,✘,✔,␣,✘,␣
A0002,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,은광전기조명,✔,␣,␣,✔,␣,␣,장하나,✘,✔,␣,✘,␣
A0003,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,청도체육관,✔,␣,␣,✔,␣,␣,강지솔,✘,✔,␣,✘,␣
A0004,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,계명피아노교습소,✔,␣,␣,✔,␣,␣,하재나,✘,✔,␣,✘,␣
A0005,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)네트인정보기술,✔,␣,␣,✔,␣,␣,성유지,✘,✔,␣,✘,␣
A0006,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주식회사 더스쿠프,✔,␣,␣,✔,␣,␣,정나,✘,✔,␣,✘,␣
A0007,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,캐리어티에스 ㈜,✔,␣,␣,✔,␣,␣,유슬영,✘,✔,␣,✘,␣
A0008,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,에오스,✔,␣,␣,✔,␣,␣,도나래,✘,✔,␣,✘,␣
A0009,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)두레원미래,✔,␣,␣,✔,␣,␣,곽하나,✘,✔,␣,✘,␣
