image,010,015,033,034,032,030,040,036,029,028,011,005,000,013,025,026,001,031,027,023,038,039,004,024,014,012,037,035
C0000,195거 6044,경상북도 안동시 북후면 옹천리 593-19,1946년 8월 11일,과오로,✘,31,P2QOIN9,␣,1,2013,␣,␣,예태흔,8,✘,원망하다.,2022-01-04,태우대,␣,✘,∅,1542138444,쌍용 A3,✔,지리본,7,✘,거센
C0001,␣,강원특별자치도 영월군 산솔면 유전길 123-3 (녹전리),␣,익는다.,✔,␣,PNEIL8D,주준석,␣,2022,2028,1962.10.09,소유윤,9,✘,움직여,1951-02-27,목경민,측정이나,✔,∅,1312358336,임팔라 GV60,✔,갈이혜,10,✔,수은에
C0002,17마 3436,␣,␣,환경이,✔,␣,PC4OQNS,최류현,␣,2015,␣,1989.09.12,␣,␣,✘,껍질을,1915.5.16,연태루,농도의,✔,∅,9655965774,BMW i30,✔,석원상,␣,✘,실.
C0003,␣,␣,2027.11.20,␣,✘,14,PFQ45BO,배임엘,10,2014,2010,2036년 12월 24일,민주니,14,✘,높여,␣,␣,␣,✘,∅,1486387357,GLS 3 시리즈,✔,옥은비,8,✘,것.
C0004,␣,울산광역시 동구 방어동 1159-9,1982/5/10,사프란의,✘,6,P9V1NXY,원금화,␣,2029,␣,2001.3.10,한승,␣,✔,중생의,1979-05-27,␣,말.,✘,∅,9898639487,i4 QM6,✘,여준솔,12,✔,일.
C0005,32구 4643,충청남도 서천군 기산면 황사리 124,␣,중인,✘,␣,PKJTEYW,␣,␣,␣,2024,␣,백자유,␣,✘,␣,2024.11.25,호내애,깨달아,✘,∅,1215509007,A 클래스 아우디,✔,␣,10,✘,소량의
C0006,32머 8964,충청북도 진천군 광혜원면 죽현리 1259 ((주)삼양패키징),1987년 10월 5일,␣,✘,20,P0AW04I,노재랑,12,2022,␣,␣,␣,26,✔,은혜를,␣,␣,␣,✔,∅,1630868344,RAV4 트레일블레이저,✘,옥동성,7,✔,치다.
C0007,␣,␣,1958년 1월 1일,␣,✘,␣,P438Q1J,␣,6,␣,2014,1916/9/2,피연리,␣,✘,단,1975년 10월 18일,노홍비,생기는,✘,∅,1184663933,A4 카이엔,✘,예마호,␣,✘,93953과
C0008,88너 6911,부산광역시 연제구 고분로13번길 49 (연산동),1976.04.17,적은,✘,␣,PK8ARKP,␣,11,2013,2020,2034년 4월 16일,차광국,17,✘,만들다.,␣,유규상,␣,✘,∅,9731349670,␣,✔,최이율,5,✘,따위가
C0009,59두 9841,경기도 화성시 팔탄면 지월리 576,␣,준다.,✔,␣,PL9ZBYV,양하나,2,2010,2021,2019.10.02,당조,5,✘,실수할,␣,표춘향,␣,✘,∅,9755946270,트래버스 i30,✘,음늘해랑,12,✔,마주나거나
