image,015,017,022,033,002,032,019,008,016,013,026,027,006,023,018,009,021,024,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0000,✘,✘,✘,␣,✔,∅,✘,✔,✘,✘,✘,2025,✘,␣,✔,✔,✔,✘,␣,현대자동차 강남지점,✔,15,07,␣,✔,6789055555,✘,✘,✘,✔,✔,✘,✘,✔,✘
A0001,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 구정대리점,✔,␣,␣,␣,✘,7890166666,✘,✔,✘,✔,✔,✔,✘,✔,✘
A0002,✘,✔,✘,␣,✘,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 수서역 대리점,✔,␣,␣,␣,✔,8901277777,✘,✘,✔,✘,✔,✘,✘,✔,✘
A0003,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,현대자동차 개포 지점,✔,␣,␣,␣,✘,9012388888,✔,✘,✘,✘,✔,✘,✘,✔,✘
A0004,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 율곡 대리점,✔,␣,␣,␣,✘,123499999,✘,✔,✔,✔,✔,✔,✘,✔,✘
A0005,✘,✔,✘,␣,✔,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 신사대리점,✔,␣,␣,␣,✔,1111200000,✘,✘,✘,✘,✔,✘,✘,✔,✘
A0006,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,현대자동차 신대치대리점,✔,␣,␣,␣,✘,2222311111,✔,✘,✔,✘,✔,✘,✘,✔,✘
A0007,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 강남청담지점,✔,␣,␣,␣,✘,3333422222,✘,✔,✘,✔,✔,✔,✘,✔,✘
A0008,✘,✔,✘,␣,✘,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 남서울대리점,✔,␣,␣,␣,✔,4444533333,✘,✘,✔,✘,✔,✘,✘,✔,✘
A0009,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,현대자동차 도곡중앙 대리점,✔,␣,␣,␣,✘,5555644444,✔,✘,✘,✘,✔,✘,✘,✔,✘
A0010,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 경복 대리점,✔,␣,␣,␣,✘,6666755555,✘,✔,✔,✔,✔,✔,✘,✔,✘
A0011,✘,✔,✘,␣,✔,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 도산대로 지점,✔,␣,␣,␣,✔,7777866666,✘,✘,✘,✘,✔,✘,✘,✔,✘
A0012,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,현대자동차 대치 지점,✔,␣,␣,␣,✘,8888977777,✔,✘,✔,✘,✔,✘,✘,✔,✘
A0013,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 올림픽 지점,✔,␣,␣,␣,✘,9999088888,✘,✔,✘,✔,✔,✔,✘,✔,✘
A0014,✘,✔,✘,␣,✘,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 고덕 대리점,✔,␣,␣,␣,✔,1212300000,✘,✘,✔,✘,✔,✘,✘,✔,✘
A0015,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,현대자동차 성내지점,✔,␣,␣,␣,✘,2323411111,✔,✘,✘,✘,✔,✘,✘,✔,✘
A0016,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 길동 대리점,✔,␣,␣,␣,✘,3434522222,✘,✔,✔,✔,✔,✔,✘,✔,✘
A0017,✘,✔,✘,␣,✔,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 천호대리점,✔,␣,␣,␣,✔,4545633333,✘,✘,✘,✘,✔,✘,✘,✔,✘
A0018,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,현대자동차 강북중앙지점,✔,␣,␣,␣,✘,5656744444,✔,✘,✔,✘,✔,✘,✘,✔,✘
A0019,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,현대자동차 강북대리점,✔,␣,␣,␣,✘,6767855555,✘,✔,✘,✔,✔,✔,✘,✔,✘
A0020,✘,✔,✘,␣,✘,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 우이대리점,✔,␣,␣,␣,✔,7878966666,✘,✘,✔,✘,✔,✘,✘,✔,✘
A0021,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,기아자동차 수유대리점,✔,␣,␣,␣,✘,8989077777,✔,✘,✘,✘,✔,✘,✘,✔,✘
