image,011,005,000,003,007,001,006,002,004,009,010,008
A0000,␣,␣,✔,✔,주우지은나,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0001,␣,␣,✔,✔,정윤영솔,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0002,␣,␣,✔,✔,권현별,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0003,␣,␣,✔,✔,신예시,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0004,␣,␣,✔,✔,엄나래솔,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0005,␣,␣,✔,✔,현별수,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0006,␣,␣,✔,✔,채솔은,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0007,␣,␣,✔,✔,모성진,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0008,␣,␣,✔,✔,방솔진,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0009,␣,␣,✔,✔,강라,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0010,␣,␣,✔,✔,맹초라,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0011,␣,␣,✔,✔,하남우나,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0012,␣,␣,✔,✔,반준하,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0013,␣,␣,✔,✔,홍호서,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0014,␣,␣,✔,✔,전시별,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0015,␣,␣,✔,✔,최유시,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0016,␣,␣,✔,✔,박진우,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0017,␣,␣,✔,✔,노유진,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0018,␣,␣,✔,✔,여연민,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0019,␣,␣,✔,✔,류도유,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0020,␣,␣,✘,✔,양영진,✔,␣,✘,␣,SP13ZFF002,␣,✔
A0021,␣,␣,✔,✔,육영윤,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0022,␣,␣,✔,✔,사공연,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0023,␣,␣,✔,✔,박현우,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0024,␣,␣,✔,✔,홍나현,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0025,␣,␣,✔,✔,맹민서,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0026,␣,␣,✔,✔,차재우,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0027,␣,␣,✔,✔,나연수,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0028,␣,␣,✔,✔,공시빛,✘,␣,✘,␣,SP13ZFF002,␣,✔
A0029,␣,␣,✔,✔,서문우,✘,␣,✘,␣,SP13ZFF002,␣,✔
D0000,SL0MXW1,11,✘,✘,단현섭,✘,16,✘,2040,SP13ZFF002,␣,✔
D0001,␣,␣,✘,✘,임권상,✔,␣,✔,␣,SP13ZFF002,9064586338,✘
D0002,S9BEHJI,7,✔,✘,␣,✘,␣,✘,2020,SP13ZFF002,␣,✔
D0003,SDKLK3H,␣,✘,✔,천태양,✔,7,✘,␣,SP13ZFF002,1006163453,✘
D0004,SPO0S8P,2,✘,✘,선리에나,✘,10,✘,␣,SP13ZFF002,1679911784,✘
E0000,EK6V6TZ,␣,✔,✔,␣,✔,28,✘,␣,SP13ZFF002,1544261975,✘
