image,015,051,033,002,041,032,056,014,040,050,043,008,052,013,055,006,023,042,009,024,045,044,037,035,057,049,034,053,054,030,029,028,046,011,005,000,003,007,001,025,031,047,048,012,027,010
C0000,✘,험한,50.6,␣,✘,12,9810189456,✘,✘,긴,␣,우산휘,P9UGDTH8,12,∅,✘,"1,780,000",✘,␣,6,7,11,"64,630,000",␣,T4KP9LK,␣,␣,하사림,✔,9.0,␣,5,신소빛,␣,␣,서태익,064-1693-2016,✘,1983년 7월 11일,"8,720,000",4.0,✔,문제,9,␣,✘
C0001,✔,오장을,90.2,␣,✘,9,1303253788,✘,✘,␣,24,광주은행,0ZX168TB,16,∅,✔,"4,520,000",✘,복나한,9,4,␣,␣,86.4,TO3V77L,␣,␣,류영리,✘,␣,␣,31,라위진,878-638-836687,␣,구찬익,033-1199-8691,✔,1918년 3월 19일,"49,940,000",␣,✔,영인,␣,20.2,✘
C0002,✘,국가와,59.5,033-8271-5721,✔,␣,9343527522,✘,✘,미국의,22,케이뱅크,␣,␣,∅,✘,"98,920,000",✘,빈그리나,8,20,8,␣,57.1,T1E5MDK,1977년 10월 6일,9,허관오,✘,83.9,94.8,28,음은애,␣,␣,␣,031-8668-9874,✘,␣,"34,610,000",6.8,✔,감정을,1,␣,✘
C0003,✔,가랑거리다0,␣,␣,✘,35,9617935274,✘,✔,매자나뭇,26,수협은행,TTQJOZCO,22,∅,✘,"26,720,000",✘,␣,␣,18,11,"7,560,000",99.0,TZQ1NX6,1981년 7월 9일,15,␣,✘,79.9,␣,18,␣,3403-59-728432,전북특별자치도 익산시 황등면 신기리 412-4,␣,062-8179-1824,✘,2040.6.19,␣,␣,✘,있다. 식물의,10,␣,✘
C0004,✔,양이온이,␣,043-5209-3210,✘,2,1581447453,✘,✘,권세가,21,한국씨티은행,␣,␣,∅,✘,␣,✔,조내윤,9,17,3,␣,␣,TSA1QD2,␣,22,손채경,✘,70.6,85.7,␣,하가이아,940-142667-01,␣,␣,␣,✘,␣,"11,570,000",49.3,✘,␣,9,85.6,✔
C0005,✔,␣,␣,054-8189-9959,✘,15,1679096643,✘,✔,␣,24,␣,␣,␣,∅,✘,"37,140,000",✘,성마리암,6,5,3,␣,25.1,TFPRPNH,1958.7.30,␣,␣,✔,23.8,90.7,36,도준석,402-282604-75022,␣,온야엘,031-7814-8255,✘,2009-04-26,"38,530,000",53.7,✘,노릇을,8,44.3,✘
C0006,✘,욕심이,30.1,␣,✘,31,1216081336,✘,✘,마음이,30,중소기업은행,TSMGNNWM,12,∅,✘,␣,✔,␣,7,30,5,"28,130,000",␣,TM86CLN,1971-07-18,26,부연형,✔,11.4,37.5,8,␣,178-25724824-70,강원특별자치도 춘천시 소양로163번길 22 (소양로2가),승대민,042-3172-0834,✔,2007/7/25,"17,380,000",35.1,✔,러시아어 이름.,9,␣,✘
C0007,✘,참조하여,␣,064-5943-4725,✘,␣,9988150232,✔,✔,한정하다.,␣,␣,W1XPLP9L,26,∅,✘,8760000,✘,임의형,␣,18,5,"51,390,000",␣,T5C3HUQ,2046/9/1,35,␣,✘,38.5,␣,10,␣,4366-10-026655,␣,␣,044-384-8945,✘,2021.2.11,47320000,56.2,✔,␣,8,31.7,✔
C0008,✘,␣,62.0,055-7012-2290,✔,22,1440506791,✘,✔,␣,13,␣,YPCVS4DF,6,∅,✘,"37,840,000",✘,금영래,1,27,2,␣,␣,TBC6PS2,␣,17,여연유,✘,62.1,␣,19,오오겸,373-925945-44,␣,␣,053-8885-4299,✔,1905-01-18,␣,26.6,✘,친족. 배우자,11,27.4,✔
C0009,✘,채용하고,19.7,043-6891-4000,✔,9,1731734985,✘,✔,␣,␣,DBS은행,LUBVEHKI,␣,∅,✘,"23,290,000",✔,형희곤,7,7,4,␣,␣,TKZ4DJN,1926년 2월 16일,30,␣,✔,36.9,␣,36,서문셀마,771-884162-00949,␣,␣,02-365-6215,✘,2048.10.12,"9,340,000",66.0,✘,␣,11,68.2,✘
C0010,✘,갈아,48.0,053-0138-8692,✘,22,1466700648,✘,✔,모로,27,HSBC,␣,7,∅,✘,␣,✘,␣,␣,18,7,"9,340,000",␣,T7GCB7K,␣,30,옥치원,✘,12.6,19.2,29,␣,180-70904984-27,충청남도 당진시 정미면 봉생리 131-1,민예가,␣,✘,1957년 5월 14일,␣,43.2,✘,␣,9,27.6,✔
C0011,✘,항해,61.3,062-9268-5376,✘,␣,9742687728,✘,✔,␣,␣,수협은행,JVIZ7JJP,␣,∅,✘,␣,✘,황내윤,4,31,10,6180000,14.3,TKEYNO4,2009-09-08,36,방휴이,✔,␣,␣,26,현카논,227924-15-300081,"부산광역시 사상구 사상로309번길 61 (삼락동, 동아조각방전)",원미혜자,031-2310-2404,✘,1975.04.28,␣,90.7,✔,성격이 곧아,5,11.3,✘
C0012,✘,질투와,73.6,044-2873-6219,✘,␣,1250025694,✔,✔,␣,25,␣,6G87ZVA2,20,∅,✔,"36,390,000",✘,선우이화,4,20,␣,"49,470,000",97.2,T9Q64DN,␣,2,노휘진,✘,53.9,97.5,32,오이한,␣,전라남도 여수시 화장동 772-10,사공형준,␣,✘,1985-06-22,"1,630,000",75.4,✔,일을,6,44.5,✔
C0013,✔,"보도에서,",80.8,␣,✘,␣,1218175876,✘,✘,혁명군은,␣,ANZ은행,␣,6,∅,✔,"8,830,000",✔,천희락,␣,7,4,"39,180,000",␣,T05REUR,1905/8/25,36,␣,✘,37.3,20.6,␣,␣,␣,␣,␣,␣,✔,2017.1.22,"16,670,000",0.7,✔,␣,7,70.9,✔
