image,015,017,002,014,019,008,011,016,005,000,013,003,007,001,006,018,004,009,012,010
A0000,(주)에스앤피커뮤니케이션,PE1EE1004,15,15,␣,✘,␣,✔,천초아,2025,01,(주)에스엔피커뮤니케이션,␣,01,✔,␣,✔,␣,2025,␣
A0001,티에이치산업개발,PE1EE1004,22,22,␣,✘,␣,✔,추채유,2025,03,티에이치산업개발,␣,03,✔,␣,✔,␣,2025,␣
A0002,서현기계,PE1EE1004,08,08,␣,✘,␣,✔,임서하나,2025,05,서현기계,␣,05,✔,␣,✔,␣,2025,␣
A0003,대한예수교장로회중원햇빛교회,PE1EE1004,11,11,␣,✘,␣,✔,허연나래,2025,07,대한예수교장로회중원햇빛교회,␣,07,✔,␣,✔,␣,2025,␣
A0004,광전운수,PE1EE1004,03,03,␣,✘,␣,✔,염호태,2025,09,광전운수,␣,09,✔,␣,✔,␣,2025,␣
A0005,올리브떡볶이,PE1EE1004,29,29,␣,✘,␣,✔,안슬,2025,11,올리브떡볶이,␣,11,✔,␣,✔,␣,2025,␣
A0006,파리바게트 ( 북수점 ),PE1EE1004,04,04,␣,✘,␣,✔,장태초,2025,02,파리바게트 ( 북수점 ),␣,02,✔,␣,✔,␣,2025,␣
A0007,기독교한국침례회생명의빛교회,PE1EE1004,18,8,␣,✘,␣,✔,구본예재나래도,2025,04,기독교한국침례회생명의빛교회,␣,04,✔,␣,✔,␣,2025,␣
A0008,멕시카나미룡대명점,PE1EE1004,25,25,␣,✘,␣,✔,우하현,2025,6,멕시카나미룡대명점,␣,06,✔,␣,✔,␣,2025,␣
A0009,(주)이포에프,PE1EE1004,12,12,␣,✘,␣,✔,마나별,2025,8,(주)이포에프,␣,8,✔,␣,✔,␣,2025,␣
A0010,공장개발종합건설,PE1EE1004,7,7,␣,✘,␣,✔,우나서,2025,10,공장개발종합건설,␣,10,✔,␣,✔,␣,2025,␣
A0011,(주)한일통운,PE1EE1004,31,31,␣,✘,␣,✔,황호서재,2025,12,(주)한일통운,␣,12,✔,␣,✔,␣,2025,␣
A0012,주식회사 남경전기,PE1EE1004,9,9,␣,✘,␣,✔,차빛윤,2025,1,주식회사 남경전기,␣,1,✔,␣,✔,␣,2025,␣
A0013,석재용달화물,PE1EE1004,16,16,␣,✘,␣,✔,신하나초,2025,03,석재용달화물,␣,03,✔,␣,✔,␣,2025,␣
A0014,대한예수교장로회예심교회,PE1EE1004,23,23,␣,✘,␣,✔,백아도,2025,05,대한예수교장로회예심교회,␣,05,✔,␣,✔,␣,2025,␣
A0015,어상식품영농조합법인,PE1EE1004,05,05,␣,✘,␣,✔,금별성호,2025,07,어상식품영농조합법인,␣,07,✔,␣,✔,␣,2025,␣
A0016,화원산업개발(주),PE1EE1004,19,19,␣,✘,␣,✔,설수민,2025,09,화원산업개발(주),␣,09,✔,␣,✔,␣,2025,␣
A0017,사단법인사회적기업청람,PE1EE1004,14,14,␣,✘,␣,✔,나나래라,2025,11,사단법인사회적기업청람,␣,11,✔,␣,✔,␣,2025,␣
A0018,대륙엔지니어링,PE1EE1004,28,28,␣,✘,␣,✔,임준예,2025,2,대륙엔지니어링,␣,2,✔,␣,✔,␣,2025,␣
A0019,부전수산,PE1EE1004,04,01,␣,✘,␣,✔,육별현,2025,04,부전수산,␣,04,✔,␣,✔,␣,2025,␣
A0020,연천상운,PE1EE1004,17,17,␣,✘,␣,✔,황정솔현,2025,06,연천상운,␣,06,✔,␣,✔,␣,2025,␣
A0021,대구컴퓨터학원,PE1EE1004,24,24,␣,✘,␣,✔,황보서하,2025,08,대구컴퓨터학원,␣,8,✔,␣,✔,␣,2025,␣
A0022,(주)수호전자,PE1EE1004,10,10,␣,✘,␣,✔,한은라,2025,10,(주)수호전자,␣,10,✔,␣,✔,␣,2025,␣
A0023,(주)아주산업,PE1EE1004,08,08,␣,✘,␣,✔,주나래성하윤,2025,12,(주)아주산업,␣,12,✔,␣,✔,␣,2025,␣
A0024,(주)세미레외장,PE1EE1004,21,21,␣,✘,␣,✔,모준은,2025,01,(주)세미레외장,␣,01,✔,␣,✔,␣,2025,␣
A0025,태백약초영농조합,PE1EE1004,30,30,␣,✘,␣,✔,강아슬,2025,03,태백약초영농조합,␣,03,✔,␣,✔,␣,2025,␣
A0026,(주)미래ENG,PE1EE1004,13,13,␣,✘,␣,✔,육은예,2025,5,(주)미래ENG,␣,5,✔,␣,✔,␣,2025,␣
A0027,(주)대상,PE1EE1004,27,27,␣,✘,␣,✔,석준시,2025,07,(주)대상,␣,07,✔,␣,✔,␣,2025,␣
A0028,(주)뉴컴퍼니,PE1EE1004,6,6,␣,✘,␣,✔,유예서,2025,9,(주)뉴컴퍼니,␣,9,✔,␣,✔,␣,2025,␣
A0029,(주)광명도장산업,PE1EE1004,20,20,␣,✘,␣,✔,허도호,2025,11,(주)광명도장산업,␣,11,✔,␣,✔,␣,2025,␣
C0000,염담원,PE1EE1004,31,2,SX8V8AP,✘,22.8%,✔,␣,␣,␣,␣,어다복,11,✘,9278210324,✔,␣,␣,QM3 쌍용
C0001,␣,PE1EE1004,␣,18,S9AM3YI,✔,␣,✔,␣,2011,␣,␣,기설진,␣,✘,9427789114,✘,19개월,2026,A6 아반떼
C0002,원이브,PE1EE1004,␣,␣,SWI8D8K,✔,10.2%,✔,␣,2025,4,현라봄,좌관우,12,✔,9242782921,✘,9개월,␣,임팔라 티볼리
C0003,사공택수,PE1EE1004,␣,3,SYQ4L3W,✘,94.2%,✘,염우호,2016,11,␣,용류인,5,✔,9066537307,✘,24개월,2017,포르쉐 싼타페
C0004,␣,PE1EE1004,30,12,STPVKCK,✔,55.8%,✔,차리세,␣,4,선우보란,표초롱,␣,✔,1900258297,✔,33개월,2017,렉스턴 코롤라
C0005,원강린,PE1EE1004,12,7,SHT791U,✔,18.1%,✘,␣,2012,3,시으뜸,␣,11,✔,1016228575,✔,␣,␣,E 클래스 i4
D0000,설미유기,PE1EE1004,5,9,␣,✘,25.6%,✘,명도결,2026,␣,가민건,범규미,␣,✔,␣,✔,34개월,2028,트랙스 A4
D0001,위보우,PE1EE1004,25,␣,UYGDM38,✔,54.7%,✔,추해옥,2038,12,␣,홍설유,␣,✔,␣,✘,34개월,␣,이쿼녹스 A 클래스
D0002,장다올,PE1EE1004,17,␣,␣,✔,25.2%,✘,␣,␣,12,동시운,옥우서,1,✔,1251980543,✔,7개월,2025,무쏘 코란도
D0003,␣,PE1EE1004,24,13,␣,✔,86.4%,✔,장윤산,2007,4,␣,기양현,8,✘,9775549529,✘,34개월,2017,␣
D0004,␣,PE1EE1004,␣,␣,UADJS3K,✔,36.9%,✘,␣,2014,␣,인아셀,고기서,8,✔,1748209673,✘,20개월,2013,␣
D0005,강마크,PE1EE1004,29,30,␣,✔,␣,✔,성꽃향기,␣,7,문니아,손려훈,5,✔,9038800896,✔,14개월,2037,크루즈 911
D0006,간광렬,PE1EE1004,␣,19,␣,✔,23.8%,✔,채경신,2026,4,오왕은,소류휘,␣,✔,9809610243,✘,␣,2014,랜드크루저 토레스
D0007,천규희,PE1EE1004,␣,␣,UJAQW4L,✔,␣,✔,␣,␣,5,설휴린,␣,␣,✘,1322832007,✔,27개월,␣,A3 랜드크루저
D0008,␣,PE1EE1004,␣,␣,UNUUH6R,✘,␣,✘,심병률,2008,3,␣,봉찬중,5,✔,␣,✔,27개월,␣,GLC GLC
D0009,배시령,PE1EE1004,10,27,UNBDY20,✔,68.3%,✔,제갈서한,2027,8,심준교,진려해,12,✘,1108241966,✔,20개월,␣,르노 GV80
D0010,␣,PE1EE1004,7,29,UA7HLBA,✔,4.5%,✘,유해슬,2023,12,␣,음휼,␣,✘,9662275883,✘,2개월,2001,말리부 스타리아쉐보레
D0011,윤린호,PE1EE1004,11,31,UFPAOQW,✔,39.2%,✔,곽채랑,2005,8,설병무,염휼,9,✔,␣,✘,28개월,2031,X1 XM3
D0012,␣,PE1EE1004,25,␣,␣,✘,15.2%,✘,␣,2002,10,신늘,목혜리,12,✔,1011907465,✔,␣,␣,␣
D0013,성위민,PE1EE1004,10,27,UX45EBS,✔,␣,✘,명규도,␣,␣,편소별,반의율,␣,✘,9218274332,✘,3개월,2036,␣
D0014,␣,PE1EE1004,␣,7,UE3J8K9,✔,␣,✘,␣,␣,11,␣,형닛시,8,✘,9236745194,✘,14개월,␣,␣
D0015,두영모,PE1EE1004,␣,␣,UXTFB5U,✔,35.9%,✔,편승겸,2039,2,구유돈,탁인수,3,✔,9361638070,✔,␣,2033,벨로스터 Q5
D0016,인세오,PE1EE1004,␣,21,␣,✔,␣,✔,␣,␣,7,권홍철,모석민,11,✘,9193225895,✔,35개월,␣,␣
D0017,손서영,PE1EE1004,8,21,U0SWCY4,✘,␣,✘,표문영,2018,␣,범경지,육줄리안,9,✔,9649017924,✔,26개월,2006,␣
D0018,명진휘,PE1EE1004,12,␣,␣,✔,␣,✘,␣,␣,9,유혜용,␣,␣,✘,␣,✔,14개월,2007,QM6 마칸
D0019,연명곤,PE1EE1004,␣,15,UWQ3PSX,✔,32.2%,✔,␣,2011,␣,우산유,서문병인,␣,✘,1314580228,✔,22개월,2024,타이칸 Q5
