image,011,000,025,001,026,023,024,027,010,030,029,028
C0000,✘,✘,27,✘,단대완,2027,4,✔,✘,SR8UH2E,9253821177,SP00AAA026
C0001,✘,✘,6,✘,황헵시바,2029,10,✘,✘,SBF3ZYO,1378094413,SP00AAA026
C0002,✔,✘,8,✘,인종열,2020,6,✘,✘,SXD7PX2,9608022485,SP00AAA026
C0003,✔,✘,15,✘,류봄찬,␣,9,✔,✔,S93TGIT,1651467945,SP00AAA026
C0004,✔,✔,2,✘,마래헌,2010,12,✘,✘,SPVL8LE,9653929257,SP00AAA026
C0005,✘,✔,␣,✘,음범채,␣,␣,✔,✔,SH81D80,1017406172,SP00AAA026
D0000,✘,✔,1,✔,감도용,␣,10,✔,✘,HYDE7SS,9175520050,SP00AAA026
D0001,✘,✘,28,✘,갈시화,2037,␣,✔,✘,HRSLP6U,9769642617,SP00AAA026
D0002,✘,✘,␣,✘,동조에,2012,4,✘,✘,H67IA8B,␣,SP00AAA026
D0003,✘,✘,1,✘,조창조,␣,5,✘,✔,␣,␣,SP00AAA026
E0000,✔,✔,14,✘,␣,2010,␣,✘,✘,U75X28U,9238193660,SP00AAA026
