image,010,017,022,020,036,019,008,011,016,000,025,026,001,027,023,038,018,009,021,024,037
A0000,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,15,김민준,✔,✔,2025,␣,✘,✔,✘,5,␣
A0001,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,22,이서연,✔,✔,2025,␣,✘,✔,✔,03,␣
A0002,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,08,박도현,✔,✔,2025,␣,✘,✔,✘,05,␣
A0003,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,11,최지우,✔,✔,2025,␣,✘,✔,✘,07,␣
A0004,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,03,정우진,✔,✔,2025,␣,✔,✔,✘,09,␣
A0005,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,29,강수아,✔,✔,2025,␣,✘,✔,✘,11,␣
A0006,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,4,윤지훈,✔,✔,2025,␣,✘,✔,✔,2,␣
A0007,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,18,장하윤,✔,✔,2025,␣,✘,✔,✘,4,␣
A0008,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,25,임시우,✔,✔,2025,␣,✘,✔,✘,06,␣
A0009,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,12,한아린,✔,✔,2025,␣,✔,✔,✘,8,␣
A0010,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,7,서준서,✔,✔,2025,␣,✘,✔,✘,10,␣
A0011,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,31,신지우,✔,✔,2025,␣,✘,✔,✔,12,␣
A0012,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,9,권도윤,✔,✔,2025,␣,✘,✔,✘,1,␣
A0013,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,16,조예진,✔,✔,2025,␣,✘,✔,✘,03,␣
A0014,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,23,문우현,✔,✔,2025,␣,✔,✔,✘,5,␣
A0015,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,5,송수빈,✔,✔,2025,␣,✘,✔,✘,7,␣
A0016,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,19,이지민,✔,✔,2025,␣,✘,✔,✔,09,␣
A0017,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,14,김하늘,✔,✔,2025,␣,✘,✔,✘,11,␣
A0018,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,28,박선우,✔,✔,2025,␣,✘,✔,✘,2,␣
A0019,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,01,최서아,✔,✔,2025,␣,✔,✔,✘,04,␣
A0020,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,17,정현우,✔,✔,2025,␣,✘,✔,✘,6,␣
A0021,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,24,강민지,✔,✔,2025,␣,✘,✔,✔,08,␣
A0022,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,10,윤도윤,✔,✔,2025,␣,✘,✔,✘,10,␣
A0023,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,08,배하늘,✔,✔,2025,␣,✘,✔,✘,12,␣
A0024,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,21,송지훈,✔,✔,2025,␣,✔,✔,✘,01,␣
A0025,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,30,김도윤,✔,✔,2025,␣,✘,✔,✘,3,␣
A0026,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,10,이수아,✔,✔,2025,␣,✘,✔,✔,5,␣
A0027,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,26,박시우,✔,✔,2025,␣,✘,✔,✘,7,␣
A0028,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,06,최수현,✔,✔,2025,␣,✘,✔,✘,09,␣
A0029,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,20,정우현,✔,✔,2025,␣,✔,✔,✘,11,␣
