image,057,061,017,051,022,076,049,002,062,056,074,050,020,019,067,052,016,005,000,075,003,007,001,066,048,006,023,018,004,021
C0000,✘,염병찬,✘,선사강,✘,SP2Y1R0,3,✘,✔,민진화,SP00NAD025,6,✔,✘,✘,✘,✔,✔,✘,9818773597,✘,✘,✘,␣,2014,✔,✘,✘,✘,✘
C0001,✔,변유성,✘,서시맥,✘,SK0QCS3,␣,✘,✘,라실화,SP00NAD025,27,✘,✘,✔,✘,✘,✔,✔,9247240489,✘,✘,✔,배루이,2013,✘,✔,✘,✘,✘
C0002,✘,금도호,✘,손희종,✘,SPRWAF9,␣,✘,✔,␣,SP00NAD025,27,✘,✘,✔,✘,✘,✘,✘,1579615730,✘,✘,✘,견희문,2010,✘,✘,✘,✘,✘
C0003,✔,범보광,✘,기아준,✘,S250GY0,4,✔,✔,노권율,SP00NAD025,5,✔,✘,✘,✘,✔,✘,✘,1638266103,✘,✔,✘,␣,2029,✘,✘,✘,✘,✘
C0004,✘,␣,✔,표제은,✘,SJWAAXX,4,✘,✘,␣,SP00NAD025,␣,✘,✔,✔,✘,✘,✘,✘,9874385726,✘,✘,✔,지이네스,2027,✔,✘,✔,✘,✘
C0005,✘,조창기,✘,한효영,✘,SXWJR7E,12,✘,✘,태여훈,SP00NAD025,10,✘,✘,✘,✔,✔,✔,✘,1969975851,✘,✘,✔,␣,2014,✘,✘,✘,✘,✔
D0000,✘,␣,✘,␣,✘,HX45SA5,␣,✘,✘,␣,SP00NAD025,␣,✘,✘,✔,✘,✘,✔,✘,␣,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘
D0001,✔,␣,✘,엄루인,✘,␣,10,✘,✘,␣,SP00NAD025,26,✘,✘,✘,✘,✘,✔,✔,1602547367,✘,✘,✘,␣,2008,✘,✘,✘,✘,✘
D0002,✔,황지협,✘,␣,✘,H1SQALU,9,✔,✔,␣,SP00NAD025,7,✔,✘,✔,✘,✘,✘,✘,9186188492,✘,✘,✘,최오나,2037,✘,✘,✔,✘,✘
D0003,✘,␣,✘,정수원,✘,␣,12,✔,✘,천창배,SP00NAD025,30,✔,✘,✘,✘,✘,✘,✔,9737803582,✘,✘,✔,한세창,␣,✔,✘,✘,✔,✘
E0000,✘,␣,✔,공기율,✘,␣,5,✘,✘,범의빈,SP00NAD025,20,✘,✔,✘,✘,✘,✘,✔,1503542626,✘,✘,✘,사공찬명,2020,✘,✘,✘,✔,✔
