image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,091,092
G0000,부산광역시 중구청장,1910년 2월 20일,82-34-589987-86,보스니아헤르체고비나,900682-0168001,여자,,✔,✔,,✔,,자란다.,,✔,✔,✔,✔,✔,✔,,,CTO,경기도 양평군 용문면 화전로105번길 16-6,054-9878-1385,45년,3616만원,,,,✔,✔,,,,,,,✔,,,,✔,,,,,,,✔,✔,,✔,,✔,,아부하는,,,,✔,,,,"곡조에서,",,,우리은행,640-513-831454,음소흘,배우자,317-77-24521,,2026,,,,<|SEAL|>,윤환준,,2032.6.5,폴란드/여자,감사,안봄,<|SEAL|>,2040,4,26,,✔,9651579212,S5O7ZOY
G0001,,1929.4.13,,아랍에미리트,061849-0102009,,,,,,,,,,,,✔,,,,형제갈비,,실장,제주특별자치도 제주시 삼도일동 721-4,062-2087-5640,41년,7561만원,,,✔,,,,,,,,✔,✔,,,✔,,,,,,,✔,,,✔,✔,✔,,,행하여,,✔,,✔,,,✔,갈색의,✔,,ANZ은행,859897-65-370212,,조모,397-45-63976,010-7664-8294,2028,,,선루비나,,남영표,,2029.4.2,,,복범하,<|SEAL|>,2004,,,육이랑,<|SEAL|>,9134509895,SH2CKKU
G0002,세종특별자치시 도담동청장,1911년 10월 28일,,핀란드,220181-2412041,여자,,✔,,,✔,,,✔,,,✔,✔,,✔,,좋은,실무자,전북특별자치도 고창군 무장면 조치길 35-8,064-7908-5491,7년,9697만원,,,✔,,✔,,✔,,✔,✔,,,✔,,,,,,✔,,,✔,✔,✔,,,,,✔,따위에,,,,,,,,모양.,✔,,,,,딸,,010-3004-6141,2029,6,10,,<|SEAL|>,신진한,LYU JAE-IL,1997/4/16,덴마크/여자,실장,,<|SEAL|>,,6,6,이종기,<|SEAL|>,9499089568,
G0003,,2016.05.22,45-42-582218-26,불가리아,,남자,,✔,,,,,,,,✔,,✔,,,초월,서로,주임,전북특별자치도 김제시 용지면 부교1길 6,,,7609만원,,,,,,,,,,,,,,,✔,✔,,,,,,,,✔,,,✔,,,,,,✔,,✔,✔,,편을,,,,,금제학,,2033/2/21,,2005,,8,이택우,<|SEAL|>,,CHU OG-IM,1973.11.05,,,채덕민,<|SEAL|>,,9,,편은겸,<|SEAL|>,,S34IZ50
G0004,강원특별자치도 철원군수,,19-22-896966-75,브루나이,445887-1483605,여자,,✔,,,,,가장,,✔,,,✔,,✔,,향하여,상무,전북특별자치도 남원시 금지면 택내길 36-37,041-6282-8195,,6563만원,✔,✔,,,,,,✔,✔,✔,✔,✔,✔,,✔,,,,,,✔,,,,,,,,✔,세계에,,,,,,,✔,,✔,,,0628-80-678647,명현범,,1919.2.5,010-8085-6589,2023,8,,소도한,<|SEAL|>,위효신,DAN CHI-EUN,1959년 11월 04일,투르크메니스탄/남자,연구원,,,,8,4,황보대로,✔,1190662109,SUYGRXZ
G0005,전라남도 해남군수,2036년 05월 08일,97-27-469316-83,,,,,,,✔,✔,,방해하므로,,,,,,,,한미약품 식품사업부,,,경상남도 창원시 의창구 대산면 갈전로 47-11,,32년,1360만원,✔,✔,,,,,✔,✔,,✔,,✔,,,,✔,,,,,,,,,,✔,✔,,✔,말.,,,,✔,,,,,,,미쓰비시UFJ은행,139-135261-79,,,,010-2116-2563,2038,3,1,,<|SEAL|>,,,,,,,<|SEAL|>,2005,9,,,<|SEAL|>,1987782158,SPB97OP
G0006,,1951년 5월 30일,03-08-306515-00,부탄,850646-6149747,여자,,,✔,,,,이르는,,,,✔,✔,✔,,,꼬물대고,감사,대구광역시 달서구 당산로24길 106,063-3908-8821,,3304만원,,✔,,,,✔,,✔,✔,,,,✔,,,,✔,,,,,,,,,✔,,,✔,그,,✔,,✔,,✔,✔,쓴,,,,381648-71-932199,선제광,,,010-7027-6951,2025,3,30,,<|SEAL|>,,YU SE-YEOL,1981.3.17,레바논/남자,주임,상백산,<|SEAL|>,,11,31,탁초민,✔,1311188784,SQF2I11
G0007,전라남도 화순군수,2046.5.24,64-91-759741-35,북마케도니아,277797-3786785,남자,✔,,,✔,,✔,네덜란드의,,,✔,,,✔,✔,동부제철,,부사장,제주특별자치도 제주시 화북일동 2140-4,044-4248-1082,13년,2229만원,✔,,,,,,,,✔,,,,✔,✔,,✔,,,✔,,,,,,✔,,,,,운동을,✔,,,✔,,,✔,,,✔,토스뱅크,998-80746770-12,온성유,본인,1961년 07월 23일,,2016,10,,,<|SEAL|>,,,,마카오/남자,CTO,서문로준,✔,,10,16,류해라,<|SEAL|>,,SL37E0S
G0008,경기도 시흥시장,1940-11-10,,튀르키예,997636-9350625,,✔,,,,,,통과,,,,,,✔,,,,부사장,경기도 이천시 부발읍 무촌로97번길 80-26,054-7909-8695,20년,,,,,,✔,,,✔,✔,✔,,,✔,,✔,✔,,✔,,,,,✔,,✔,,,,,,,,✔,✔,,✔,,,,,중국공상은행,417031-02-589030,모빈경,,192-99-40723,,,,2,,,형세안,YONG SISEONG,1996.07.31,,부문장,서문채적,<|SEAL|>,2020,,22,,<|SEAL|>,1835492698,
G0009,,,74-99-574230-84,캄보디아,336387-3437027,,✔,,,,,,,,,,,,✔,,테이블에이,일.,과장,경상북도 경산시 남산면 송내공단길 68우림),055-3178-2821,13년,2919만원,,,,,✔,,,,✔,✔,✔,,,,,,,,,,✔,,,,,✔,✔,,✔,자기의,✔,,✔,,,,,대답하는,✔,,한국수출입은행,,용수야,조부모,1937.2.4,010-3922-3980,,,18,,<|SEAL|>,,GYEONG BYEONGJO,,덴마크/여자,실무자,마규명,<|SEAL|>,2034,11,,함경실,<|SEAL|>,9903637985,SASLPE7
