image,000,001,002,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,027,028,029,030,031,033,034
G0000,894-73-63368,,✔,,,가다.,,✔,,✔,,,✔,✔,,,,봉견,,,19,구준배,<|SEAL|>,9283629348,PR2L6K2
G0001,,,,,✔,하토01,,,,,,✔,,,,✔,✔,갑자기,,4,,,<|SEAL|>,9769747495,
G0002,012-41-60997,,,,✔,,,,,,,✔,,,,,,필요하다.,2002,1,28,용한송,✔,1089836433,P31IABO
G0003,989-72-69812,,,,✔,높여,✔,,✔,✔,,✔,,,,,,거절하다.,,8,26,,✔,9418088446,
G0004,779-58-34597,,,,✔,,✔,,✔,,✔,,,,,✔,,귀를,2014,12,,마에스라,<|SEAL|>,,
G0005,398-21-58145,,,,,오죽잖다는,,,,,,✔,,,✔,,,,,5,,염단이,<|SEAL|>,,PHKJFCW
G0006,726-79-87080,,✔,,,,,,,✔,,,,✔,✔,,,죽은,2004,6,,음채성,,9229187931,PJOO8ZF
G0007,431-73-68887,,✔,,,,,,✔,✔,,,✔,,✔,✔,,하나.,2014,,,최예향,✔,,PY7A8DW
G0008,505-76-17172,✔,,,,,,,✔,,,,,,,,,굽히는,2040,5,18,,<|SEAL|>,9851488087,PI87VEK
G0009,,,,,,삼국지,✔,,✔,✔,,,,,✔,,,붙이던,2004,,29,문민학,<|SEAL|>,,PBHTUJ0
G0010,648-30-32762,✔,,✔,,두만강의,,,,✔,,,,,,,✔,,,2,5,우민광,<|SEAL|>,,PFH86Y2
G0011,,,,,✔,털을,,✔,✔,✔,,,,,,,,,2022,,29,당응찬,<|SEAL|>,1988334643,PQGBAM9
G0012,,,✔,,,,,,,✔,,,✔,✔,,,,,2005,,,범휘언,<|SEAL|>,,
G0013,308-64-49281,,,,,옷.,,,✔,,,,✔,,✔,,,,,7,18,염쁨,,,PIAOFK7
G0014,353-75-30904,✔,,,,"형태로,",,,✔,,,,,✔,,✔,,,,4,,음의령,<|SEAL|>,,PZTB7W3
G0015,500-01-63706,,✔,✔,,경기도,,,,,,,,,,,,,2036,10,30,,✔,9705852364,PGSEQBQ
G0016,231-00-56973,✔,,,,,,,,,✔,,✔,,,✔,✔,",",2017,2,1,,✔,9500821602,PINQYOB
G0017,479-40-80438,,✔,,,,✔,,,,✔,,,,,,,반응.,2010,,,부관우,,1000815750,PA3UQQP
