image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,053,054
G0000,류제헌,,보라색,,4220000,,,✔,,✔,,,,,,"77,510,000","6,770,000",,"9,140,000",71.0,18,35,"5,570,000",17,7,5890000,✔,,47.2,,41.3,,27.2,"7,320,000","34,920,000",79.2,33.3,"370,186km",6948만원,,"7,470,000",✔,,,,,,,,✔,,비행하며,9926609919,S2ZQ9IP
G0001,위금화,GV80,,0,"48,770,000",집에,✔,,,✔,,,,✔,34,"42,930,000","7,650,000","87,910,000","4,290,000",20.9,27,4,"5,410,000",,1,"89,560,000",,,12.5,"69,510,000",82.2,15370000,,"57,460,000","7,550,000",81.8,80.3,,5749만원,✔,"19,190,000",✔,,✔,,"51,460,000",✔,,,,"82,120,000",,1772377301,SARDQ4C
G0002,,GV70,군청색,,58130000,주민들이 에스파냐로,,,,,,,,,13,5320000,"6,320,000","39,460,000","87,290,000",57.0,11,,"61,610,000",,,9290000,,,95.7,"44,670,000",54.5,"17,750,000",,"26,830,000","59,420,000",,,"513,060km",5367만원,,,,,,,"5,850,000",✔,✔,,,4540000,잡초에,1336967563,SCNT2DW
G0003,인선혜,QM6,흑색,2,,,✔,,,,,,,✔,,"5,220,000","11,650,000","1,370,000","7,230,000",,15,7,,36,31,"41,720,000",,,82.5,28940000,,5490000,,"9,310,000","7,770,000",,41.9,"406,000km",,,"69,310,000",,,,✔,"31,410,000",,✔,,✔,"9,820,000",아열대고압대,,SFMFNY9
G0004,방인환,e-트론,,,,방식의 하나.,,,,,,✔,,✔,,"43,290,000",5820000,"8,860,000","8,950,000",,,,"84,430,000",11,27,"14,630,000",,✔,91.1,,43.6,,,"8,520,000","55,460,000",37.3,56.0,,3718만원,,"5,150,000",,,,,"9,350,000",✔,,,,,,1523757545,
G0005,감오늘,,다홍색,1,"71,180,000",물가에,,,✔,,,,✔,,,"4,470,000",,"6,340,000",,27.4,14,6,"61,610,000",,,"97,650,000",✔,,44.8,"6,990,000",0.2,"7,570,000",80.4,,"56,960,000",,17.8,"335,000km",,✔,,✔,,✔,,"51,140,000",✔,,,✔,,,,
G0006,,,흑색,,6430000,사람. 몰이꾼들이,✔,✔,,,,,✔,,,"94,760,000","66,580,000",,"96,410,000",19.1,19,3,"7,230,000",,,"5,380,000",✔,✔,21.6,"91,350,000",27.4,"9,970,000",,"9,230,000",,,1.2,"397,200km",9164만원,✔,"8,490,000",✔,,,,,✔,✔,✔,✔,,,1008995927,
G0007,오근솔,르노,와인색,8,"6,220,000",질소,,,,✔,✔,,,,28,,,,"4,480,000",,,,"1,450,000",20,,18480000,,✔,16.9,,,23530000,,"26,720,000",89790000,99.9,90.1,,,,,✔,,✔,,"17,860,000",,,✔,,55680000,거르는 기구.,9198237222,SZIUEAD
G0008,,어코드,보르도색,6,94360000,따위를 중시하여,,,,,,✔,,,16,"6,680,000",,,"49,560,000",38.7,35,18,,,,,✔,✔,55.5,"3,680,000",23.5,"9,150,000",,"66,510,000","76,280,000",,54.6,631200km,7664만원,✔,"63,510,000",,,✔,✔,"95,740,000",,,✔,,,익산시를,9453717120,
G0009,길혜기,타호,,,,먼저 바친다는,,,✔,,✔,✔,✔,,,"99,660,000","72,590,000",,"78,280,000",57.3,8,31,5370000,,,"9,180,000",,,,,4.7,4910000,5.3,,"2,410,000",,23.8,"188,390km",,,,,✔,,,98690000,✔,,,,,대표적이다. ,9793423206,S2H7EVR
G0010,손군,GLS,호박색,,"93,250,000",,,,,✔,,,,✔,25,"3,330,000","62,870,000","45,690,000","7,520,000",9.8,,28,55550000,27,23,,✔,,6.1,"7,640,000",30.9,"48,110,000",81.0,"43,170,000","73,350,000",39.9,81.9,462900km,,,"7,160,000",,✔,,✔,"61,450,000",✔,✔,✔,,,주거나 생기는,1333766575,SRTL6DH
G0011,,,보르도색,,8770000,사람들을 현혹한다.,,,,,✔,,,,9,"34,890,000",78420000,"17,820,000",,77.6,36,4,,,7,"99,720,000",,✔,89.9,"1,780,000",46.1,"68,490,000",,,"35,970,000",43.4,8.7,"230,200km",6311만원,,,✔,,,✔,,,✔,✔,✔,,"강하며,",1828197416,
G0012,갈호철,,검푸른색,3,,또는 그런,,,,✔,,,,,25,"29,920,000","2,830,000",33640000,98520000,97.7,,6,"72,530,000",34,,54540000,,✔,10.6,4840000,59.9,"9,220,000",8.8,,"32,840,000",64.4,93.2,"762,073km",8471만원,✔,"3,420,000",,✔,,,"78,720,000",,,✔,,"35,980,000",,,
G0013,오순아,,,7,"51,250,000",,✔,✔,,✔,,✔,,,30,,32120000,"99,150,000",4870000,,3,11,"19,610,000",,3,"52,790,000",✔,✔,,"32,870,000",,42610000,,"57,760,000",65290000,70.5,,,2281만원,,,✔,,,✔,,✔,✔,,✔,"5,380,000",297987칡꽃을,,SI4XS7Y
G0014,,캠리,검은색,7,36510000,마을,,,,,,,,,,"94,880,000","6,220,000","2,160,000","7,120,000",64.7,19,,"2,850,000",17,,"22,370,000",,✔,5.3,39680000,6.8,"82,740,000",77.7,"57,160,000","73,720,000",59.7,,,6587만원,✔,"56,670,000",✔,✔,,,"9,280,000",,✔,✔,,"66,240,000",,1225997918,SQZJE7C
G0015,허세련,캐스퍼,,8,"4,390,000",,,✔,,,,✔,,,,5660000,"6,150,000",,,74.5,16,11,,36,15,"46,260,000",,✔,,"7,380,000",95.9,"8,210,000",64.1,"71,950,000","65,620,000",63.9,29.5,817940km,6348만원,,"8,950,000",✔,,✔,,"89,460,000",,✔,,,"2,470,000",,9270595813,
G0016,천서랑,GV90,쥐색,6,"1,580,000",막다.,,,,,,,✔,,,"9,630,000","4,780,000",,"65,220,000",49.8,,1,"55,760,000",11,30,"7,480,000",,,,"47,910,000",78.4,"9,830,000",96.4,"57,810,000","78,950,000",79.4,67.1,"422,400km",8728만원,,"9,320,000",✔,,,,"31,650,000",,,,,46560000,거짓말을 했다.,9187798634,SBL58Z0
G0017,석제규,코란도,,8,"2,590,000",,✔,,✔,✔,,✔,,,20,"6,160,000",8830000,"7,840,000","5,120,000",98.6,2,29,39370000,24,27,,,✔,65.5,81920000,,,39.5,"15,250,000",,92.0,1.3,,7918만원,✔,3980000,,,✔,,,✔,,,✔,,한가운데에,9398629338,SZGXMSL
