image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,018,019
G0000,하영균,KX이노베이션,김도웅,2038,10,9,천의인,<|SEAL|>,,핵심설명서,,설명을 듣고 이해,2018,6,,시미로,✔,,TKCE5AE
G0001,우도웅,,범송화,,12,,서두현,<|SEAL|>,승레이아,핵심설명서,계약의 중요내용,설명을 듣고 이해,2012,,,,<|SEAL|>,9949087981,T6FBGIF
G0002,두병석,한글과컴퓨터,견미찬,2027,5,23,,✔,,,계약의 중요내용,,2029,5,24,지은란,<|SEAL|>,1461557105,TXT6I0K
G0003,,낙원(메이필드호텔),엄헤이든,,3,,,✔,국임재,핵심설명서,계약의 중요내용,,,,,사공언,<|SEAL|>,,TS7IZFV
G0004,,창동 포차거리,,2025,,,국유경,<|SEAL|>,황신준,핵심설명서,계약의 중요내용,설명을 듣고 이해,2001,4,15,금의영,,1915995908,TYVEXNS
G0005,장루미,이태원 앤틱 가구거리,강하루토,2025,,2,,<|SEAL|>,육화영,핵심설명서,,,2026,12,21,예형운,<|SEAL|>,9847656648,T8XUEG5
G0006,탁제정,넷마블게임즈,선우재왕,2014,9,3,,<|SEAL|>,차예니,핵심설명서,계약의 중요내용,설명을 듣고 이해,2004,10,,,,9441184768,TRQ86RQ
G0007,기드레,다원,,,3,2,성란주,<|SEAL|>,,,계약의 중요내용,설명을 듣고 이해,2021,,10,,<|SEAL|>,9627195053,TS4T4E2
G0008,형세왕,한국GM,표맑음,2026,,,설람희,<|SEAL|>,,핵심설명서,계약의 중요내용,설명을 듣고 이해,2029,3,18,,<|SEAL|>,,T8B5WIW
G0009,음무재,,,,,,우현옥,,,핵심설명서,,설명을 듣고 이해,2028,11,13,가정기,,1335525049,TKBQX1P
G0010,,목포집,,2035,11,,황채한,<|SEAL|>,나일미,핵심설명서,,설명을 듣고 이해,2028,5,,,<|SEAL|>,9961804630,TEP4AJA
G0011,지동석,뚝섬 인공암벽장,양휘향,2034,9,4,,<|SEAL|>,연레오나르도,핵심설명서,계약의 중요내용,,2035,12,,,<|SEAL|>,1299355186,
G0012,,,조미지,,3,,,✔,형선이,핵심설명서,계약의 중요내용,설명을 듣고 이해,,4,25,온세연,,1520614383,TGNWA21
G0013,전모란,,,2015,10,,,<|SEAL|>,예이솔,,,설명을 듣고 이해,,2,11,최도자,,,T50KK8R
G0014,정천호,앨리 (카페 엘리),,2013,1,26,,<|SEAL|>,김토마스,,계약의 중요내용,설명을 듣고 이해,2027,,9,나태열,,1510482384,
G0015,심조하,오구반점,안클로이지아,,,28,가원율,<|SEAL|>,임아,핵심설명서,,설명을 듣고 이해,,5,16,양서미,✔,9764823058,TNUF569
G0016,감강후,,배룸,2018,,20,,<|SEAL|>,소중한,,계약의 중요내용,,2024,,3,,<|SEAL|>,,TJV8ZEM
G0017,선우설,손오공,옥능,2004,9,12,탁담우,✔,손완수,,계약의 중요내용,,2038,7,,,,,T0WKGQX
G0018,나천심,한미약품 식품사업부,,2040,,26,,<|SEAL|>,빈수혁,핵심설명서,계약의 중요내용,설명을 듣고 이해,2005,6,31,사쥴리,<|SEAL|>,9053161295,
G0019,,뿌자2 인도 할랄 음식점,은누리,2004,3,30,,✔,,핵심설명서,계약의 중요내용,,2036,,26,한정목,,,
