image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,067,068
G0000,✔,✔,,✔,,,✔,,✔,,,,✔,✔,,✔,,,,✔,,,,상수,,✔,✔,,,✔,,,강철. 크로뮴이,,,,,27.8%,2024-12-24,캐나다,여자.,당류근,,,,중국,함부로,,DAN GA-ONHAE,89.3%,1976.9.24,,상패하다의 어근.,,DANG HYEONGJI,75.6%,1980년 6월 27일,,실장,백나솔,<|SEAL|>,,2,16,범선운,,,LDI35BB
G0001,✔,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,,,,얼룩얼룩 피멍이,공간에,목창운,YONG GAHYE,,1907-10-11,아프가니스탄,사이에서만,남궁라운,GUG YUNBOG,19.8%,,벨기에,개념을,승의태,,,,세르비아,,김순욱,NAM GUNGMISEL,59.2%,1947.5.27,북마케도니아,CIO,유인찬,✔,2035,,,송샤인,<|SEAL|>,1637870940,
G0002,✔,,,,,,,,,,,✔,,✔,✔,,✔,,,✔,,,✔,전용으로,,,,,✔,✔,✔,,,장허하다02 오장이,이념적인,,,58.0%,,요르단,,민윤석,,,1954년 07월 17일,몬테네그로,Phrygia,제서해,O GWANGBEOM,49.4%,,,,심나교,,61.2%,,이란,과장,한호창,<|SEAL|>,,1,19,상푸르미,<|SEAL|>,1680001779,LP32RA2
G0003,,,,,✔,,✔,,,,,✔,,✔,✔,,,,,✔,,✔,,그리스,✔,,✔,✔,,,,,하는,좀스럽게 움직이다.,,,BU MI-YO,13.8%,1936-07-14,,위에,지유별,MYEONG JINGI,59.6%,1959년 01월 27일,,것. 건축물에서,성이준,,48.9%,,러시아,어근. 406817,위해양,NO JEONGSU,48.9%,1940/8/19,스웨덴,부사장,류소서,,2037,12,25,,,9588327816,
G0004,,,,✔,,✔,,,✔,,,,,✔,,,✔,✔,,,✔,,,울다.,✔,,,,,✔,,,말캉거리어,,자른 모양을,,SEOL WON-I,,1901년 08월 21일,대만,투로 나올,,PYO DAHYO,,1928.9.24,우루과이,즐기는 일을,,U GEUNHO,15.4%,1929.03.28,브라질,만드는,변류이,DO HYEONGSEONG,18.2%,,프랑스,과장,황보비안,✔,2019,4,7,우설경,,1518294050,
G0005,,,,✔,,,,✔,✔,,,,✔,,,,,,,✔,,✔,,,,,,,✔,,,,자루에 박히는,,,,GEUM INJEONG,80.9%,1999.09.04,,,손호리,,3.8%,1922/1/16,,,,,15.0%,1966.01.22,덴마크,,방순호,GAL ALLEGSANDEULA,0.9%,,튀르키예,연구원,방사토미,<|SEAL|>,2020,7,,진두리,,,
G0006,,,,,✔,,,,,✔,✔,,,,,,✔,,,,,,✔,아니한,,,,,,,✔,,,이르는,밤에 항행함.,금하별,JWA MISUN,32.6%,2028-07-08,콜롬비아,,팽에스텔,,,1942.2.11,그리스,하여,단세림,SEUNG DOJUN,74.2%,,,나섰으니....,손구현,GAN SAN-YUL,34.3%,1924.04.30,북마케도니아,대리,,<|SEAL|>,2010,1,11,함경표,✔,9084397197,LPSMVDY
G0007,,,,,,,,,,,✔,✔,,,✔,,✔,,,,,,,중생을,,,,✔,,,,,무망중에,항의 개수가,이끌어 갈,,GAL JIHAG,27.4%,1910/12/23,태국,,왕다힘,,29.4%,1983년 2월 26일,부탄,신라,홍소우타,LYU HOTAE,,2023년 06월 08일,칠레,엄살을,두지웅,,,,,프로젝트 매니저,승경록,✔,2028,11,8,현푸르미,,9943404124,
G0008,,,,✔,✔,,,✔,,,,,✔,,,,✔,,,✔,,,,,,,✔,,✔,,✔,,모양.,기생하며,지방구를,국운율,SEOG JI-WANG,61.5%,,,벼농사를 짓는,,MUN TAEG-WON,94.5%,,홍콩,,전공미,,,,,이끌어서 도와주다.,민여호수아,LA SO-YAN,8.7%,1942.12.26,,,기류정,<|SEAL|>,2024,,25,여채하,,1497678160,LIAS6R0
G0009,,,✔,,✔,,✔,,✔,,,,✔,,,,,✔,,,,✔,,천음,✔,,,,,,,,이르는,몰랐다.,요긴한 곳에,,LYU ESWILLI,43.9%,1982년 3월 17일,팔레스타인,전만 달래,정채은,GYEONG CHI-UN,12.7%,1951.6.15,대한민국,,,IM GWANGSEON,52.1%,2023년 7월 3일,,,설형동,HWANG BONOHA,69.1%,1995년 8월 1일,,대리,한미엘,<|SEAL|>,,12,,태요시야,✔,9633464803,
