image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,018,019
G0000,,,,2012,11,7,한채비,<|SEAL|>,도인향,핵심설명서,계약의 중요내용,설명을 듣고 이해,,6,17,팽솔림,<|SEAL|>,9890609650,
G0001,김드레,,,2026,12,28,,<|SEAL|>,,핵심설명서,계약의 중요내용,,2024,10,,용리환,<|SEAL|>,9550882438,ZP166B0
G0002,반민진,,,2010,5,24,제갈보니,✔,어인선,,계약의 중요내용,설명을 듣고 이해,,12,22,,,1821946960,ZJWB1X8
G0003,문희근,,부슬은,2037,,31,,<|SEAL|>,석승영,핵심설명서,계약의 중요내용,설명을 듣고 이해,,,7,유재천,<|SEAL|>,9332703088,ZK209XS
G0004,,SK네트웍스,예엽월,2027,6,,류승백,<|SEAL|>,양주성,핵심설명서,계약의 중요내용,설명을 듣고 이해,2026,,25,탁종욱,<|SEAL|>,1840621563,ZH7HDR2
G0005,,한섬,탁유린,2009,6,27,우엘리슨,<|SEAL|>,나제강,,계약의 중요내용,,2010,12,20,신도빈,<|SEAL|>,,Z5AGMEI
G0006,천본윤,카페 꼼마 합정점,박세양,,12,,,<|SEAL|>,단성순,핵심설명서,계약의 중요내용,설명을 듣고 이해,2007,,,부노연,<|SEAL|>,,ZV2QIVA
G0007,민새한,MP그룹,신하민,,11,,가코우키,,,핵심설명서,계약의 중요내용,설명을 듣고 이해,2040,4,20,은의정,<|SEAL|>,,ZBBD2TB
G0008,임가람,,소미후,2024,4,,허종혁,<|SEAL|>,,핵심설명서,계약의 중요내용,설명을 듣고 이해,2003,10,13,명히엘,<|SEAL|>,1397875016,ZXA75GS
G0009,인성란,[백년가게] 초롱이고모부대찌개,,2000,9,10,,<|SEAL|>,편준은,,계약의 중요내용,설명을 듣고 이해,2014,8,,,<|SEAL|>,9845579728,ZOMG2RL
