image,000,001,002,003,004,006,007
G0000,2025,,,,,1070620101,S0E5A9E
G0001,,10,12,태명석,<|SEAL|>,1550130706,
G0002,2040,,22,,<|SEAL|>,9445906403,
G0003,2010,11,,,✔,9475086590,SVYJ0GP
G0004,2037,,31,단강표,<|SEAL|>,9586402174,S5691E2
G0005,2040,,,가관진,<|SEAL|>,9631886515,
G0006,,8,,최경량,<|SEAL|>,1620495506,S40QG4J
G0007,2002,9,19,,✔,,SV0CV0B
G0008,2020,,16,남하실,,,S933352
G0009,,1,,왕선임,,1709983302,SM2ZWTL
G0010,2003,,29,단네네,<|SEAL|>,1592367641,
G0011,,2,,,✔,1770539458,
G0012,2025,,,,<|SEAL|>,9216492122,S5TOYQP
G0013,2018,,9,전호세,,,
