image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,067,068
G0000,,,,,✔,,,,✔,,,,,,,✔,,,✔,,,✔,,표준어로,,,,,,✔,✔,✔,제26항)에 따른,새삼 그를,솜씨가 남보다,감기온,PYEON BELA,,1904/3/14,,산파하여,옥주단,CHU CHANHEUM,10.4%,1931.10.14,크로아티아,,우창엽,GAM GYU,4.6%,1942/2/8,벨라루스,제공하는 토착,서문영채,,6.1%,1953년 1월 15일,,,소성호,,2037,3,,용언서,<|SEAL|>,1133732643,ZOCGQJ0
G0001,,✔,✔,,✔,,✔,✔,,,,✔,,,✔,,,✔,,✔,✔,,,,,✔,,,,,,✔,탕약을,,군인정치가(1717,우대빈,PI SEOL-I,78.2%,1901.6.15,아랍에미리트,,경미옥,,45.1%,1961년 10월 22일,,고상한 마음과,우성식,GA JICHANG,66.9%,,영국,영국의,,BONG ANDEULESEU,10.9%,1939.11.27,이탈리아,상무,양연희,,2019,,,시윤관,<|SEAL|>,,ZNHPDNV
G0002,✔,,✔,,✔,✔,,,,✔,,,,,✔,,,,,,,,,,,,,,,,,✔,네 사람이,그만두셔도 좋습니다,Grtner,견로음,ON SANG-IG,74.9%,,,,,EUN LYEO-UN,,,이란,,손은진,GO SAEBOM,19.6%,,아일랜드,용소. ,맹효언,WON UGEUN,,,,실장,국채설,<|SEAL|>,2011,3,26,,<|SEAL|>,9076887966,
G0003,,,,✔,,,,,,,,,,,,✔,,,,,,,,,✔,,✔,,,✔,,,또는 이온가와,산후 복통이나,,,CHA YEONLIM,7.5%,1979-07-25,미국,사람이,맹명국,YU SOJEONG,95.1%,1911.6.13,이란,,경그리나,I CHAESEONG,17.4%,1951.03.22,이스라엘,실어 나르다.,권시환,GWAG ELINGIM,68.1%,2006년 5월 30일,대만,과장,좌혜본,<|SEAL|>,2005,,,남궁은체,<|SEAL|>,9427251682,
G0004,✔,✔,✔,,,,,,,,,✔,,,✔,,,,,,,,✔,자꾸,✔,,,,✔,✔,✔,,굽는,잘되기를 기원하다.,,어재후,,,2034년 11월 29일,,후출 후출하다의,안규솔,SIN HWANGYU,11.3%,,,1861년에,,MO DAM-YUL,38.1%,1983.3.23,영국,폼이 난다.,,EUN GIL-EUN,34.6%,1901-09-07,노르웨이,전임,탁형두,<|SEAL|>,2033,9,13,임건준,<|SEAL|>,9606565543,ZHT6VVF
G0005,✔,,,,,,,,✔,,✔,,,,,✔,,,,,,,,,,✔,✔,,,,,,미네굴의 빛깔과,원인.,정기적으로,,SEO MUN-YELA,24.5%,2019.11.20,홍콩,,엄이서,MO HASEOB,,1996.7.18,인도네시아,,장보예,GIL KEULLO-IHA-EUN,,,,돌팔매질을 하여,,,39.2%,,부탄,,인예후,<|SEAL|>,2007,6,24,,✔,,
G0006,✔,,,,,,✔,✔,,,,,,,✔,✔,,✔,,✔,,✔,✔,명상적인,,,,,,,✔,✔,,형용사가,밉게,,KIM PILJUN,32.2%,1938년 05월 10일,,안당의 일문이,,GUG JE-ON,,,콜롬비아,사람. 지방,경지수,WI ILSANG,7.0%,1942년 04월 16일,시리아,썰거나,전선종,WANG CHEMIN,,1961.10.23,룩셈부르크,,노애령,<|SEAL|>,,11,8,제형석,<|SEAL|>,,ZK1QLGI
G0007,,,,,✔,,,,,✔,✔,,✔,✔,,✔,,,,,,✔,,술밥.,,✔,,,,,,✔,쌍갈랫길,지기 전에,,곽알리사,I KEULLALA,99.4%,2031-09-07,,,민율휘,,15.0%,,볼리비아,,라순,BAG OHYEON,9.7%,,,삼가,,,,,에콰도르,,국고은별,<|SEAL|>,2009,3,1,진반하,,,ZLT90SD
G0008,,✔,,,,✔,,,✔,✔,✔,✔,,,,,,✔,,,,,✔,,,,,,,,,,,굽이.,"변동하는 경우,",두명지,BEOM GONG,6.1%,,방글라데시,,,,93.2%,1928년 05월 04일,,,채체민,SEO MINHAENG,13.2%,1907.5.7,,고인,팽원구,,34.4%,2006.3.3,,CEO,공애향,<|SEAL|>,2000,3,17,예택원,<|SEAL|>,1517767889,
G0009,,,,✔,✔,,✔,,,,✔,,✔,,,,,✔,,,,✔,,"맞으면,",,,,✔,,✔,,,설립안이,아프리카,어근.,소탄,HA HOSEOG,,1962년 03월 05일,,전,,MUN BONJU,,1903/10/9,,,,SEO JEONG-O,58.2%,1982/9/24,,1965년에,신준웅,,16.5%,,브루나이,감사,진범,,2028,10,24,함경학,<|SEAL|>,,
