image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,067,068
G0000,,✔,,,,,,,,,,✔,,,,,✔,,✔,,,,✔,,,✔,✔,,✔,,,,,,작성하여 의회에,,,,,사우디아라비아,수호자로서의 주부의,왕래준,PYO JUN-YUL,45.3%,1942.5.24,,별자리. 황도,,BOG DAHYUL,27.0%,1989.10.8,우즈베키스탄,쏘아 다섯,,JE JEONGDO,,1911년 05월 15일,칠레,,라진홍,<|SEAL|>,,6,17,피린영,<|SEAL|>,9219334456,ZCR55AF
G0001,,✔,,,,,,,✔,,✔,,✔,✔,✔,,✔,✔,,,✔,,✔,용맹스럽게,,✔,✔,✔,,,✔,✔,내쳐서,어근.,발달하였다.,범정회,EUM GEON-IL,26.3%,,라오스,어근.,홍지택,JE HYEONGJONG,5.8%,2041-01-30,,저항,,MA GANGJAE,19.8%,1968.8.18,아일랜드,위하여,탁이언,HA UNGJIN,14.1%,1940-07-05,볼리비아,연구원,,<|SEAL|>,2040,2,3,민정오,,1743145949,Z2IYMNB
G0002,,✔,✔,✔,,,,✔,,,,,,✔,,✔,✔,,,,,,,소유한,,,,,,,,✔,,일어나는 온도보다,,감수흔,DANG EUNGALAM,,2041/3/10,중국,고행.,마해임,,87.8%,,,,,YU SUNHWA,94.8%,2038년 03월 21일,,,,EO BYEONGMO,4.8%,2024.8.14,카타르,실장,황보현명,✔,2038,10,29,백이름,,1571669823,ZQQP3Z6
G0003,,,,✔,✔,,,,,,,✔,,,✔,,,,,,,,,사람.,,,,,✔,✔,,,어근. 92985공,이르는,준말. 206515,임태금,TAE NAEGYEONG,69.0%,,우즈베키스탄,다른,,,,1953년 11월 11일,영국,낮추어 이르는,남라혁,,31.5%,,몽골,모양으로,,,11.5%,2005.10.11,예멘,,허회윤,,2017,2,24,오리인,<|SEAL|>,1438049785,
G0004,,✔,,,,,,✔,,,✔,,,,,✔,✔,,✔,,,,,,✔,✔,✔,,,,✔,,,따위를,돌.,황범용,HWANG JUNDAM,42.6%,1982/11/17,,예산,강마농,DU GYEO-UL,43.5%,,이탈리아,기다리던 때나,시동령,HYEONG GWANHU,55.6%,1954-01-24,말레이시아,예수의,,,,,파나마,센터장,반양훈,<|SEAL|>,2038,9,4,이세웅,<|SEAL|>,9745977791,
G0005,✔,,✔,✔,,,,✔,,,,,,✔,,,,,,,,,✔,약하다.,,,,,,,,,"시대에,",날쌔고 성질이,있다. 에스파냐의,,BYEON MAENG-AE,,,벨라루스,갑피,하재민,YUG NA-AENG,,1991.11.26,마카오,,고도준,MYEONG UGI,47.3%,,,,좌동겸,,51.1%,1978.06.18,노르웨이,부사장,어엘사,,2023,,13,,✔,,ZX29ZLP
G0006,,,,,,,,✔,✔,,,,,✔,✔,✔,,,,,,,✔,도로,,,✔,✔,,,,,종용하다011의 어,말을,어르신께서 내내,탁리언,,,,칠레,,,YUG YEOSAN,,2014년 05월 22일,필리핀,이르는 가장,목늘,TAE HWIJIN,19.8%,1900/2/7,엘살바도르,바탕을 이루는,,DONG GWONHYEOG,0.5%,,폴란드,부사장,부정재,,2025,1,8,길마틸다,,1678889230,ZJB8XS4
G0007,,,,,,,,✔,,,,✔,,,✔,,✔,,,,✔,✔,✔,요구가,✔,✔,,,,✔,,✔,가지다. ,뜨거운 정성.,도시,안호승,,,1995년 08월 20일,엘살바도르,따위를,,GI HAG,59.8%,2033-02-01,볼리비아,면적은,견문근,WANG LIHO,54.7%,1935-04-06,시리아,있게,가한동,NA HYANG-YU,68.2%,1919.06.25,,센터장,박순건,✔,2002,10,7,서문시원,<|SEAL|>,,ZYGPI4U
G0008,✔,,,,,✔,✔,✔,,,,,✔,✔,,✔,✔,,,,✔,✔,,,✔,,,✔,,✔,,✔,손에 넣다.,차이가,,성도완,TAG HA-YO,60.3%,,,,홍지향,BANG WONHAG,,1939년 10월 14일,루마니아,그,,,,1948-04-05,,,변하이,SON KEULLO-IJI-U,78.9%,,,사원,,✔,,,,,✔,,ZCO0PEO
G0009,,✔,,✔,,,,,,✔,,,,,,✔,,,,✔,,,,거두어들이는,✔,✔,,,,✔,,✔,산,,원원하다의 어근.,감민슬,,37.2%,1981/9/17,,,호준형,,,2005/11/20,,그,,GANG WONBEOM,88.7%,1981.08.17,몽골,씨는,승준율,,,,우크라이나,팀장,모양일,,2040,9,19,황희량,<|SEAL|>,,ZT5UYZ3
G0010,,✔,,,,,✔,,✔,,✔,,,✔,,,✔,,✔,,,✔,,아름다움.,✔,✔,,,,,,,내다. 부두둑하다1,아니한,회담에서 히틀러의,,JE HADA,22.6%,1947년 10월 30일,,,선만세,,,,,,,WI CHEON-YUL,58.8%,1989/11/11,네팔,수반하지,형총미,CHOE JUN-EON,15.2%,1986년 3월 23일,알바니아,연구원,연영언,,2025,2,,탁헌재,✔,9477202220,ZJTEMFO
G0011,,,,,,✔,,✔,,✔,✔,✔,,,✔,,,,,,,,,때,✔,,,,,✔,,,,하다,하나. 우리나라,여상승,,87.0%,1921년 12월 29일,영국,,,,23.5%,1966년 4월 12일,베트남,쫓을,조유찬,DONG JUNHA,,,오만,신기08 신묘한,인아리수,DU DONGHUI,51.5%,2000년 2월 1일,캐나다,사원,간언지,✔,2028,,13,,<|SEAL|>,1290488564,ZS4K6CR
G0012,,,,,,,,✔,,✔,✔,,,,✔,,,,,,✔,,,심원면,✔,,,,,,,,없음.,,함께 끓이다가,고미리암,YANG LASOL,95.5%,1927/1/15,마카오,총명하다. ,류건혜,O MYEONGDO,59.3%,1957-01-05,,한,팽소해,IN CHANGGI,91.9%,2044-05-31,몰디브,만든,,YEON HYOLIN,54.5%,1953-08-16,이라크,사원,,,2016,3,9,범준모,<|SEAL|>,1040549641,ZYE0HW8
G0013,,✔,✔,,✔,✔,,,,,,✔,✔,✔,✔,,,,,,,,,처지의,,,,,,,,✔,,수 없이,,,SIM SYANEL,,1993.12.15,과테말라,,태민초,MIN YEJEONG,59.8%,1995년 5월 28일,벨라루스,228988엉망을 ,성두희,JU GYEONGHAN,25.6%,1985년 03월 04일,북마케도니아,거침없고 능란한,도윤근,KIM MINSEON,,,오스트리아,CFO,,<|SEAL|>,2034,,,강준길,,,ZCSXLNY
