image,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,091,092
G0000,✔,✔,,✔,,,,,✔,,,,✔,✔,,나고,,경상남도 진주시 미천면 효자리 360-13,031-2284-7641,26,4251,,,,,,✔,,,,,,,,,,✔,✔,✔,,,,,,✔,,,,,✔,모든,,,,✔,,,,재산.,,,NH농협은행,545-403-038206,,아들,1917.9.24,010-4296-4281,2033,,,선우승휘,<|SEAL|>,당령자,,,핀란드/여자,CIO,가서나,<|SEAL|>,,5,5,용양태,<|SEAL|>,9521259465,Z53ZUK1
G0001,,✔,✔,,✔,,돌아다니며,,,✔,✔,,✔,✔,문화비축기지,,CTO,대전광역시 대덕구 법동 283-4,063-5279-7051,11,9255,✔,✔,✔,✔,,✔,,,,✔,,✔,,,,,,,,,,,✔,,,,,,,신이다.,,,✔,,,,,,✔,,대구은행,160-570549-23805,,,1954.12.28,010-3751-4427,2030,,,도건욱,<|SEAL|>,지윤용,JEON UTAG,,불가리아/남자,파트장,,<|SEAL|>,2013,,15,,✔,1343486162,
G0002,,,,,,✔,,,,✔,,,,,,,CTO,경상북도 포항시 북구 흥해읍 오도리 76-3,041-5685-1182,31,1990,✔,,,,✔,,,,,,✔,,,✔,✔,✔,✔,✔,,✔,,✔,,,,✔,✔,,,축사07,✔,✔,✔,✔,,,,벗어진,,,부산은행,3262-37-872095,명명화,,1973/8/17,010-5095-5516,2018,12,12,,✔,,SANG MUJAE,1954/9/17,카자흐스탄/남자,,단도예,<|SEAL|>,,3,7,,<|SEAL|>,,ZZYG59I
G0003,,✔,,✔,✔,,이튿날,,,,✔,,✔,,,,CMO,대구광역시 달성군 화원읍 사문진로3길 25,043-5535-5515,5,,,✔,✔,,✔,,✔,✔,,✔,✔,,✔,,,✔,✔,,,,✔,✔,✔,✔,,,,✔,✔,,✔,✔,,,✔,,,무섬증,,,광주은행,077-715-717610,설수흔,부모,299-08-56501,010-1521-4497,2007,8,10,서름나,<|SEAL|>,,JIN YEGANG,1948-08-18,중국/남자,이사,,,,2,7,,<|SEAL|>,9781292859,
G0004,,✔,,,✔,,Krym,,,✔,,,,,,생기는,,,02-789-7869,,2771,✔,✔,,,,,,,,,,,,✔,✔,✔,,✔,,,,✔,✔,✔,,,,✔,,속에,,,,,✔,✔,✔,걷다.,✔,,,5018-27-432362,,,1990.04.18,,2009,4,20,,<|SEAL|>,,,1931-05-04,우크라이나/여자,연구원,반선은,<|SEAL|>,,10,5,염형택,<|SEAL|>,9079616017,ZQRBTZI
G0005,,✔,,,,,회로,,✔,,✔,,,✔,국민일보,,부문장,,032-1136-2397,21,2939,,,,,✔,,,,,,,,,✔,,✔,✔,✔,,✔,,,,,,,,,,테니스탁구배,✔,✔,✔,✔,,✔,,,,,중국은행,229-38710558-33,공계림,,2036년 01월 06일,,2020,11,19,신찬희,<|SEAL|>,남강진,,1948.3.7,우즈베키스탄/남자,회장,신형곤,<|SEAL|>,,,3,기서휴,<|SEAL|>,9598207710,
G0006,,,,,,,,,,,,,,,영천영화식육식당,뽑는,CFO,충청북도 제천시 내토로28길 5-1,,10,,✔,✔,,,,✔,,,,,,,,✔,,,,,,,,,✔,✔,,,,,,,,,✔,✔,,,✔,,✔,,토스뱅크,661-844159-20,,친척,,,2024,,22,탁서우,✔,,JANG JUNJE,,이스라엘/남자,프로젝트 매니저,상교림,<|SEAL|>,,9,15,편강해,<|SEAL|>,,
G0007,✔,✔,,,✔,✔,,,,✔,,,✔,,,보태어,CIO,경상북도 상주시 영남제일로 1112-41,,3,1392,✔,,,,,,,,,,,,✔,✔,,,,✔,,,,✔,✔,✔,,✔,,,,,,,✔,,,,✔,권위적,,,NH농협은행,377-404793-775,왕진자,모,948-83-27770,010-6861-4511,2017,,14,음단야,<|SEAL|>,,BAEG ISAG,,,,,,,10,11,임비호,<|SEAL|>,,ZO4N673
G0008,✔,,✔,,,,당나라,✔,,,,,✔,,,따위를,과장,,,27,7528,,✔,✔,,✔,✔,✔,,,,,,,✔,,✔,,✔,✔,,,✔,✔,,,,✔,,,들어서,,,,,,,✔,,,,중국교통은행,259-366-792475,진비비엔,자녀,017-06-44788,,2039,9,,사자운,<|SEAL|>,단가린,,2000년 1월 15일,미얀마/여자,사원,,<|SEAL|>,2013,2,,옥한주,<|SEAL|>,,Z5SJXI8
G0009,,,,,✔,✔,,✔,,✔,,,,✔,남미플랜트랩,감싸지고,파트장,,051-5699-8355,,2458,,,,,✔,✔,,,,✔,,,✔,,✔,✔,✔,✔,,,,,✔,,,,✔,,✔,느리고,,✔,,,✔,,,책장의,,,소시에테제네랄,025-918873-46,장찬들,조모,1998-07-12,010-1473-3362,,,9,,<|SEAL|>,,GU DAMGYU,1942.09.04,,CTO,사주인,<|SEAL|>,2037,3,,전선향,<|SEAL|>,,ZPUXM51
G0010,,✔,,✔,✔,,,✔,,✔,,,✔,✔,와이씨,따위가,부문장,,02-777-1632,15,3891,✔,✔,✔,,,✔,,,✔,✔,,,,,,,,,,,,,,✔,✔,✔,✔,,,,✔,,,✔,,,✔,않고,,✔,중국공상은행,291-011917-729,은제정,,,,2012,,,서문소엘,<|SEAL|>,,,1974-11-08,슬로베니아/남자,부회장,,✔,2028,5,30,박영제,✔,1764241013,Z69RZYF
G0011,,✔,,,,,성이나,,✔,✔,,,,,신젠타코리아,,,경상북도 영주시 평은면 예봉로 236-62,,5,7254,,,,,,,,,,,✔,,,,✔,,✔,,✔,,,,,,,,,✔,✔,,✔,,,,,✔,,,✔,,,058-89383301-65,,,,,2013,6,14,위희현,<|SEAL|>,권태효,YU JEONG-YEONG,2014/8/5,네팔/여자,이사,,✔,2035,10,,안고희,<|SEAL|>,9269056468,ZG3HLC9
G0012,,,,✔,,,알리는,✔,,,✔,✔,✔,,종로 선비옥,조각상.,센터장,,041-5663-6063,4,3739,,,,,,✔,,,,,✔,,,✔,,,,,,✔,,,,✔,✔,✔,,✔,✔,가꾸는,✔,✔,,,,,,,✔,,NH농협은행,1207-91-845010,황심우,형제자매,089-33-90637,010-3089-5077,,6,,어기예,✔,,CHOE HIMALI,2026/5/19,,,장환휘,<|SEAL|>,,3,,제갈치유,,9611644165,ZR9WBWR
G0013,,,,,✔,,까불거리다,,✔,,,,,✔,CGV 씨네 라이브러리,때의,,경상북도 상주시 사벌국면 화달리 34-6,054-481-5985,5,,,,,,✔,,✔,,,✔,✔,✔,,✔,✔,✔,,,✔,,✔,,,,✔,✔,✔,✔,,,,,,,,✔,,유정하여,,,,,,조부,2021년 11월 16일,010-0139-7266,,1,6,,<|SEAL|>,우귀현,EO GANGHO,1965년 08월 22일,,,,,,2,14,우엘사,,1258646048,ZVAYXW3
G0014,,,✔,,,✔,깨,,,✔,,,✔,,,,COO,전라남도 보성군 벌교읍 장좌리 292,064-4704-0552,19,5134,,,,✔,✔,✔,✔,,✔,,,,✔,✔,,✔,,,✔,,✔,,,,,,,,✔,574918,,,✔,,✔,,,있다.,,✔,수협은행,494-342507-83,채루마,자매,,,2011,3,,당유이토,<|SEAL|>,,GONG JUNNA,1987/5/7,독일/여자,부회장,당광표,<|SEAL|>,,,13,진새이,<|SEAL|>,1479018177,ZBXQ1AR
G0015,✔,,✔,,,,,,✔,,,,✔,✔,스탠딩커피,학문의,,경기도 화성시 송산면 송산동로 12-6,061-6076-0368,10,9544,,✔,,,,✔,✔,,,,,,✔,✔,✔,,,,,,,✔,,,,✔,,,,공무원.,,,,,,,,,,,JP모건체이스,202-50752829-84,범태자,조부모,569-54-13327,010-6483-8667,2024,11,24,,<|SEAL|>,,DU JUNMO,2048-12-23,,,음하린,,,11,20,연종운,<|SEAL|>,,ZEIW0ZA
G0016,✔,✔,,✔,,,한,,,,,✔,✔,,도봉산갈비,,,울산광역시 동구 방어진순환도로 433,063-8698-2866,,8241,,,✔,✔,,,,✔,✔,✔,,,,,,,,,✔,,✔,,✔,,,,✔,,,쓰는,✔,,,✔,,,,,✔,,케이뱅크,,조예연,부모,959-98-94433,010-0780-6381,2039,6,4,승섭,<|SEAL|>,,GYEON HYELANG,,,부장,,✔,2029,9,8,한혜종,<|SEAL|>,,ZXTIQO2
G0017,,,,✔,,✔,쟁의,,✔,✔,,,,,,,CTO,,054-8777-6621,1,2405,,,,,,,✔,,✔,,,,,✔,,,,✔,✔,,✔,,✔,,,✔,✔,,,,,,,,✔,✔,✔,유럽,,✔,한국씨티은행,,,형제자매,110-02-58388,010-5231-5162,2007,10,,경이경,,위명승,,2050.11.15,,팀장,윤경대,<|SEAL|>,,12,11,시하영,<|SEAL|>,9025173693,ZVCK24Y
G0018,,,✔,,✔,✔,,,,✔,,,,,태경산업,,,,031-8469-1971,,6511,,✔,,✔,,,✔,✔,,,✔,✔,,,,,,,,✔,,,,✔,,,,✔,,조병수와의,,✔,✔,,,✔,,포도주.,,✔,중국공상은행,103-071042-57,최성진,,,010-2771-7943,,5,3,,✔,원건빈,JIN YONGGWAN,1925년 11월 14일,체코/남자,부장,예기,✔,2037,11,26,고연형,<|SEAL|>,,ZRDJWCW
G0019,,,✔,,,,,,,✔,,,,,,나타내는,차장,세종특별자치시 전동면 상노장길 38-1,061-9447-7032,25,6815,,,,,,✔,,,✔,,,✔,✔,✔,,✔,,,,,,✔,,,,,,✔,,때의,✔,✔,,,,,,,✔,,BNP파리바,,함규식,,,010-5359-0616,2004,,,,<|SEAL|>,,MIN HAEDALM,1937-06-13,이스라엘/남자,부회장,봉권아,,2035,,26,간찬규,<|SEAL|>,9236674792,Z62VEL0
G0020,,,✔,✔,✔,,바라보니,,,,✔,,,,올리브나인,변경되었을,CMO,경기도 용인시 기흥구 고매동 5-48,055-5407-7924,,,,,✔,✔,,✔,✔,,,,,,,,,,,✔,,,✔,✔,,,,✔,✔,,,덕분으로,,✔,,,,,,,,,한국씨티은행,1268-08-971936,,모,132-91-24713,010-2974-5734,2013,,29,,<|SEAL|>,기성음,BAG TALA,,싱가포르/여자,회장,예향자,<|SEAL|>,2022,,12,소제하,<|SEAL|>,1527954120,ZUJTQVX
G0021,,,,,,,,,,,,,,✔,남양유업,,COO,,,1,6432,✔,,✔,,✔,,,,,,,✔,,,✔,,,,,✔,✔,,,✔,,✔,,,,졸이는,✔,,✔,,,,,자리를,✔,,케이뱅크,7080-39-399111,,손녀,920-53-40028,,,1,8,,,,PYEON CHEOLJUNG,,,파트장,고정선,<|SEAL|>,2016,2,30,길정곤,✔,1202198015,Z5BA576
G0022,,,,,,,고기가,,✔,✔,,,✔,,,준말.,사장,서울특별시 강남구 논현로117길 15,064-3190-7451,,1350,,✔,,,,,,,,,,,,✔,,,,✔,✔,✔,,✔,,,✔,,✔,,,,✔,✔,,✔,,,✔,받아들여졌다,,,,,모다비드,기타,1954년 10월 2일,,,12,6,,<|SEAL|>,용인욱,SEOL GIJAE,,벨기에/남자,,원서라,<|SEAL|>,2013,11,,천청채,<|SEAL|>,9532241696,
