image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,018,019
G0000,,,임소피아진,2013,,20,윤휘근,<|SEAL|>,,핵심설명서,계약의 중요내용,,2023,11,,배동권,<|SEAL|>,9440522061,SVOB593
G0001,,봉일온천,원원창,2030,,4,장유기자,<|SEAL|>,심마나미,핵심설명서,계약의 중요내용,설명을 듣고 이해,2026,8,,추중윤,<|SEAL|>,9777189507,SJB1I50
G0002,은풍화,라룬비올렛,엄소진,2017,,,표종섭,,경광래,,계약의 중요내용,,2026,,28,,✔,9550423129,SYMQ91N
G0003,윤일한,대성산업건설부문,진정겸,2010,11,,형루오,<|SEAL|>,,핵심설명서,계약의 중요내용,설명을 듣고 이해,2035,8,,상네하,<|SEAL|>,9192296203,SDT7Y12
G0004,봉희연,제너시스,승윤용,2023,11,,,<|SEAL|>,주란아,핵심설명서,계약의 중요내용,설명을 듣고 이해,2016,,6,서호연,,9843409680,S77PAPB
G0005,문햇별,대우제약,조승인,2018,,2,사해나,<|SEAL|>,제로익,,계약의 중요내용,설명을 듣고 이해,2028,4,20,탁실로,<|SEAL|>,1884266127,
G0006,피규현,,부선하,,8,6,여상환,<|SEAL|>,왕승교,,,설명을 듣고 이해,,6,11,,<|SEAL|>,9718520747,SRXX1ZG
G0007,공찬양,엠로,,,1,,,,,핵심설명서,계약의 중요내용,,2000,,24,태동근,<|SEAL|>,,SVYM4LH
G0008,민재의,,은서예,2037,3,,상수려,<|SEAL|>,설앵자,핵심설명서,계약의 중요내용,설명을 듣고 이해,,12,8,,✔,9989967922,
G0009,육체라,,변영돈,2033,11,,송성로,<|SEAL|>,함규환,핵심설명서,,,2022,4,27,구승복,✔,,S42QNTW
