image,000,001,002,004,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,027,028,029,030,031,032,033,034,035,036,037,038,040,041,042,043,044,045,046,047,048,049,050,051,053,054,100,101,102,200,201,202
G0000,,,BAN CHAM,남자,전북특별자치도 익산시 인화동2가 62-1,경상남도 합천군 가회면 복치동길 18-7,,061-9109-6320,lrzytlytom,hinet.net,,,,pacbell.net,,,i_urlo5ugtg4a,hqmail.com,,359-710-356614,케이뱅크,,✔,✔,,✔,,18,✔,✔,,,,,기타 가죽제품 제조업,,,✔,,,✔,,,,,1322638093,P9FFCK5,,3,30,2010,,14
G0001,9907487032,,HAN SEOLBI,여자,경상북도 상주시 은척면 봉중리 176,경기도 화성시 마도면 마도공단로 361,010-9814-3101,,r28lo9tiumx43,forty4.com,,✔,lbz9.-2356,,,✔,d_-i1ip,dongguk.edu,✔,185-330134-048,JP모건체이스,,✔,,,✔,,1,,,,✔,광화문집,567-63-91089,"과실, 채소 가공 및 저장 처리업",043-3860-7264,✔,✔,,,✔,,,✔,,1909074003,,2017,,28,,4,29
G0002,9408266794,정채인,,남자,경상북도 예천군 보문면 오암길 103-104,,010-2642-9330,033-8896-9364,t3srvil-w7s6h,,✔,,,,,,ob7tvb.cg1233,juno.com,,4415-93-515813,미쓰비시UFJ은행,,✔,✔,✔,,,,,,,,,718-38-28631,,02-791-1705,,,충청북도 영동군 학산면 봉소리 778,✔,,,,✔,,9497111802,PK68NQB,2037,3,12,2016,12,31
G0003,1804287680,당형주,OG SE-YUL,남자,,,010-2628-6556,043-1817-2402,svy67.1ks9v,empas.com,✔,,,o2.pl,,,,,✔,891-154003-75235,,✔,,✔,,,,12,,,,,현대백화점,640-90-00026,부동산 임대업,063-3661-0020,,,대구광역시 달성군 구지면 창리 379-4,,✔,,,,,,PIK806J,2009,,12,2011,9,8
G0004,9671302544,소경성,,,경상북도 구미시 부곡동 80,인천광역시 강화군 내가면 연촌길18번길 35-26,,,,icmail.net,✔,,a5tmd844bj.q,freechal.com,,,in8xlzwvzo,,,,한국수출입은행,,✔,,,,,24,,✔,✔,✔,원음방송,078-41-24951,"세제, 화장품 및 광택제 제조업",041-1606-9845,,✔,강원특별자치도 홍천군 두촌면 자은로 77,✔,,,,,✔,9119020903,,2024,,30,,12,9
G0005,1717627492,,JU KE-ILLI,남자,,경상남도 김해시 진례면 고모리 632,,,,orange.fr,✔,,ehor5gr9je,bolt.com,,,ldjfk.bhjs,,✔,558-239378-37268,제주은행,,,✔,,,,22,,,✔,✔,한국무역협회,400-09-01691,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",,,,,✔,,,✔,,,1134343787,,2027,4,9,2026,11,27
G0006,,진금빈,,남자,충청남도 천안시 동남구 동면 행암길 66,,010-4263-9116,054-3061-9731,,devnullmail.com,,,rwz6776yx,,✔,,,mail.ru,,284-548674-27,한국산업은행,✔,,,✔,,,21,,✔,,,,313-05-27540,,063-4706-2765,,,,✔,,✔,,,,,,2009,8,30,,3,1
G0007,,부차경,BOG WON-YU,,충청남도 당진시 합덕읍 점원리 262-3,경상남도 진주시 인사동 143-19,010-8660-3792,041-2379-8575,,purdue.edu,,,hwoi8l5lukg,cityu.edu.hk,✔,,vv03zl52,bolt.com,,,,,✔,,,,,,,,✔,,,306-94-91492,사회교육시설,041-8898-3073,,,경상북도 영주시 영주동 516-5,,✔,✔,,✔,,1885574008,P1F9A3S,,,18,,6,10
G0008,,,,,,경상북도 영양군 석보면 화매2길 227,010-3872-3677,,vdfkh789,monash.edu,✔,,o358h4e,paran.com,,✔,o0hh4_8-yld5u,,,,,✔,,,✔,,✔,13,✔,✔,✔,✔,하나로회관,251-26-14302,내륙 수상 및 항만 내 운송업,,✔,,경상북도 김천시 평화동 314-16,,,,,,,1383074733,,2011,4,19,,8,8
G0009,1639184955,,CHA CHANG-WAN,여자,제주특별자치도 제주시 일도이동 1029-222,충청북도 청주시 청원구 내수읍 내수리 596,010-0742-5777,053-5822-1006,j-n_tcj,forty4.com,,,,,,,gbcrdft4,lsu.edu,,,,,,,✔,,✔,5,✔,,,✔,,590-18-31935,,062-7303-8154,,✔,대구광역시 북구 산격동 1437-9,,,,,,,,PVBJ8DK,2038,7,9,,4,
