image,000,001,002,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,053,054,100,101,102
G0000,,,HYEONG DODAM,남자,경기도 고양시장,2030-09-30,,네팔,,,010-1314-6911,052-6124-6648,hi36.ig,icmail.net,,,wmdovqc9q0n,naver.com,,,vfajy4e,,✔,,대구은행,,,,,,✔,,,,,,,,2004년 11월 11일,825-94-66903,,,,,충청북도 제천시 신월동 25,,✔,,✔,,,1644653326,,,2,13
G0001,,최에반,,여자,,2022-04-30,93-49-687689-88,대만,,,,041-2047-1406,cy_ptcc.dk1o,airmail.net,,,qrb3145j_l,,,,c8dbpbm,empas.com,✔,7311-78-037234,,✔,,,,,✔,,,✔,,,,,,377-92-55446,사진 촬영 및 처리업,051-4186-5639,,,전라남도 고흥군 동일면 봉영리 1698-6,✔,✔,,,,✔,9678012077,TSYAC0R,,,
G0002,1517691262,,CHA CHANGSEO,,전라남도 영광군수,1965년 12월 06일,84-11-664029-17,엘살바도르,강원특별자치도 홍천군 두촌면 원동리 130-12,부산광역시 해운대구 재송동 1091-35,010-0547-9700,053-4343-3543,,me.com,,,,alum.mit.edu,,,z3rdf_rkzv,netzero.net,,,부산은행,,✔,,✔,,,,19,,,,,더블랙레이블,,,통신장비 수리업,054-922-9968,,,,✔,,✔,✔,,✔,,TYT5HY0,2032,5,17
G0003,1837369899,안디온,WI YEHEUN,여자,세종특별자치시 전동면청장,1991-07-23,56-01-204728-66,오스트리아,,,010-3046-7821,02-431-7842,ldcp18qpkj_sv,mail.kr,,,,paran.com,✔,✔,,,✔,542-618636-06194,,,,✔,,,,✔,,,✔,✔,✔,풍산,,715-07-91295,그 외 기타 운송관련 서비스업,033-3923-2831,,,경상북도 성주군 월항면 유월공단길 39세광),✔,,✔,,✔,,1020035124,,2009,7,22
G0004,9149400945,좌담화,JO MYEONG-EON,남자,,2003-03-28,08-21-217574-49,팔레스타인,경상남도 산청군 산청읍 범학리 728,경기도 고양시 덕양구 고양동 31-16,,064-3476-8286,,nju.edu.cn,,,,,✔,,cckpdr_c,googlemail.com,,122-64844100-65,수협은행,,,,,✔,,,1,,,,,,,,수상 운송 지원 서비스업,054-9925-1783,,✔,충청남도 아산시 영인면 아산리 2-1,,,,,,,,,2019,,30
G0005,1731723137,상은현,,남자,전라남도 장성군수,1916년 6월 5일,,예멘,충청남도 보령시 성주면 개화리 642-33,경기도 의정부시 입석로 73,,,gde-srknqbt,company.co.kr,,,d40jf-ho0,fastmail.com,,✔,i189biw7,hanyang.ac.kr,,,,,✔,,,,✔,,3,,,,,한성칼국수,2010.02.14,,자동차 재제조 부품 제조업,,,,대전광역시 대덕구 송촌동 226-8,✔,,,✔,,✔,1224415449,,,,
G0006,1699072175,좌관영,,남자,,,,,,경상남도 창원시 진해구 월남로104번길 18,010-1089-4213,062-1778-4595,r9tx2z12wa,hanafos.com,,,u-7-5u1p,gmx.com,✔,✔,b5478-m5s,,,672-995381-66473,,,,✔,,✔,✔,,23,,✔,✔,,대우그룹,1991/4/12,,,032-4814-2650,,,전북특별자치도 정읍시 신정용수길 7,,✔,,,,,,,,6,
G0007,1506952059,,SEOL SEGYEONG,여자,전라남도 순천시장,,88-13-633161-95,쿠바,서울특별시 관악구 신림동 409-129,서울특별시 은평구 응암동 599-47,,,e_0y1bbyiw_yj,,✔,,qmdacrns,googlemail.com,,✔,,,,6557-55-240807,NH농협은행,,✔,,✔,✔,,,,✔,,✔,,동아타이어,1968년 8월 22일,607-90-63545,,044-6561-5516,✔,,경상남도 합천군 율곡면 노양리 600,,,✔,,,,9789194142,TA8GOXI,2009,4,18
G0008,,진연리,,남자,,1980.08.05,20-36-469838-70,홍콩,울산광역시 울주군 상북면 후리2길 12-2,,010-1964-3865,,,ethz.ch,✔,,wrhj.jwdsz1j1,keio.jp,,,,dartmouth.edu,✔,950-913694-410,도이체방크,,,,✔,,✔,,,,✔,,,채근담,2008년 12월 4일,570-16-22604,,,,,,,,,✔,,,,,2021,1,19
G0009,1183746321,유대종,MUN JIHWON,,,1954년 3월 14일,,,인천광역시 중구 우현로20번길 59,충청북도 옥천군 동이면 세산리 70,010-2219-6203,,ojh955qnzs8e,hawaii.edu,✔,,ubnr0_5jsqn_e,glasgow.ac.uk,,✔,zoa60d9,asia.com,,975-663226-63622,한국씨티은행,,,,,,,✔,31,,,,,,1983년 10월 18일,565-40-41479,원유 정제처리업,02-272-8348,✔,,대구광역시 달성군 하빈면 하빈로120길 91,,✔,✔,,,,,TCVQ5YB,,7,14
