image,000,001,002,003,004,006,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,103,104,200,201,202
G0000,1640818610,고사유,,,,,,,경상남도 고성군 고성읍 율대리 522-12,031-1960-0799,041-9380-1888,,liverpool.ac.uk,✔,,,,✔,,✔,,,,,,✔,,✔,톱밥이나,모양.,최아나벨,WI SONGBI,,남자,타지키스탄,,mzopbl7a0kht,,✔,,✔,ym7-njz02,opera.com,,,,국민은행,,,,,,,17,,✔,,✔,,권동관,SEOL JE-I,스위스,010-4681-0840,,,충청남도 금산군 남일면 홍도1길 41-9,062-5664-4882,,,,4,,양애심,✔,,,,,,,쾌락을,,✔,✔,,,,,,,,형제,945-67-78101,010-8635-9509,2028,4,18,,<|SEAL|>,1592942015,I9SA48V,2007,2,
G0001,1122493363,,GYEON SUP,,235-12-27207,,전북특별자치도 장수군 번암면 상임신길 24,062-1899-5792,경기도 평택시 지제동 361,053-7606-1805,062-9995-1257,uvndux4x.o0xx,chollian.net,,,,,,,,한복 제조업,,✔,,,,✔,✔,가까이,정토에,,,2019.04.30,여자,스리랑카,✔,r7.tiixio2pk-,,,,,,,✔,,780-946106-92,한국산업은행,,,,,,,15,✔,,,✔,턱.,우형재,DAN SAESOM,레바논,,,CFO,전북특별자치도 전주시 덕진구 인후동2가 1553-14,,✔,✔,2013,8,8,갈네이든,<|SEAL|>,,,,,,,고양이,,,,✔,✔,,희끈희끈02,한국씨티은행,468-917689-86,,,701-83-47222,010-3440-7343,2009,2,10,문레지나,<|SEAL|>,9347357868,I1OBHSI,2036,,1
G0002,,장봉균,,333-55-31899,231-81-35660,몰디브,경기도 화성시 매송면 화성로2397번길 23-2,062-9450-7022,경상북도 경산시 용성면 곡란리 434-2,,054-9361-7784,krh1il8k,,,,✔,,,,✔,지정 폐기물 처리업,✔,,,,✔,,,,,서리을,PI HA,1949-08-15,남자,미얀마,✔,nppnu81mrag,,,✔,,uwte_.k8cgyjn,myself.com,✔,✔,867-505-920206,,✔,,✔,,,,17,✔,,,,지급한,,SIN BOBIN,,010-6841-1587,,과장,충청남도 공주시 이인면 밤갓길 6-4,064-6500-6278,,✔,2033,1,21,,,,,,,,✔,수과로,,,✔,✔,,,이는,대구은행,244-597450-773,,자녀,,,2010,,27,배나검,<|SEAL|>,,IJUZ8AV,2006,,
G0003,9274803832,,PAENG BELLEN,130-01-29771,,,강원특별자치도 정선군 화암면 소금강로 1509-13,053-3368-9937,,063-1360-9126,,qukl2mk5z,ieee.org,,,,,✔,,,,✔,✔,,,,,,"자수에서,",물건이,원마야,JO SEOL-YEONG,1988.11.23,남자,스페인,,jdgclvlat7kzv,freenetname.co.uk,,,,oauiuz9w4n83a,fastmail.com,,,,DBS은행,,,✔,,✔,✔,6,,,,✔,,방리울,GI JUNGEOL,,010-1262-7342,물건.,이사,,062-1695-5662,,,2019,11,31,도태일,<|SEAL|>,✔,✔,✔,,,,폭쇠,,✔,,,,,,,,류송인,부,768-50-74648,010-9766-6817,2027,,,,<|SEAL|>,9493643088,IHHY2YS,,,8
G0004,9048893336,장나슬,GUG HYEONGLOG,604-91-19617,162-45-17759,이스라엘,,,,063-9095-2257,052-8547-1160,l0225q_3,ieee.org,✔,,,✔,,✔,✔,화학용 및 비료 원료용 광물 광업,,✔,✔,,,,✔,어근.,사이의,,MUN SULO,,여자,,,zrix04y,,✔,✔,✔,,,,,2197-75-067324,카카오뱅크,,,,,✔,✔,,,,✔,✔,모범이,호명일향,,,010-1233-3174,다,CTO,강원특별자치도 강릉시 구정면 구정리 248-1,063-580-7431,,,2026,3,13,형채호,✔,,,✔,,,,"속하며,",,,✔,✔,,,우리는,수협은행,420-803-200402,민문준,부모,,010-8541-0537,2015,11,5,변인소,,,IFSDX9T,,,28
G0005,9742687617,,MO ELLIM,482-73-63676,,대만,,02-576-9480,대전광역시 중구 석교동 206-3,061-816-6074,044-9839-2633,s1f0uomij,daum.net,,,,✔,✔,,,"도서관, 기록 보존소 및 독서실 운영업",,✔,✔,,✔,,,,승격되었다.,음창기,,2046년 8월 31일,,폴란드,,y1ez8d-jk,hqmail.com,,,,o35f.n8,iemail.com,,✔,,도이체방크,,✔,,,,✔,,✔,✔,✔,,,나유월,,파나마,,문질러,CIO,서울특별시 동대문구 사가정로12길 5,043-9744-9449,✔,,,,12,,<|SEAL|>,,✔,✔,✔,,,말고,,,,,,,옷가지들.,ANZ은행,879-081886-319,채신승,손녀,105-47-81155,010-5721-8330,2006,8,17,,<|SEAL|>,,IXTOBEV,2032,11,2
G0006,9567574296,육제환,,422-99-88101,719-67-57396,태국,,,,063-4632-2474,,,citizen.seoul.kr,✔,,,,,,✔,표시장치 제조업,✔,,,✔,,,,,어떤,이미솔,DAN MI-OLI,1921.06.06,,슬로베니아,,q0sqjix,jejunu.ac.kr,,,✔,,,,✔,039-102-268464,,,,,,,✔,,✔,,,,관아.,곽반야,EUN YEO-EON,,010-6358-4878,"아래,",전무,경기도 과천시 구리안로 73-1,062-2302-1594,,,,5,17,,,,✔,,,✔,,,,✔,,,,✔,,,409-981270-342,심명일,손녀,485-26-44337,010-4105-7147,2007,11,11,빈민성,<|SEAL|>,9181866457,IU5MW7T,2013,1,
G0007,,조찬근,,,637-48-48999,,부산광역시 수영구 광안동 190-20,,,,,su.wzieyrfn62,googlemail.com,✔,,✔,,✔,,,기타 금융 지원 서비스업,,,,,,✔,,무렵의,예를,,HONG YUN-IL,2023년 8월 12일,남자,독일,,,alumni.stanford.edu,,,,v54i7mi2ua,gbridge.org,,,407068-81-555586,광주은행,,,,,,,21,,✔,✔,,,,,브루나이,,따위를,전임,경상북도 경주시 강동면 양동마을안길 75-10,054-4938-5158,,,2003,10,25,어희량,<|SEAL|>,✔,,,✔,,,,,✔,,✔,,✔,,소시에테제네랄,077-962-283441,조다봄,아들,1935년 03월 16일,010-0429-7226,2009,5,,,<|SEAL|>,1711593548,IMSCWQ6,2036,,31
G0008,1269706538,,BAN SAEMBYEOL,,255-95-65430,볼리비아,,062-4486-3832,충청남도 금산군 추부면 삼육로 78,,044-4896-4808,,ameritech.net,✔,✔,✔,,✔,,,의원,,✔,,✔,,,,때문에,고을에서,,,2017년 6월 2일,여자,엘살바도르,✔,t1nzb11,,,,,,,,,800-438016-505,,,,✔,,,,18,,,,,,부혜경,SIN BO-A,캐나다,,옥유하다의,부문장,,043-1681-5811,✔,,2018,,24,노실화,<|SEAL|>,,✔,✔,✔,✔,,공동체의,,,,✔,,,,전북은행,483-914022-95788,범솜결,형제,2019-07-25,010-5127-5126,2023,3,15,,✔,9699448272,IMATNQB,,,13
G0009,,신예술,,,545-64-08589,루마니아,경상북도 경주시 성동동 399-90,,,,,z361-l7cq.y,biz.net,,✔,✔,✔,,,,기관 구내식당업,✔,✔,,,,,,및,관청색,길귀향,SEON UJUNSIG,,남자,콜롬비아,,vzd.p79f8,college.harvard.edu,✔,,✔,,glover.com,,,947-717699-68226,우리은행,✔,,,,,,,,✔,,✔,"책,",나선호,BAG EMMA,핀란드,010-6245-5331,돌게,CMO,서울특별시 마포구 동교로23길 32,032-3885-8148,,✔,2011,,16,,✔,,,,,,,감.,✔,,,,,,생긴,카카오뱅크,053-801851-37,,형제자매,2015.6.27,,2011,5,,,<|SEAL|>,,,2005,3,2
