image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,053,054
G0000,피찬율,,,,"1,220,000",한 면.,,✔,✔,,,,✔,,34,49140000,"5,570,000",,,88.7,2,10,"62,240,000",7,,,,,5.8,"17,530,000",1.4,"33,970,000",92.1,,,34.9,90.0,,,✔,"5,140,000",,✔,,,"44,980,000",✔,,,,"63,740,000",치다. 영식이의,,ANYK9YI
G0001,시애채,,진녹색,4,"43,210,000",돌이켜,,✔,,,,,,✔,27,,"39,160,000",,,26.7,,14,,28,,"5,250,000",,,12.8,"32,630,000",37.7,"65,360,000",84.6,"81,740,000",,32.4,,"755,000km",9903만원,,78740000,,✔,✔,✔,83190000,,,,✔,,,9418606064,
G0002,,,금색,,,,,,,,,,,,,"67,820,000",19410000,,"69,730,000",1.6,,30,"16,180,000",,,"3,360,000",,,93.3,"6,220,000",12.9,,26.5,"59,870,000",,2.2,95.7,,,,"8,350,000",,,,✔,16760000,✔,,,,"6,480,000",놀림조로,9164791629,
G0003,오휘서,파일럿,,,"4,160,000",그리스 신화의,,,,,,✔,,,17,"9,780,000","5,680,000",,"8,460,000",76.0,,16,"9,760,000",,15,5870000,,✔,,"74,120,000",,"58,350,000",11.9,,"7,460,000",,70.4,,1174만원,,1490000,✔,,,✔,"7,130,000",✔,,✔,,8170000,꽈리처럼 부풀어,,A0ZOHTF
G0004,시타일러,,,,"34,120,000","우기겠다는 뜻으로,",,,,,,✔,,,28,,1490000,7980000,"94,450,000",,10,,"81,250,000",27,36,"26,860,000",✔,,76.0,"66,460,000",,"95,840,000",57.2,"8,430,000","2,950,000",80.6,52.7,,9719만원,,,✔,,,✔,"82,360,000",,,,✔,12770000,,1122993807,AFBJ5TJ
G0005,제호렬,아이오닉5,벽돌색,4,"97,750,000",미술,,,✔,,✔,,,,17,"1,920,000","9,440,000","78,190,000","61,880,000",88.0,1,19,,32,13,"89,810,000",✔,,94.6,,,,80.0,"85,570,000","8,760,000",,13.1,,7444만원,,"2,560,000",,✔,,,"7,320,000",✔,✔,✔,,7910000,"보고되었으며,",9488765217,AJICCJ7
G0006,범명환,혼다,군청색,4,"26,460,000",느끼지 않음.,✔,,,✔,,✔,✔,,12,"1,880,000",,33530000,"7,610,000",,11,32,,23,36,1380000,,,74.4,"6,240,000",6.4,17520000,19.7,"75,870,000",,40.5,79.6,"598,000km",,,"29,620,000",✔,,,,"93,530,000",✔,,,,"44,220,000",,9805268976,A8KWGHL
G0007,선동용,GV60,다홍색,3,,만큼 무엇에,,,,,✔,,,,15,"4,340,000",,,"5,140,000",39.8,,10,"1,320,000",22,8,"74,870,000",,,17.7,,37.4,,20.4,"1,890,000",39740000,,,,7392만원,,,✔,✔,,,,,,,,,산다는,,AZUJGOX
G0008,기대익,스파크,쥐색,5,"4,450,000",느끄름 느끄름하다의,,✔,✔,,,,✔,,25,"91,320,000",,"66,880,000","45,320,000",27.5,21,4,"53,780,000",36,25,"1,890,000",✔,,55.8,,72.6,,80.5,"1,220,000",96430000,88.3,,446700km,,✔,,,✔,,,"5,610,000",,✔,✔,,"44,410,000",,,ABEFVFB
G0009,서리오,마칸,자주색,9,"55,730,000",,✔,✔,✔,,✔,,,,,,"3,250,000",,36750000,,27,35,"64,390,000",24,22,,✔,✔,,6660000,55.0,"2,820,000",55.5,31630000,,85.4,76.6,"608,080km",6546만원,,"51,850,000",,✔,✔,✔,"79,290,000",✔,,,✔,94340000,일이나,1846357889,
G0010,,파나메라,,8,"3,490,000",강원도 회양군,✔,✔,,,✔,,,,35,,"56,470,000","34,670,000",,54.8,,35,18720000,25,36,"4,650,000",,,55.2,,44.7,13330000,42.9,19890000,,96.3,66.8,,5305만원,,"93,180,000",✔,✔,,,"62,670,000",,,✔,,"17,970,000","있다. Frost,",1767063705,ABZIM31
G0011,갈루시,마칸,연분홍,7,,미장본 예쁘게,,,,,✔,,,,,,,"17,360,000",,22.9,,,"24,940,000",,30,"91,190,000",,,25.6,"19,550,000",,,6.2,"1,520,000",,62.6,20.6,,9687만원,,"27,580,000",,✔,✔,,"6,640,000",,,✔,,"65,380,000",휴식을,9191673183,AZZEWJR
G0012,,,보르도색,4,,추도함. 조문하고,✔,,,✔,✔,✔,✔,,,"7,430,000","68,250,000","4,350,000","65,920,000",,12,29,,23,34,"44,140,000",,,56.5,"3,370,000",,"7,180,000",67.8,,4470000,6.2,11.5,"854,186km",6287만원,,"3,380,000",,,,,,,,,,,쌓는 일.,1700521482,AJ10RYT
G0013,,현대,,8,24880000,움직이고,,,,,✔,,,,,,"9,450,000","19,530,000","41,390,000",40.1,,19,,12,18,94950000,,,51.0,,66.9,"51,610,000",,"16,920,000","57,140,000",,,"470,100km",4161만원,,"99,870,000",,,,,"61,850,000",,✔,,,"7,960,000",,,A068DOY
G0014,,G80,주황색,4,4220000,나타난다.,,,,✔,✔,,,,25,"37,880,000","87,340,000","98,150,000","9,120,000",81.1,13,,9210000,,30,"82,690,000",,,73.9,"6,490,000",99.8,"1,730,000",0.2,"7,690,000",81780000,10.3,22.0,,8587만원,,"85,610,000",,✔,✔,,,,,,,"2,460,000",운이 좋고,1537566415,AB67GVT
G0015,,임팔라,,2,"6,460,000",따위로부터 항복을,,✔,,✔,,✔,✔,,23,"5,250,000",,"38,440,000","5,460,000",,32,,,4,8,"9,360,000",,,24.4,"53,240,000",13.1,"1,820,000",9.6,"2,870,000",5310000,24.0,,"151,500km",3811만원,,,,✔,✔,✔,61760000,,,,,87140000,질환.,1088091127,AF33TOI
G0016,은예지나,,주황색,2,"13,830,000",난 뒤에,,,,,✔,,✔,✔,,,"56,720,000","2,650,000","66,730,000",67.1,14,,"2,830,000",2,18,,✔,,,"39,830,000",24.6,86550000,,"89,990,000","28,390,000",59.8,12.6,,9241만원,,"6,840,000",,✔,,✔,,,,,✔,"3,530,000",그르치다. 평생을,9195775491,
G0017,,A 클래스,,7,"7,850,000","정착, 화학",,✔,✔,,✔,,,,19,"48,180,000",,99540000,7460000,15.9,,,6780000,,35,96560000,,✔,81.2,"56,140,000",99.3,,98.1,,"3,230,000",40.6,9.1,"749,000km",4388만원,✔,"45,840,000",✔,,,,"28,890,000",,✔,✔,,,,9727226167,AT49GQB
