image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,018,019
G0000,,명문제약,사민창,,,6,은태웅,<|SEAL|>,,,,,2018,8,12,장희라,<|SEAL|>,1320386169,
G0001,,모나미,설다앤,,8,,최영의,✔,,,계약의 중요내용,,2005,5,6,,,,P9OKEHL
G0002,,남서울민물장어,상한신,,10,25,한주평,,팽크리스티나,핵심설명서,계약의 중요내용,설명을 듣고 이해,2014,,19,어백,,9634344919,
G0003,기엽자,일진전기,,,3,5,,<|SEAL|>,옥은송,핵심설명서,계약의 중요내용,설명을 듣고 이해,2023,7,9,석헌이,,1381967864,PRZEXQI
G0004,배봄결,한진,호근희,2000,,9,당영흔,,강루야,핵심설명서,계약의 중요내용,,,6,,이현별,<|SEAL|>,1866767743,PY6KNJT
G0005,소찬섭,아크페브 해방촌 akfebinhbc,정해훈,2027,6,,팽진일,✔,,핵심설명서,계약의 중요내용,,2006,12,30,,✔,,
G0006,연동유,,맹귀성,2009,,29,이형성,<|SEAL|>,하은선,,계약의 중요내용,설명을 듣고 이해,2016,11,17,,<|SEAL|>,,P7XXUTE
G0007,전준행,부광약품,부나건,,,18,복태길,<|SEAL|>,,,,설명을 듣고 이해,,1,30,,✔,1754361770,
G0008,,개화산,구예론,2003,10,21,팽제윤,<|SEAL|>,설이솝,핵심설명서,계약의 중요내용,설명을 듣고 이해,2018,5,21,석제나,<|SEAL|>,9105053583,PEGFQG9
G0009,,,예용연,2034,4,,,✔,가효정,핵심설명서,계약의 중요내용,설명을 듣고 이해,2035,,28,양해윰,<|SEAL|>,,
